#R_planet
8.451619908e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.867406266e+06|3.873914976e+06|3.816369292e+06|3.818983728e+06|9.621943250e+06|9.983908500e+06|1.035180775e+07|1.000559600e+07|9.591361000e+06|1.041983000e+07|3.425196375e+06|4.047880750e+06|4.702727375e+06|3.965098250e+06|3.048584000e+06|4.881612000e+06|3.381904942e+03|3.473667409e+03|3.534024189e+03|3.479273669e+03|3.385684376e+03|3.572862962e+03|5.619862275e+02|6.537533341e+02|7.140009306e+02|6.593054324e+02|5.657124959e+02|7.528983688e+02|4.259320299e+03|4.281070759e+03|4.310023014e+03|4.299981299e+03|4.256518974e+03|4.343443624e+03|1.157837182e+03|1.219458235e+03|1.361362205e+03|1.265821251e+03|1.124254883e+03|1.407387620e+03|1.214672261e+11|1.241606840e+11|1.276045128e+11|1.248430490e+11|1.210884751e+11|1.285976146e+11|2.619064320e+10|3.839099699e+10|6.172814541e+10|4.159292211e+10|1.951656141e+10|6.366928486e+10|5.075117188e+03|5.104251709e+03|5.138940796e+03|5.109704590e+03|5.072893555e+03|5.146516113e+03
3.910470164e+06|3.913325715e+06|3.872735895e+06|3.873476981e+06|9.423186750e+06|9.810486500e+06|1.022019500e+07|9.886762000e+06|9.428890000e+06|1.034463600e+07|3.003088375e+06|3.839396750e+06|4.572984750e+06|3.573731750e+06|2.542643750e+06|4.604820000e+06|3.423857919e+03|3.485935383e+03|3.593800358e+03|3.510488557e+03|3.404056170e+03|3.616920944e+03|6.037973634e+02|6.659689143e+02|7.739922024e+02|6.905265438e+02|5.840762882e+02|7.969767995e+02|4.221643691e+03|4.247329585e+03|4.274191270e+03|4.269843678e+03|4.220357482e+03|4.319329874e+03|1.111248834e+03|1.210550213e+03|1.293692642e+03|1.201822985e+03|1.059466852e+03|1.344179119e+03|1.166884086e+11|1.197476782e+11|1.230576824e+11|1.201034445e+11|1.164335841e+11|1.237732884e+11|1.711206810e+10|3.848482816e+10|5.227966976e+10|3.068757197e+10|6.868495360e+09|5.450665165e+10|5.022359253e+03|5.055857666e+03|5.083371826e+03|5.056053223e+03|5.021137207e+03|5.090968262e+03
3.938979646e+06|3.940091967e+06|3.904413289e+06|3.913667585e+06|9.342505500e+06|9.774259000e+06|1.030090425e+07|9.833482000e+06|9.270877000e+06|1.039608400e+07|2.870536625e+06|3.695687500e+06|4.413059375e+06|3.577651250e+06|2.548152250e+06|4.607150500e+06|3.422110157e+03|3.522512919e+03|3.656869797e+03|3.542041413e+03|3.412906169e+03|3.671176657e+03|6.021398754e+02|7.025287353e+02|8.368748316e+02|7.220664638e+02|5.929220062e+02|8.512109214e+02|4.194899915e+03|4.225740622e+03|4.255540971e+03|4.264618654e+03|4.190007854e+03|4.339229455e+03|1.088543480e+03|1.163264861e+03|1.307427280e+03|1.205549310e+03|1.043745908e+03|1.367352712e+03|1.130470646e+11|1.170813215e+11|1.198062469e+11|1.167088189e+11|1.129702031e+11|1.204474184e+11|1.512667955e+10|2.986281779e+10|5.144713728e+10|2.861823181e+10|4.810071040e+09|5.242638746e+10|4.991724121e+03|5.015451660e+03|5.041697144e+03|5.015107422e+03|4.985817383e+03|5.044395996e+03
3.963503093e+06|3.962961293e+06|3.932882953e+06|3.939737551e+06|9.331054500e+06|9.932709000e+06|1.028670375e+07|9.921942000e+06|9.327299000e+06|1.051658500e+07|3.096422000e+06|3.948545750e+06|4.630679625e+06|3.810896000e+06|2.725303000e+06|4.896490000e+06|3.474087962e+03|3.571307104e+03|3.681646736e+03|3.594534126e+03|3.463324223e+03|3.725744030e+03|6.541325330e+02|7.513488636e+02|8.617120056e+02|7.745415026e+02|6.433259082e+02|9.057570969e+02|4.174692347e+03|4.222832102e+03|4.251294297e+03|4.294924358e+03|4.175597693e+03|4.414251022e+03|1.079913149e+03|1.215165280e+03|1.323511135e+03|1.252472353e+03|1.055312003e+03|1.449632703e+03|1.107249848e+11|1.153345413e+11|1.184877568e+11|1.148473426e+11|1.105651876e+11|1.191295304e+11|1.402947994e+10|2.833308877e+10|5.042200986e+10|3.000462950e+10|6.545208832e+09|5.346405581e+10|4.954723877e+03|4.986861328e+03|5.017646729e+03|4.985318359e+03|4.949904785e+03|5.020732422e+03
3.984735822e+06|3.984597540e+06|3.951962772e+06|3.958326524e+06|9.133137250e+06|9.552895500e+06|1.019671325e+07|9.734107000e+06|9.022772000e+06|1.044544100e+07|3.064201375e+06|3.753978500e+06|4.565455500e+06|3.733991000e+06|2.625799500e+06|4.842183500e+06|3.433046697e+03|3.532758391e+03|3.665618362e+03|3.572433087e+03|3.415075173e+03|3.729791000e+03|6.130536779e+02|7.128599243e+02|8.455835429e+02|7.524665991e+02|5.951001696e+02|9.098330285e+02|4.152247616e+03|4.190402006e+03|4.231780682e+03|4.317775432e+03|4.147636699e+03|4.487914164e+03|1.096542997e+03|1.199937110e+03|1.415166979e+03|1.296334252e+03|1.062636072e+03|1.530032431e+03|1.081798124e+11|1.125109064e+11|1.156197519e+11|1.122188902e+11|1.077970534e+11|1.166406861e+11|1.588388045e+10|3.498633626e+10|5.003157504e+10|2.989904896e+10|5.874011136e+09|5.392408576e+10|4.933698608e+03|4.962976074e+03|4.989655273e+03|4.962446777e+03|4.930558594e+03|4.994335449e+03
4.006801837e+06|4.006210652e+06|3.968789177e+06|3.971395681e+06|8.772611000e+06|9.311912500e+06|9.907759250e+06|9.446741000e+06|8.762839000e+06|1.013064300e+07|2.777387750e+06|3.807407000e+06|4.480914000e+06|3.573575750e+06|2.401224750e+06|4.745926500e+06|3.386757810e+03|3.502519493e+03|3.626721571e+03|3.539343647e+03|3.390996814e+03|3.687690481e+03|5.666377796e+02|6.825280533e+02|8.066380893e+02|7.193598619e+02|5.709990962e+02|8.677206276e+02|4.114922755e+03|4.151053269e+03|4.205664097e+03|4.248984644e+03|4.114098061e+03|4.383871227e+03|1.069899838e+03|1.204832894e+03|1.349172611e+03|1.245013243e+03|1.025412932e+03|1.464613555e+03|1.039196631e+11|1.080744837e+11|1.129200783e+11|1.086370365e+11|1.039268495e+11|1.133472317e+11|1.425401856e+10|3.257571328e+10|5.001211187e+10|2.916020634e+10|3.463331840e+09|5.485707674e+10|4.898098511e+03|4.924895020e+03|4.958195190e+03|4.930497559e+03|4.895788086e+03|4.965206543e+03
4.031898698e+06|4.032563937e+06|4.000439194e+06|4.006399800e+06|8.891655000e+06|9.365307500e+06|9.805660250e+06|9.365692000e+06|8.770206000e+06|9.961178000e+06|2.856265250e+06|3.489935000e+06|4.180850500e+06|3.396939250e+06|2.345263750e+06|4.448615500e+06|3.449655264e+03|3.542455114e+03|3.651644995e+03|3.559528888e+03|3.428017870e+03|3.691039907e+03|6.297369678e+02|7.224726092e+02|8.316938000e+02|7.395355751e+02|6.080218250e+02|8.710493253e+02|4.094036151e+03|4.133104095e+03|4.175134690e+03|4.193651228e+03|4.090649636e+03|4.296652820e+03|1.050384884e+03|1.134556256e+03|1.261465561e+03|1.172307615e+03|9.933621264e+02|1.351253104e+03|1.015128494e+11|1.050766828e+11|1.090597663e+11|1.058074460e+11|1.012012401e+11|1.104136192e+11|1.209311642e+10|2.879440077e+10|4.250242150e+10|2.414255309e+10|1.061603584e+09|4.722350080e+10|4.857656860e+03|4.886721680e+03|4.917576172e+03|4.895108887e+03|4.855669922e+03|4.934548828e+03
4.053780137e+06|4.053195593e+06|4.024615721e+06|4.031841362e+06|8.775959000e+06|9.244629500e+06|9.692850000e+06|9.343158000e+06|8.717744000e+06|9.968572000e+06|2.823501375e+06|3.573028750e+06|4.373387000e+06|3.378338500e+06|2.228924250e+06|4.527752500e+06|3.434293142e+03|3.539797825e+03|3.650324630e+03|3.571879721e+03|3.427611466e+03|3.716147975e+03|6.143528246e+02|7.198660894e+02|8.302875954e+02|7.518966068e+02|6.076196758e+02|8.961735378e+02|4.082093574e+03|4.117147103e+03|4.162437915e+03|4.221579671e+03|4.081180124e+03|4.361979217e+03|1.031695243e+03|1.128921806e+03|1.269745567e+03|1.201891812e+03|9.786188109e+02|1.425164814e+03|1.001246106e+11|1.038913085e+11|1.077080699e+11|1.043050824e+11|1.000902984e+11|1.085198582e+11|7.444004864e+09|2.747173683e+10|4.449428070e+10|2.274252390e+10|-1.603929728e+09|4.708897997e+10|4.841324829e+03|4.869871582e+03|4.907100464e+03|4.876270020e+03|4.841110352e+03|4.911429199e+03
4.072578317e+06|4.072516451e+06|4.042487387e+06|4.047954709e+06|8.406729750e+06|8.960335500e+06|9.773513500e+06|9.158318000e+06|8.417308000e+06|9.899327000e+06|2.629496625e+06|3.389639500e+06|4.173114625e+06|3.262934000e+06|2.221307000e+06|4.304561500e+06|3.380025634e+03|3.506195850e+03|3.679868123e+03|3.549120044e+03|3.376953027e+03|3.721287062e+03|5.599746195e+02|6.861188329e+02|8.598531589e+02|7.291319154e+02|5.569399889e+02|9.013238420e+02|4.060190375e+03|4.092205484e+03|4.160830295e+03|4.211888261e+03|4.056690343e+03|4.367086178e+03|1.016693279e+03|1.144075664e+03|1.291437375e+03|1.201826604e+03|9.850676704e+02|1.418585537e+03|9.787680768e+10|1.006595727e+11|1.062530314e+11|1.019887288e+11|9.773060915e+10|1.062468403e+11|8.113430528e+09|2.285146522e+10|4.287144858e+10|2.199112090e+10|-2.230458368e+09|4.621269402e+10|4.829425415e+03|4.849233398e+03|4.880143921e+03|4.855545898e+03|4.823503906e+03|4.887586914e+03
4.092728817e+06|4.093200097e+06|4.057687392e+06|4.061971025e+06|8.424187250e+06|8.890818500e+06|9.499863000e+06|8.991563000e+06|8.384203500e+06|9.598922000e+06|2.479776750e+06|3.228204500e+06|3.984409250e+06|3.221611250e+06|2.109136750e+06|4.334086000e+06|3.391517585e+03|3.486614202e+03|3.639039274e+03|3.524734814e+03|3.383588239e+03|3.665881389e+03|5.715659906e+02|6.666707096e+02|8.191499954e+02|7.047456077e+02|5.636061669e+02|8.458850486e+02|4.049226809e+03|4.075164213e+03|4.137482169e+03|4.127520893e+03|4.049559982e+03|4.205481804e+03|9.935097059e+02|1.102251078e+03|1.237985994e+03|1.131636882e+03|9.611425343e+02|1.302131230e+03|9.688410112e+10|9.894127616e+10|1.025384612e+11|1.004825969e+11|9.687209574e+10|1.040930734e+11|7.446288384e+09|2.313211494e+10|3.933951590e+10|2.330950042e+10|5.936845440e+08|4.602531840e+10|4.818421265e+03|4.836692139e+03|4.858509521e+03|4.843083984e+03|4.813401367e+03|4.872765625e+03
4.111329569e+06|4.110562599e+06|4.080914388e+06|4.081928477e+06|8.521004750e+06|8.950463000e+06|9.489700250e+06|9.025155000e+06|8.476801000e+06|9.573507000e+06|2.141191500e+06|3.134111000e+06|4.086812500e+06|3.061639250e+06|1.827124375e+06|4.296154000e+06|3.429391758e+03|3.536753307e+03|3.641314193e+03|3.552030227e+03|3.417489492e+03|3.686570962e+03|6.094244891e+02|7.168534231e+02|8.212503935e+02|7.320484248e+02|5.975023726e+02|8.665944769e+02|4.045141166e+03|4.066449676e+03|4.139043523e+03|4.132389528e+03|4.041378584e+03|4.223400472e+03|9.278405295e+02|1.068590711e+03|1.251731234e+03|1.119046589e+03|9.159139356e+02|1.322179243e+03|9.627517133e+10|9.818658816e+10|1.018572739e+11|9.936991027e+10|9.589705933e+10|1.028427284e+11|-2.906609664e+09|2.012229222e+10|4.490119680e+10|1.789867213e+10|-1.041886310e+10|4.621621248e+10|4.795890381e+03|4.812826172e+03|4.841933838e+03|4.824742676e+03|4.791240234e+03|4.858246094e+03
4.128468504e+06|4.128754376e+06|4.102551798e+06|4.109813724e+06|8.435754750e+06|8.831271000e+06|9.524132750e+06|9.092252000e+06|8.405096000e+06|9.779407000e+06|2.361319500e+06|3.155079250e+06|3.714862750e+06|3.042032750e+06|2.144103750e+06|3.939961500e+06|3.431157728e+03|3.522847858e+03|3.705919058e+03|3.583914948e+03|3.410968874e+03|3.756861023e+03|6.111821722e+02|7.028754228e+02|8.859903658e+02|7.639500962e+02|5.910011337e+02|9.368990587e+02|4.035701494e+03|4.059689138e+03|4.116760411e+03|4.208642467e+03|4.036098452e+03|4.381186483e+03|9.830210113e+02|1.077703777e+03|1.224796377e+03|1.172728878e+03|9.569183987e+02|1.388539358e+03|9.545643008e+10|9.747589939e+10|1.006942597e+11|9.828655104e+10|9.537820262e+10|1.011949322e+11|1.460342784e+09|1.860159898e+10|3.590496154e+10|1.478333440e+10|-6.692633088e+09|3.625930342e+10|4.785002808e+03|4.803479980e+03|4.827034668e+03|4.806506836e+03|4.780462402e+03|4.832551758e+03
4.146207783e+06|4.146374687e+06|4.114692867e+06|4.121835882e+06|8.317938250e+06|8.836823500e+06|9.408719500e+06|8.993004000e+06|8.353044000e+06|9.632962000e+06|2.262714250e+06|3.168440500e+06|4.068031375e+06|3.079423250e+06|1.927334750e+06|4.231512500e+06|3.427608602e+03|3.525870951e+03|3.685692522e+03|3.569180461e+03|3.417203703e+03|3.721157218e+03|6.075337011e+02|7.059349979e+02|8.657199651e+02|7.491905423e+02|5.972003823e+02|9.011807022e+02|4.024490426e+03|4.047591149e+03|4.097306229e+03|4.142277845e+03|4.024357071e+03|4.260198618e+03|9.315714487e+02|1.065029951e+03|1.226898096e+03|1.128158529e+03|9.268262900e+02|1.329490767e+03|9.407388467e+10|9.630096998e+10|9.955074048e+10|9.747375718e+10|9.408721715e+10|1.008603136e+11|4.244172800e+08|2.217962701e+10|4.061924147e+10|1.703906509e+10|-7.290329600e+09|4.136846131e+10|4.777788330e+03|4.791367920e+03|4.817062866e+03|4.799610840e+03|4.773693848e+03|4.825527832e+03
4.165092070e+06|4.165571666e+06|4.134568719e+06|4.139435882e+06|8.207917750e+06|8.702689500e+06|9.193492000e+06|8.853570000e+06|8.271529000e+06|9.435612000e+06|2.403301375e+06|3.065893750e+06|3.880450750e+06|3.050441000e+06|2.047315000e+06|4.053566500e+06|3.387438683e+03|3.507995113e+03|3.654668226e+03|3.546400569e+03|3.395492602e+03|3.697308536e+03|5.675240170e+02|6.880580419e+02|8.346634562e+02|7.264197439e+02|5.755032130e+02|8.773362748e+02|4.019197936e+03|4.041703658e+03|4.079137254e+03|4.140170117e+03|4.017421253e+03|4.262918982e+03|9.612357896e+02|1.066576292e+03|1.224476352e+03|1.140172899e+03|9.285744187e+02|1.351771379e+03|9.352132198e+10|9.582058701e+10|9.817254912e+10|9.604567040e+10|9.335090381e+10|9.874046157e+10|7.319470080e+08|1.815760896e+10|3.436733952e+10|1.814168166e+10|-3.925985536e+09|4.020934656e+10|4.763847290e+03|4.788102051e+03|4.809563110e+03|4.788095215e+03|4.759506836e+03|4.816683594e+03
4.182904031e+06|4.183209588e+06|4.150237863e+06|4.152388574e+06|8.275248875e+06|8.608851500e+06|9.454868750e+06|8.948660000e+06|8.227896500e+06|9.669423000e+06|2.390124000e+06|3.301226000e+06|3.824289750e+06|3.116688750e+06|2.133903500e+06|4.099474500e+06|3.379210735e+03|3.494389880e+03|3.736885696e+03|3.574698795e+03|3.385575101e+03|3.763822489e+03|5.592716935e+02|6.744215087e+02|9.168474442e+02|7.547229686e+02|5.655788391e+02|9.438670980e+02|4.014804127e+03|4.040804933e+03|4.124462591e+03|4.196882848e+03|4.014530448e+03|4.379235248e+03|9.753585362e+02|1.086455011e+03|1.283645633e+03|1.192039526e+03|9.521097721e+02|1.431969280e+03|9.310650368e+10|9.491107021e+10|9.768810291e+10|9.592447795e+10|9.300727398e+10|9.884168192e+10|9.985720320e+08|1.683962266e+10|3.535281459e+10|1.736690278e+10|-4.618542592e+09|3.935234867e+10|4.759837280e+03|4.779580566e+03|4.805833252e+03|4.781140137e+03|4.750067871e+03|4.812211914e+03
4.201711593e+06|4.201393551e+06|4.173889960e+06|4.183943300e+06|8.190210000e+06|8.711462500e+06|9.385927750e+06|8.858824000e+06|8.166357000e+06|9.551290000e+06|2.263121500e+06|3.079969500e+06|3.916838375e+06|3.055891000e+06|2.004743000e+06|4.107037500e+06|3.395770070e+03|3.517247122e+03|3.706170655e+03|3.566231655e+03|3.388370142e+03|3.744093169e+03|5.757242494e+02|6.972980210e+02|8.862525198e+02|7.462427590e+02|5.683627484e+02|9.241227697e+02|4.004231337e+03|4.030058827e+03|4.080956846e+03|4.165002745e+03|4.003795564e+03|4.326209926e+03|9.531215660e+02|1.078945660e+03|1.269018504e+03|1.167128661e+03|9.343430767e+02|1.399914245e+03|9.190636954e+10|9.415369933e+10|9.730534400e+10|9.471381504e+10|9.193513779e+10|9.749250048e+10|-8.335360000e+07|1.945077350e+10|3.767082394e+10|1.680461517e+10|-6.993712128e+09|4.060294349e+10|4.747694580e+03|4.766225830e+03|4.788271362e+03|4.768661133e+03|4.742897461e+03|4.794424805e+03
4.219582717e+06|4.219357985e+06|4.188390236e+06|4.196600416e+06|8.096563375e+06|8.525063000e+06|9.100240000e+06|8.722541000e+06|8.119093000e+06|9.325989000e+06|1.928955500e+06|2.917466750e+06|3.850230000e+06|2.839839750e+06|1.649528375e+06|4.030151000e+06|3.368478417e+03|3.486746557e+03|3.643422579e+03|3.538233888e+03|3.379857201e+03|3.696610575e+03|5.485713317e+02|6.667176963e+02|8.233400150e+02|7.182528052e+02|5.598599852e+02|8.766456252e+02|3.999813024e+03|4.020324825e+03|4.052617522e+03|4.116592822e+03|3.999067582e+03|4.234118063e+03|9.252833492e+02|1.057792524e+03|1.228945556e+03|1.117753618e+03|8.970699406e+02|1.338437295e+03|9.166941389e+10|9.346469478e+10|9.544519066e+10|9.393210982e+10|9.149783245e+10|9.636637082e+10|-3.312025600e+09|1.619495322e+10|3.954363494e+10|1.430647706e+10|-1.446351258e+10|4.307646874e+10|4.748959229e+03|4.767219727e+03|4.785801147e+03|4.765162109e+03|4.740125000e+03|4.790200195e+03
