#R_planet
4.843660376e+07
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
4.070824173e+06|4.074101202e+06|2.823653931e+06|2.910822938e+06|1.060572675e+07|1.177983200e+07|1.315916150e+07|1.195998700e+07|1.065266400e+07|1.326731000e+07|7.775978000e+06|8.920646500e+06|1.007093200e+07|9.028655000e+06|7.820288500e+06|1.023702200e+07|4.475396836e+03|4.676608908e+03|4.874278047e+03|4.682315807e+03|4.480530394e+03|4.884101221e+03|1.655419563e+03|1.856644876e+03|2.054291032e+03|1.862323729e+03|1.660540992e+03|2.064106465e+03|6.204673095e+03|7.147822565e+03|8.111221447e+03|7.254300326e+03|6.298473798e+03|8.210126853e+03|3.958130621e+03|4.901216114e+03|5.767155181e+03|4.970817729e+03|4.053906401e+03|5.887729057e+03|5.862607974e+10|6.150509773e+10|6.412075110e+10|6.144880230e+10|5.843563725e+10|6.446197146e+10|5.477213798e+10|5.740425830e+10|6.073609830e+10|5.535599002e+10|4.984312627e+10|6.086884557e+10|3.980117737e+03|4.025714233e+03|4.066210815e+03|4.026116455e+03|3.971946533e+03|4.080287598e+03
4.109616060e+06|4.111265260e+06|2.887737701e+06|3.025313730e+06|1.190327750e+07|1.276664050e+07|1.367982075e+07|1.260300700e+07|1.139615200e+07|1.380986500e+07|8.192046750e+06|9.361576500e+06|1.029993350e+07|9.333853000e+06|8.089995500e+06|1.057771100e+07|4.711310313e+03|4.843124421e+03|4.957161249e+03|4.805798675e+03|4.636596404e+03|4.975000947e+03|1.891267552e+03|2.023173825e+03|2.137100081e+03|1.985792302e+03|1.816596289e+03|2.154988315e+03|7.279844118e+03|7.884941447e+03|8.572090367e+03|7.785838912e+03|6.930814190e+03|8.640863635e+03|4.724894604e+03|5.447547768e+03|6.107879433e+03|5.409063152e+03|4.597572001e+03|6.220554303e+03|5.752313446e+10|6.020685824e+10|6.235866419e+10|6.005024768e+10|5.726953062e+10|6.283097293e+10|5.081936998e+10|5.472030720e+10|5.810738074e+10|4.530675712e+10|3.214589747e+10|5.846762701e+10|3.921219910e+03|3.954354004e+03|3.994152588e+03|3.957235107e+03|3.917432129e+03|3.997037598e+03
4.127315892e+06|4.127211101e+06|2.909346860e+06|3.136225053e+06|1.222312950e+07|1.326633350e+07|1.398192650e+07|1.308295300e+07|1.204502400e+07|1.412088200e+07|8.662690500e+06|9.692723000e+06|1.064307950e+07|9.667910000e+06|8.553247000e+06|1.078257400e+07|4.787854179e+03|4.924169604e+03|5.025352939e+03|4.886003331e+03|4.743010104e+03|5.028996558e+03|1.967872547e+03|2.104104109e+03|2.205347950e+03|2.065993300e+03|1.923003477e+03|2.208983124e+03|7.573585893e+03|8.316372946e+03|8.834520598e+03|8.154510881e+03|7.415203200e+03|8.893818562e+03|5.232452135e+03|5.973455423e+03|6.348233738e+03|5.740647032e+03|5.052412508e+03|6.428881556e+03|5.830358528e+10|5.998124646e+10|6.154282496e+10|5.991670170e+10|5.783196058e+10|6.200143053e+10|3.360160870e+10|5.487253709e+10|5.734600192e+10|4.150949069e+10|2.522906010e+10|5.778991923e+10|3.897534790e+03|3.922574585e+03|3.950734253e+03|3.923955566e+03|3.885793457e+03|3.962117432e+03
4.140713728e+06|4.140487243e+06|2.988777564e+06|3.113330628e+06|1.215772150e+07|1.334230750e+07|1.428643200e+07|1.313844000e+07|1.183538300e+07|1.444149500e+07|8.602942750e+06|9.969390000e+06|1.079003825e+07|9.726800000e+06|8.508398000e+06|1.094520300e+07|4.787940572e+03|4.947100993e+03|5.055107974e+03|4.898868378e+03|4.721917885e+03|5.075818870e+03|1.967906604e+03|2.127108122e+03|2.235161815e+03|2.078860846e+03|1.901910187e+03|2.255811504e+03|7.557288473e+03|8.414178078e+03|9.034560954e+03|8.216273899e+03|7.293612204e+03|9.138935595e+03|5.315049471e+03|6.013006967e+03|6.579238792e+03|5.808924396e+03|4.997366283e+03|6.620482509e+03|5.653991526e+10|5.884636570e+10|6.164086477e+10|5.894693683e+10|5.628698624e+10|6.160689152e+10|4.479241626e+10|5.319490355e+10|5.619976602e+10|4.076293325e+10|2.480785408e+10|5.671801651e+10|3.857868835e+03|3.893441162e+03|3.934809082e+03|3.898969971e+03|3.854264160e+03|3.943676758e+03
4.150983550e+06|4.151475327e+06|3.301443189e+06|3.490381736e+06|1.240692575e+07|1.339263450e+07|1.419007975e+07|1.322747900e+07|1.219753700e+07|1.425742600e+07|8.660328500e+06|9.815676500e+06|1.076639700e+07|9.680648000e+06|8.578854000e+06|1.078244100e+07|4.825675752e+03|4.950955480e+03|5.050741346e+03|4.923255618e+03|4.787553030e+03|5.058958207e+03|2.005664425e+03|2.130974673e+03|2.230724738e+03|2.103261146e+03|1.967562005e+03|2.238960286e+03|7.731928037e+03|8.417287879e+03|9.004532746e+03|8.297456729e+03|7.572620434e+03|9.022293025e+03|5.323559707e+03|6.059413744e+03|6.479345238e+03|5.856649003e+03|5.203184558e+03|6.510113449e+03|5.680000614e+10|5.868990669e+10|6.043962573e+10|5.856497664e+10|5.634955674e+10|6.078039245e+10|2.111096627e+10|5.288545894e+10|5.596970086e+10|3.702047949e+10|1.779949773e+10|5.624146330e+10|3.859982666e+03|3.883365234e+03|3.902999512e+03|3.884597168e+03|3.852784668e+03|3.916409912e+03
4.159555199e+06|4.159349144e+06|3.212663865e+06|3.486426483e+06|1.263775250e+07|1.364357800e+07|1.443552600e+07|1.350068500e+07|1.242728200e+07|1.457408900e+07|9.038778250e+06|1.009901650e+07|1.105446025e+07|1.000219500e+07|8.896589000e+06|1.110780200e+07|4.853174060e+03|4.991571361e+03|5.089371514e+03|4.963869507e+03|4.825134942e+03|5.102604073e+03|2.033207495e+03|2.171588539e+03|2.269318969e+03|2.143873175e+03|2.005142182e+03|2.282604169e+03|7.884305635e+03|8.601355911e+03|9.167440588e+03|8.502764151e+03|7.749878260e+03|9.255650043e+03|5.583257219e+03|6.208146084e+03|6.700405029e+03|6.070079535e+03|5.399300909e+03|6.740858161e+03|5.656708096e+10|5.885623091e+10|6.082520269e+10|5.849862963e+10|5.595525120e+10|6.104201216e+10|2.282889830e+10|5.302098739e+10|5.633332122e+10|3.805933568e+10|1.962194534e+10|5.649673011e+10|3.830500244e+03|3.858014038e+03|3.895409729e+03|3.865273193e+03|3.827797119e+03|3.902748535e+03
4.167951483e+06|4.168079597e+06|3.181983483e+06|3.422551260e+06|1.278023000e+07|1.363054000e+07|1.457014550e+07|1.352433800e+07|1.239087200e+07|1.465780500e+07|9.017466750e+06|1.027079050e+07|1.103467700e+07|1.004804600e+07|8.860619000e+06|1.123547300e+07|4.872476303e+03|5.003559191e+03|5.123135724e+03|4.971414527e+03|4.824178022e+03|5.118651032e+03|2.052519036e+03|2.183606577e+03|2.303158521e+03|2.151419776e+03|2.004181039e+03|2.298658513e+03|7.977684397e+03|8.648383256e+03|9.288428200e+03|8.531077094e+03|7.733608138e+03|9.328546051e+03|5.642912574e+03|6.204504160e+03|6.751867903e+03|6.108191273e+03|5.394661780e+03|6.821720765e+03|5.613977088e+10|5.809821491e+10|6.030498099e+10|5.801196749e+10|5.554821530e+10|6.047573606e+10|2.784047206e+10|5.253445837e+10|5.572208640e+10|3.818617651e+10|2.029915546e+10|5.607318733e+10|3.824278503e+03|3.846211060e+03|3.879533203e+03|3.852522217e+03|3.815038086e+03|3.890006348e+03
4.176313651e+06|4.176341608e+06|3.340313734e+06|3.614600401e+06|1.322131575e+07|1.371027850e+07|1.433094400e+07|1.362763900e+07|1.279822100e+07|1.445706000e+07|8.940639750e+06|1.038834450e+07|1.101857950e+07|9.981867000e+06|8.880634000e+06|1.108309900e+07|4.938887291e+03|5.020774139e+03|5.085480976e+03|4.993094833e+03|4.883044168e+03|5.103145499e+03|2.118897834e+03|2.200773073e+03|2.265469609e+03|2.173092005e+03|2.063039441e+03|2.283144569e+03|8.323744433e+03|8.708475437e+03|9.115093506e+03|8.616346982e+03|8.027148551e+03|9.205545413e+03|5.866251518e+03|6.334335786e+03|6.683793261e+03|6.160517552e+03|5.604686737e+03|6.716348366e+03|5.655261184e+10|5.797394842e+10|5.933397914e+10|5.775835136e+10|5.589350810e+10|5.962317005e+10|1.573841408e+10|5.320247910e+10|5.579837850e+10|3.402414899e+10|1.210974515e+10|5.593855181e+10|3.807522644e+03|3.833258057e+03|3.873174255e+03|3.839640625e+03|3.801244141e+03|3.878037109e+03
4.183802293e+06|4.183387573e+06|2.998577563e+06|3.213245457e+06|1.286129100e+07|1.404950700e+07|1.472729250e+07|1.374662400e+07|1.258116700e+07|1.491207800e+07|8.424117000e+06|9.510238500e+06|1.104048200e+07|9.586019000e+06|8.230247000e+06|1.094179100e+07|4.929341745e+03|5.061582396e+03|5.134164436e+03|5.005415948e+03|4.855727126e+03|5.155104771e+03|2.109354133e+03|2.241629297e+03|2.314136681e+03|2.185417393e+03|2.035731541e+03|2.335103244e+03|8.136433533e+03|8.916349569e+03|9.392818850e+03|8.702683337e+03|7.886829034e+03|9.518537639e+03|5.624950704e+03|6.252060763e+03|6.799353099e+03|6.119508940e+03|5.407266769e+03|6.831751110e+03|5.577206784e+10|5.821501235e+10|6.015294976e+10|5.768892416e+10|5.510290637e+10|6.027495014e+10|-6.595812352e+09|4.653050470e+10|5.303337370e+10|2.099541197e+10|-1.170899251e+10|5.369980928e+10|3.800718506e+03|3.831190552e+03|3.856108521e+03|3.830457275e+03|3.794050049e+03|3.866863770e+03
4.191201029e+06|4.191150416e+06|3.080036651e+06|3.200403169e+06|1.287122250e+07|1.389859200e+07|1.457357050e+07|1.369905400e+07|1.263505200e+07|1.476305800e+07|8.910618000e+06|1.004950950e+07|1.108744500e+07|9.885290000e+06|8.613764000e+06|1.115681500e+07|4.909815797e+03|5.036175320e+03|5.129182182e+03|5.010679935e+03|4.874341191e+03|5.147018679e+03|2.089791459e+03|2.216180413e+03|2.309096459e+03|2.190674330e+03|2.054337766e+03|2.327010894e+03|8.119729167e+03|8.832408411e+03|9.308834528e+03|8.690830296e+03|7.945689176e+03|9.435971417e+03|5.681840458e+03|6.228710533e+03|6.735839755e+03|6.171176712e+03|5.474863732e+03|6.867489691e+03|5.490756301e+10|5.700622746e+10|5.849002394e+10|5.673005466e+10|5.440961331e+10|5.905050829e+10|4.135821312e+09|4.853344870e+10|5.374458778e+10|2.818735309e+10|2.714444800e+09|5.366026240e+10|3.780286133e+03|3.809926392e+03|3.832848206e+03|3.810936768e+03|3.777300537e+03|3.844573975e+03
