#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
3.236336073e+05|3.013152592e+11|3.029003642e+11|3.044518868e+11|0.000000|0.000000|0.000000
4.908787095e+05|2.984694446e+11|3.000094127e+11|3.014726832e+11|0.000000|0.000000|0.000000
5.821159888e+05|2.966204017e+11|2.981913829e+11|2.996541683e+11|0.000000|0.000000|0.000000
6.549045378e+05|2.949965179e+11|2.966112338e+11|2.980905291e+11|0.000000|0.000000|0.000000
7.099906066e+05|2.936802882e+11|2.953360981e+11|2.968353321e+11|0.000000|0.000000|0.000000
7.612242143e+05|2.923888757e+11|2.940872230e+11|2.956092930e+11|0.000000|0.000000|0.000000
8.046508891e+05|2.912436535e+11|2.929802229e+11|2.945240318e+11|0.000000|0.000000|0.000000
8.434351920e+05|2.901817036e+11|2.919533846e+11|2.935179046e+11|0.000000|0.000000|0.000000
8.798309685e+05|2.891516144e+11|2.909565781e+11|2.925412527e+11|0.000000|0.000000|0.000000
9.144088290e+05|2.881429400e+11|2.899794309e+11|2.915835921e+11|0.000000|0.000000|0.000000
9.487166477e+05|2.871132541e+11|2.889805961e+11|2.906041531e+11|0.000000|0.000000|0.000000
9.794215157e+05|2.861673279e+11|2.880616631e+11|2.897024326e+11|0.000000|0.000000|0.000000
1.010208348e+06|2.851957790e+11|2.871163753e+11|2.887740954e+11|0.000000|0.000000|0.000000
1.041838462e+06|2.841735479e+11|2.861200798e+11|2.877947340e+11|0.000000|0.000000|0.000000
1.069852009e+06|2.832478383e+11|2.852162978e+11|2.869054209e+11|0.000000|0.000000|0.000000
1.098143725e+06|2.822935338e+11|2.842830084e+11|2.859861347e+11|0.000000|0.000000|0.000000
1.126538647e+06|2.813161487e+11|2.833254497e+11|2.850419205e+11|0.000000|0.000000|0.000000
1.154562057e+06|2.803323035e+11|2.823598177e+11|2.840886760e+11|0.000000|0.000000|0.000000
1.180356271e+06|2.794098223e+11|2.814528250e+11|2.831923320e+11|0.000000|0.000000|0.000000
1.205553308e+06|2.784930574e+11|2.805499382e+11|2.822990970e+11|0.000000|0.000000|0.000000
1.231804590e+06|2.775214921e+11|2.795914503e+11|2.813498262e+11|0.000000|0.000000|0.000000
1.258913611e+06|2.765005669e+11|2.785824859e+11|2.803494338e+11|0.000000|0.000000|0.000000
1.281763247e+06|2.756261457e+11|2.777168838e+11|2.794902779e+11|0.000000|0.000000|0.000000
1.305067573e+06|2.747212183e+11|2.768197270e+11|2.785989363e+11|0.000000|0.000000|0.000000
1.329135598e+06|2.737727374e+11|2.758779433e+11|2.776623313e+11|0.000000|0.000000|0.000000
1.354447449e+06|2.727599957e+11|2.748707596e+11|2.766596668e+11|0.000000|0.000000|0.000000
