#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
3.346108666e+05|2.757044870e+11|2.799187545e+11|2.869178459e+11|0.000000|0.000000|0.000000
5.098968313e+05|2.735459823e+11|2.779757168e+11|2.848057679e+11|0.000000|0.000000|0.000000
6.074915308e+05|2.719125337e+11|2.764514117e+11|2.832318815e+11|0.000000|0.000000|0.000000
6.779448015e+05|2.705402957e+11|2.751563166e+11|2.819197636e+11|0.000000|0.000000|0.000000
7.394220794e+05|2.692106653e+11|2.738941001e+11|2.806549794e+11|0.000000|0.000000|0.000000
7.910342448e+05|2.679994929e+11|2.727402135e+11|2.795074097e+11|0.000000|0.000000|0.000000
8.334440606e+05|2.669396830e+11|2.717282632e+11|2.785062058e+11|0.000000|0.000000|0.000000
8.782472852e+05|2.657570698e+11|2.705972278e+11|2.773917496e+11|0.000000|0.000000|0.000000
9.164106696e+05|2.646989466e+11|2.695840216e+11|2.763967319e+11|0.000000|0.000000|0.000000
9.480709894e+05|2.637858823e+11|2.687089964e+11|2.755395218e+11|0.000000|0.000000|0.000000
9.799342676e+05|2.628348809e+11|2.677970524e+11|2.746479073e+11|0.000000|0.000000|0.000000
1.012000534e+06|2.618455246e+11|2.668478401e+11|2.737214901e+11|0.000000|0.000000|0.000000
1.042444723e+06|2.608764318e+11|2.659176803e+11|2.728150512e+11|0.000000|0.000000|0.000000
1.070178284e+06|2.599685465e+11|2.650459855e+11|2.719666527e+11|0.000000|0.000000|0.000000
1.094054357e+06|2.591679184e+11|2.642770837e+11|2.712190416e+11|0.000000|0.000000|0.000000
1.119198922e+06|2.583058562e+11|2.634490159e+11|2.704145793e+11|0.000000|0.000000|0.000000
1.145585060e+06|2.573805287e+11|2.625600145e+11|2.695515972e+11|0.000000|0.000000|0.000000
1.173652415e+06|2.563731613e+11|2.615920308e+11|2.686126240e+11|0.000000|0.000000|0.000000
1.197259842e+06|2.555075943e+11|2.607601865e+11|2.678061887e+11|0.000000|0.000000|0.000000
1.220780902e+06|2.546287307e+11|2.599154659e+11|2.669876503e+11|0.000000|0.000000|0.000000
1.243600118e+06|2.537605156e+11|2.590808927e+11|2.661792588e+11|0.000000|0.000000|0.000000
1.265837534e+06|2.528998033e+11|2.582534520e+11|2.653780290e+11|0.000000|0.000000|0.000000
1.289240523e+06|2.519785148e+11|2.573676934e+11|2.645205515e+11|0.000000|0.000000|0.000000
1.311541959e+06|2.510859707e+11|2.565094912e+11|2.636899185e+11|0.000000|0.000000|0.000000
1.334694217e+06|2.501444276e+11|2.556040913e+11|2.628137308e+11|0.000000|0.000000|0.000000
1.357466230e+06|2.492036429e+11|2.546993337e+11|2.619382452e+11|0.000000|0.000000|0.000000
1.375783482e+06|2.484364198e+11|2.539614248e+11|2.612242371e+11|0.000000|0.000000|0.000000
1.395582120e+06|2.475967436e+11|2.531537604e+11|2.604427304e+11|0.000000|0.000000|0.000000
1.418690594e+06|2.466031625e+11|2.521979584e+11|2.595178416e+11|0.000000|0.000000|0.000000
1.438691633e+06|2.457315492e+11|2.513593919e+11|2.587063252e+11|0.000000|0.000000|0.000000
1.458825184e+06|2.448433751e+11|2.505047958e+11|2.578791961e+11|0.000000|0.000000|0.000000
1.480284366e+06|2.438849437e+11|2.495824816e+11|2.569863795e+11|0.000000|0.000000|0.000000
1.499798471e+06|2.430029576e+11|2.487336176e+11|2.561645015e+11|0.000000|0.000000|0.000000
1.517728619e+06|2.421839086e+11|2.479452225e+11|2.554010078e+11|0.000000|0.000000|0.000000
1.536146411e+06|2.413340545e+11|2.471270618e+11|2.546085024e+11|0.000000|0.000000|0.000000
1.556606622e+06|2.403799439e+11|2.462083862e+11|2.537183828e+11|0.000000|0.000000|0.000000
1.575848689e+06|2.394731448e+11|2.453351120e+11|2.528719827e+11|0.000000|0.000000|0.000000
1.593899148e+06|2.386142456e+11|2.445078207e+11|2.520698861e+11|0.000000|0.000000|0.000000
1.612304687e+06|2.377303288e+11|2.436562751e+11|2.512439852e+11|0.000000|0.000000|0.000000
1.630213070e+06|2.368625198e+11|2.428200831e+11|2.504326718e+11|0.000000|0.000000|0.000000
1.650606737e+06|2.358650805e+11|2.418587708e+11|2.494995657e+11|0.000000|0.000000|0.000000
1.667158338e+06|2.350484554e+11|2.410715446e+11|2.487351057e+11|0.000000|0.000000|0.000000
1.684011811e+06|2.342104948e+11|2.402635748e+11|2.479501751e+11|0.000000|0.000000|0.000000
1.701396253e+06|2.333394195e+11|2.394234766e+11|2.471336659e+11|0.000000|0.000000|0.000000
1.719991533e+06|2.324002384e+11|2.385174564e+11|2.462526487e+11|0.000000|0.000000|0.000000
1.738415219e+06|2.314622657e+11|2.376123429e+11|2.453720414e+11|0.000000|0.000000|0.000000
1.753476347e+06|2.306900570e+11|2.368669828e+11|2.446464946e+11|0.000000|0.000000|0.000000
1.770269228e+06|2.298233916e+11|2.360302216e+11|2.438315672e+11|0.000000|0.000000|0.000000
1.789350358e+06|2.288314989e+11|2.350722444e+11|2.428980375e+11|0.000000|0.000000|0.000000
1.805216566e+06|2.280010486e+11|2.342699242e+11|2.421157265e+11|0.000000|0.000000|0.000000
1.820759775e+06|2.271825913e+11|2.334789443e+11|2.413440445e+11|0.000000|0.000000|0.000000
1.836728437e+06|2.263367518e+11|2.326612345e+11|2.405458254e+11|0.000000|0.000000|0.000000
1.854434697e+06|2.253930801e+11|2.317486133e+11|2.396543905e+11|0.000000|0.000000|0.000000
1.871885789e+06|2.244571608e+11|2.308431291e+11|2.387693195e+11|0.000000|0.000000|0.000000
1.888443479e+06|2.235638973e+11|2.299785654e+11|2.379236671e+11|0.000000|0.000000|0.000000
1.902924989e+06|2.227785254e+11|2.292181358e+11|2.371793912e+11|0.000000|0.000000|0.000000
1.918595717e+06|2.219244170e+11|2.283908328e+11|2.363691411e+11|0.000000|0.000000|0.000000
1.934902441e+06|2.210310568e+11|2.275251413e+11|2.355206988e+11|0.000000|0.000000|0.000000
1.949298754e+06|2.202385491e+11|2.267568528e+11|2.347671981e+11|0.000000|0.000000|0.000000
1.966069816e+06|2.193109068e+11|2.258571570e+11|2.338841834e+11|0.000000|0.000000|0.000000
