#RRR|Lz25|Lz50|Lz75|Lzmean|
3.214576406e+05|1.911391693e+26|3.205496236e+26|5.846780121e+26|3.773536824e+26|3.773536824e+28
4.891845666e+05|5.405890811e+26|8.763108093e+26|1.128841571e+27|8.177402360e+26|8.177402360e+28
5.827810659e+05|6.200324941e+26|1.264411721e+27|1.564293377e+27|1.130768452e+27|1.130768452e+29
6.503918000e+05|1.002506452e+27|1.571410404e+27|1.945983927e+27|1.408870597e+27|1.408870597e+29
7.099025129e+05|1.098224668e+27|1.784364160e+27|2.344627762e+27|1.651932527e+27|1.651932527e+29
7.577432073e+05|1.387060275e+27|2.190393662e+27|2.661406112e+27|1.925360128e+27|1.925360128e+29
8.013927797e+05|1.332576880e+27|2.166291801e+27|2.868153806e+27|2.037398884e+27|2.037398884e+29
8.421511867e+05|1.550654553e+27|2.643377311e+27|3.302123571e+27|2.372518014e+27|2.372518014e+29
8.766950362e+05|1.769304881e+27|2.855379552e+27|3.587685439e+27|2.600293755e+27|2.600293755e+29
9.102646162e+05|2.076564792e+27|3.321015516e+27|3.836220100e+27|2.856541892e+27|2.856541892e+29
9.412757439e+05|1.816230567e+27|2.917119952e+27|3.948050203e+27|2.804428162e+27|2.804428162e+29
9.715212957e+05|1.954247420e+27|3.412358575e+27|4.335042779e+27|3.051548207e+27|3.051548207e+29
9.987042475e+05|2.245205775e+27|3.797516322e+27|4.637692784e+27|3.363531257e+27|3.363531257e+29
1.022871135e+06|2.328397010e+27|3.929341703e+27|4.868855289e+27|3.500044720e+27|3.500044720e+29
1.048596276e+06|2.313958886e+27|4.185438731e+27|5.131462983e+27|3.673238775e+27|3.673238775e+29
1.073328488e+06|2.642699564e+27|3.989403547e+27|5.348634234e+27|3.768261871e+27|3.768261871e+29
1.097831623e+06|2.586667090e+27|4.409679259e+27|5.279267065e+27|3.904653518e+27|3.904653518e+29
1.119007974e+06|2.481342275e+27|4.417961542e+27|5.719506661e+27|4.010885562e+27|4.010885562e+29
1.137509426e+06|2.740199319e+27|4.694540021e+27|5.936866573e+27|4.232679616e+27|4.232679616e+29
1.157385373e+06|3.487325303e+27|5.429121104e+27|6.395682537e+27|4.743046841e+27|4.743046841e+29
1.177564992e+06|3.330736118e+27|5.001742217e+27|6.296500187e+27|4.594723655e+27|4.594723655e+29
1.197736976e+06|2.804595896e+27|5.237205258e+27|6.583386991e+27|4.650849949e+27|4.650849949e+29
1.217004923e+06|2.808890818e+27|5.190851493e+27|6.697956173e+27|4.618756586e+27|4.618756586e+29
1.236351174e+06|3.391173018e+27|5.442586006e+27|6.934645373e+27|5.030319247e+27|5.030319247e+29
1.251903587e+06|3.040385312e+27|6.013604456e+27|7.308026783e+27|5.216184568e+27|5.216184568e+29
1.268865313e+06|3.762948356e+27|6.214779880e+27|7.482113720e+27|5.517395188e+27|5.517395188e+29
1.284880487e+06|3.496509581e+27|5.886220323e+27|7.327450234e+27|5.321228499e+27|5.321228499e+29
1.299104207e+06|4.069682020e+27|6.426902798e+27|7.887205303e+27|5.733028333e+27|5.733028333e+29
1.315187971e+06|4.406572037e+27|7.096094399e+27|8.139143288e+27|6.027089226e+27|6.027089226e+29
1.331707198e+06|3.706259729e+27|6.422276396e+27|7.931920845e+27|5.685335624e+27|5.685335624e+29
1.348480917e+06|3.827924089e+27|6.214005268e+27|8.317677384e+27|5.769429517e+27|5.769429517e+29
1.363860218e+06|3.776101889e+27|7.314608965e+27|8.616127176e+27|6.182038286e+27|6.182038286e+29
1.379121382e+06|3.403465239e+27|6.754373099e+27|8.352362374e+27|5.887566575e+27|5.887566575e+29
1.392405236e+06|4.678013118e+27|7.618106207e+27|9.219925406e+27|6.778216270e+27|6.778216270e+29
1.404053243e+06|4.140475759e+27|7.707327940e+27|9.028490652e+27|6.572079299e+27|6.572079299e+29
1.417388632e+06|4.374504754e+27|6.969010127e+27|9.365807032e+27|6.529950790e+27|6.529950790e+29
1.429850668e+06|4.804946604e+27|7.592047498e+27|9.537248103e+27|6.974015478e+27|6.974015478e+29
1.443118616e+06|4.839794429e+27|8.130350849e+27|9.816815562e+27|7.085233665e+27|7.085233665e+29
1.455972276e+06|4.527103586e+27|7.953759981e+27|1.003516861e+28|7.082617373e+27|7.082617373e+29
1.470308034e+06|5.153184046e+27|8.455951787e+27|1.017479775e+28|7.341839554e+27|7.341839554e+29
1.483901850e+06|4.627936235e+27|7.677632846e+27|9.587709235e+27|6.830804250e+27|6.830804250e+29
1.495640990e+06|4.774923883e+27|8.608611131e+27|1.006297197e+28|7.401702061e+27|7.401702061e+29
1.509764874e+06|4.301041742e+27|7.639499904e+27|1.074852831e+28|7.334076882e+27|7.334076882e+29
1.521198864e+06|3.717319514e+27|8.083599325e+27|1.042475480e+28|7.202435772e+27|7.202435772e+29
1.531624888e+06|5.494388166e+27|9.500421484e+27|1.102189910e+28|8.208747329e+27|8.208747329e+29
1.542561634e+06|5.008110261e+27|7.814051628e+27|1.080955684e+28|7.550767420e+27|7.550767420e+29
1.553525161e+06|5.872975315e+27|9.372129809e+27|1.141652684e+28|8.358648314e+27|8.358648314e+29
1.563451661e+06|6.188229212e+27|9.339394681e+27|1.165622031e+28|8.357454337e+27|8.357454337e+29
1.574639881e+06|7.258279429e+27|1.026567403e+28|1.153531290e+28|8.885217960e+27|8.885217960e+29
1.584995121e+06|5.060100637e+27|9.281314003e+27|1.152064402e+28|8.104826260e+27|8.104826260e+29
1.597246746e+06|5.673890247e+27|9.493243588e+27|1.173685958e+28|8.477206404e+27|8.477206404e+29
1.606888974e+06|6.296990796e+27|1.022939687e+28|1.235145904e+28|8.909501461e+27|8.909501461e+29
1.618623083e+06|4.338780108e+27|7.651588337e+27|1.168535562e+28|7.689055115e+27|7.689055115e+29
1.632028656e+06|4.992211481e+27|9.626967088e+27|1.240118413e+28|8.693582683e+27|8.693582683e+29
1.642527704e+06|6.685798491e+27|9.189218807e+27|1.188599009e+28|8.815955009e+27|8.815955009e+29
1.652339699e+06|5.539951087e+27|1.017127607e+28|1.223316499e+28|8.761826245e+27|8.761826245e+29
1.661786342e+06|5.333613737e+27|1.119949794e+28|1.319305143e+28|9.332069732e+27|9.332069732e+29
1.670913419e+06|5.429604532e+27|1.045222017e+28|1.306676011e+28|8.953806685e+27|8.953806685e+29
1.679595577e+06|5.510469330e+27|1.041168361e+28|1.278581503e+28|9.121375225e+27|9.121375225e+29
1.687636458e+06|6.526355537e+27|1.124267887e+28|1.362289370e+28|9.851674913e+27|9.851674913e+29
1.696896585e+06|7.872878747e+27|1.133445431e+28|1.354176399e+28|1.014358114e+28|1.014358114e+30
1.705565402e+06|7.656147996e+27|1.072062815e+28|1.367452155e+28|9.864327062e+27|9.864327062e+29
1.715714505e+06|7.148463910e+27|1.201718266e+28|1.381309246e+28|1.027314572e+28|1.027314572e+30
1.726819043e+06|5.620128313e+27|1.083883308e+28|1.380466884e+28|9.657312583e+27|9.657312583e+29
1.735792084e+06|7.435241653e+27|1.116550788e+28|1.413575276e+28|1.022580556e+28|1.022580556e+30
1.744694257e+06|4.893367333e+27|9.558514467e+27|1.363251100e+28|8.840251244e+27|8.840251244e+29
1.755133307e+06|6.838833595e+27|1.291155648e+28|1.473591961e+28|1.063112162e+28|1.063112162e+30
1.764620842e+06|7.465150681e+27|1.210723506e+28|1.452846159e+28|1.057354748e+28|1.057354748e+30
1.773941245e+06|7.335830082e+27|1.132951446e+28|1.424889822e+28|1.032902614e+28|1.032902614e+30
1.783397527e+06|6.307825699e+27|1.019719959e+28|1.466538762e+28|9.768243049e+27|9.768243049e+29
1.792176135e+06|5.318238135e+27|1.048047439e+28|1.430558621e+28|9.609175610e+27|9.609175610e+29
1.800198116e+06|6.635876190e+27|1.128082379e+28|1.491871976e+28|1.049911751e+28|1.049911751e+30
1.807538440e+06|9.386517474e+27|1.294533174e+28|1.507717408e+28|1.160034448e+28|1.160034448e+30
1.815144051e+06|7.786500585e+27|1.345332166e+28|1.573344088e+28|1.156810660e+28|1.156810660e+30
1.822699166e+06|6.101300321e+27|1.147791933e+28|1.576686268e+28|1.058528163e+28|1.058528163e+30
1.830247397e+06|7.258408275e+27|1.256615494e+28|1.548717666e+28|1.099077896e+28|1.099077896e+30
1.837980037e+06|1.038028585e+28|1.398377902e+28|1.605816144e+28|1.250138094e+28|1.250138094e+30
1.845985649e+06|9.045128217e+27|1.362905220e+28|1.598898296e+28|1.192849181e+28|1.192849181e+30
1.854432326e+06|7.176931879e+27|1.187036206e+28|1.598742058e+28|1.106787463e+28|1.106787463e+30
1.862525752e+06|7.261020015e+27|1.291423994e+28|1.638149424e+28|1.135867358e+28|1.135867358e+30
1.871321895e+06|7.935957050e+27|1.369729352e+28|1.583986727e+28|1.181317375e+28|1.181317375e+30
1.880247345e+06|6.524659645e+27|1.281043838e+28|1.663135387e+28|1.132334557e+28|1.132334557e+30
