#R_planet
2.777520850e+07
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.265104012e+05|3.499508419e+05|2.595339457e+05|2.627372201e+05|1.081957475e+07|1.112836850e+07|1.147539775e+07|1.118170900e+07|1.068602200e+07|1.167739400e+07|5.798501375e+06|6.307440750e+06|7.164520500e+06|6.445044000e+06|5.701234500e+06|7.188854500e+06|2.382536597e+03|2.412546002e+03|2.442052708e+03|2.408720052e+03|2.362991873e+03|2.454448231e+03|5.667267457e+02|5.967428517e+02|6.262382282e+02|5.929114896e+02|5.471825279e+02|6.386404512e+02|1.320855203e+04|1.380908959e+04|1.443199186e+04|1.382483941e+04|1.289445081e+04|1.475522801e+04|8.379374966e+03|9.083732804e+03|9.769467343e+03|9.222344358e+03|8.377405176e+03|1.006728354e+04|3.123965542e+11|3.168626278e+11|3.197043180e+11|3.173475615e+11|3.119707259e+11|3.227244626e+11|1.075655393e+11|1.296114074e+11|1.614019953e+11|1.370730988e+11|1.001153823e+11|1.740307825e+11|1.119995337e+04|1.123887646e+04|1.130333447e+04|1.126825781e+04|1.118980762e+04|1.134670508e+04
4.961132385e+05|4.984270073e+05|3.875318243e+05|4.145240894e+05|1.073075675e+07|1.105846150e+07|1.137859550e+07|1.115225100e+07|1.070856800e+07|1.159593300e+07|5.634135500e+06|6.239944250e+06|6.913447000e+06|6.279314500e+06|5.503822500e+06|7.054804500e+06|2.383503736e+03|2.415555010e+03|2.436748908e+03|2.412977888e+03|2.373521923e+03|2.452433852e+03|5.677024659e+02|5.997516899e+02|6.209464509e+02|5.971705457e+02|5.577140755e+02|6.366270159e+02|1.321157465e+04|1.381850024e+04|1.430394490e+04|1.385687808e+04|1.304548070e+04|1.466827546e+04|8.556572012e+03|8.984227188e+03|9.499479032e+03|9.199776000e+03|8.486006024e+03|9.913545976e+03|3.094970450e+11|3.132983214e+11|3.176191263e+11|3.147580703e+11|3.090597151e+11|3.204563927e+11|9.710029210e+10|1.268266598e+11|1.537218601e+11|1.276979118e+11|8.802424422e+10|1.673715548e+11|1.117517554e+04|1.122736768e+04|1.129857153e+04|1.123602344e+04|1.115900098e+04|1.131304492e+04
5.919984938e+05|5.929652421e+05|4.590993793e+05|5.008954790e+05|1.081835750e+07|1.101763950e+07|1.121882275e+07|1.109074700e+07|1.067726800e+07|1.150422500e+07|5.390726625e+06|6.173560250e+06|6.791040750e+06|6.176165000e+06|5.406589000e+06|6.945741000e+06|2.387336783e+03|2.413167135e+03|2.432450695e+03|2.413733959e+03|2.377067427e+03|2.450400492e+03|5.715271287e+02|5.973538897e+02|6.166388598e+02|5.979252593e+02|5.612578980e+02|6.345926206e+02|1.336040219e+04|1.376332671e+04|1.412108720e+04|1.382557230e+04|1.308446424e+04|1.456668036e+04|8.556090779e+03|8.991899857e+03|9.488701279e+03|9.153189142e+03|8.456672313e+03|9.849705971e+03|3.067480801e+11|3.105457111e+11|3.174292931e+11|3.120206971e+11|3.054828257e+11|3.185585684e+11|8.576661914e+10|1.229891338e+11|1.519949210e+11|1.228884214e+11|8.197335450e+10|1.638034964e+11|1.114435352e+04|1.120396045e+04|1.127775708e+04|1.120811035e+04|1.112472168e+04|1.129149902e+04
6.615952226e+05|6.626228447e+05|5.319983462e+05|5.830051750e+05|1.081052300e+07|1.106500400e+07|1.159033900e+07|1.133307900e+07|1.068162400e+07|1.198453500e+07|5.548169125e+06|6.346020500e+06|7.074819875e+06|6.454964000e+06|5.501562000e+06|7.408364000e+06|2.393750780e+03|2.429393235e+03|2.464805036e+03|2.436043618e+03|2.383660315e+03|2.488426921e+03|5.779475437e+02|6.135895941e+02|6.489993682e+02|6.202366746e+02|5.678537147e+02|6.726196346e+02|1.336694309e+04|1.400952558e+04|1.486570822e+04|1.430559653e+04|1.316474714e+04|1.544644592e+04|8.657017404e+03|9.198299556e+03|1.017662220e+04|9.654204446e+03|8.549179970e+03|1.075922892e+04|3.064213258e+11|3.098873037e+11|3.152422257e+11|3.121096950e+11|3.047436452e+11|3.194757120e+11|8.318670438e+10|1.264651141e+11|1.549104497e+11|1.247365448e+11|8.058097664e+10|1.688921375e+11|1.107998267e+04|1.115927734e+04|1.122888623e+04|1.115900000e+04|1.106942578e+04|1.124857715e+04
7.183216526e+05|7.169346758e+05|5.594915495e+05|6.403378409e+05|1.051392300e+07|1.105001300e+07|1.157075850e+07|1.134151800e+07|1.046920100e+07|1.221383600e+07|5.546743625e+06|6.429005750e+06|7.294928000e+06|6.615577500e+06|5.488935000e+06|7.742221500e+06|2.374140704e+03|2.420696245e+03|2.461570625e+03|2.431668644e+03|2.362333354e+03|2.501003933e+03|5.583308436e+02|6.048840335e+02|6.457664748e+02|6.158608656e+02|5.465262237e+02|6.851955075e+02|1.291140717e+04|1.379980036e+04|1.469674108e+04|1.428227140e+04|1.275128100e+04|1.581326180e+04|8.359023155e+03|9.068806453e+03|1.018988980e+04|9.708617524e+03|8.275146802e+03|1.114208824e+04|3.034913341e+11|3.090890260e+11|3.159776051e+11|3.126263808e+11|3.033591644e+11|3.218935316e+11|8.678848102e+10|1.273490555e+11|1.592272159e+11|1.327507374e+11|8.438098330e+10|1.811205161e+11|1.108853931e+04|1.116996973e+04|1.124960400e+04|1.116702344e+04|1.106576758e+04|1.126828125e+04
7.735518954e+05|7.721051186e+05|6.075945310e+05|6.469831412e+05|1.068131575e+07|1.099070150e+07|1.146424500e+07|1.118896100e+07|1.053491700e+07|1.184300700e+07|5.338799000e+06|6.087186500e+06|7.112764375e+06|6.236248500e+06|5.323949000e+06|7.148549000e+06|2.390836773e+03|2.418694123e+03|2.464172895e+03|2.432708949e+03|2.378369451e+03|2.487048447e+03|5.750298810e+02|6.028887209e+02|6.483730773e+02|6.169012676e+02|5.625619711e+02|6.712405641e+02|1.325097533e+04|1.376013749e+04|1.475366325e+04|1.416300832e+04|1.299672526e+04|1.532929138e+04|8.511660869e+03|9.028944334e+03|1.004453657e+04|9.486580865e+03|8.416913676e+03|1.055624805e+04|3.013781258e+11|3.059476890e+11|3.100180808e+11|3.076476764e+11|3.002891960e+11|3.150061240e+11|7.360368640e+10|1.096234516e+11|1.504021873e+11|1.165622149e+11|7.243930829e+10|1.606851461e+11|1.104860718e+04|1.114993750e+04|1.120672437e+04|1.112233984e+04|1.102908203e+04|1.121559863e+04
8.152391930e+05|8.166428918e+05|6.382355053e+05|7.143560826e+05|1.046983125e+07|1.104326750e+07|1.152220475e+07|1.119322200e+07|1.043361000e+07|1.195283700e+07|5.202805875e+06|6.111957750e+06|6.917559125e+06|6.216016500e+06|5.187196000e+06|7.244838000e+06|2.379572485e+03|2.428117149e+03|2.472123516e+03|2.433595102e+03|2.372139259e+03|2.495050946e+03|5.637579263e+02|6.123156557e+02|6.563232174e+02|6.177875708e+02|5.563305917e+02|6.792445500e+02|1.295940701e+04|1.394663763e+04|1.472998696e+04|1.418845173e+04|1.286076850e+04|1.551613495e+04|8.213107136e+03|9.089789077e+03|1.010099355e+04|9.501070987e+03|8.268895541e+03|1.073324643e+04|2.991010775e+11|3.060331807e+11|3.119139308e+11|3.069567959e+11|2.984147354e+11|3.154988237e+11|6.370810266e+10|1.101789266e+11|1.497802138e+11|1.146599014e+11|6.791650509e+10|1.614033060e+11|1.102947070e+04|1.112032910e+04|1.121417358e+04|1.111136914e+04|1.100388867e+04|1.121885156e+04
8.524779479e+05|8.531191578e+05|6.670516414e+05|7.297924477e+05|1.055494750e+07|1.104841200e+07|1.150774475e+07|1.117844000e+07|1.046525200e+07|1.189163100e+07|5.511266250e+06|6.330784750e+06|7.053414875e+06|6.329798000e+06|5.384585000e+06|7.275011000e+06|2.395982560e+03|2.431794522e+03|2.474482635e+03|2.437462413e+03|2.376825630e+03|2.498099196e+03|5.801692104e+02|6.159816521e+02|6.586766841e+02|6.216535707e+02|5.610182467e+02|6.822888947e+02|1.318830304e+04|1.399298935e+04|1.496012231e+04|1.422163110e+04|1.294578310e+04|1.549747910e+04|8.356446837e+03|9.341175951e+03|1.023202220e+04|9.581017546e+03|8.372949536e+03|1.078908556e+04|2.969357353e+11|3.042769633e+11|3.109887836e+11|3.052937871e+11|2.968601559e+11|3.137273856e+11|7.737161318e+10|1.179835187e+11|1.522555126e+11|1.194071572e+11|7.598415053e+10|1.628301885e+11|1.100125586e+04|1.108709668e+04|1.117794897e+04|1.108823047e+04|1.098119922e+04|1.119526270e+04
8.907803314e+05|8.910408525e+05|6.894395209e+05|7.615676360e+05|1.057865575e+07|1.095006550e+07|1.163450175e+07|1.125393200e+07|1.051242900e+07|1.199543200e+07|5.570847125e+06|6.362738000e+06|7.066155250e+06|6.392185500e+06|5.477901000e+06|7.306473000e+06|2.398162187e+03|2.434319024e+03|2.473917851e+03|2.445086050e+03|2.386789862e+03|2.503382237e+03|5.823568553e+02|6.185189108e+02|6.581164689e+02|6.292784327e+02|5.709807051e+02|6.875761602e+02|1.328028025e+04|1.395677657e+04|1.498429415e+04|1.437365770e+04|1.309321479e+04|1.565410062e+04|8.560458878e+03|9.270755762e+03|1.019597187e+04|9.730096511e+03|8.542142473e+03|1.091805055e+04|2.979592274e+11|3.042718351e+11|3.103085609e+11|3.053353697e+11|2.974994924e+11|3.131712799e+11|8.695705190e+10|1.180185887e+11|1.449341051e+11|1.187788308e+11|7.727815885e+10|1.602794947e+11|1.100764551e+04|1.108939014e+04|1.115127026e+04|1.107283984e+04|1.097978613e+04|1.116589453e+04
9.269276650e+05|9.242528164e+05|7.475667083e+05|7.912145514e+05|1.059240125e+07|1.114919700e+07|1.188037950e+07|1.140306800e+07|1.051968100e+07|1.228645400e+07|5.419964875e+06|6.030937250e+06|6.977585875e+06|6.347552000e+06|5.369387500e+06|7.325716500e+06|2.398229582e+03|2.442232530e+03|2.500319112e+03|2.459175542e+03|2.391033208e+03|2.527317875e+03|5.824244126e+02|6.264255107e+02|6.844944358e+02|6.433667338e+02|5.752252479e+02|7.115082198e+02|1.329748677e+04|1.420629692e+04|1.550892923e+04|1.467333883e+04|1.315598860e+04|1.619068906e+04|8.661590134e+03|9.440757620e+03|1.059279597e+04|9.948929669e+03|8.544764546e+03|1.135309479e+04|2.976894976e+11|3.033618842e+11|3.112398029e+11|3.052374589e+11|2.961844797e+11|3.142905037e+11|7.574050816e+10|1.040305684e+11|1.365972910e+11|1.090848276e+11|6.955867341e+10|1.486109573e+11|1.094811743e+04|1.105658154e+04|1.112942896e+04|1.103945605e+04|1.093537891e+04|1.114353418e+04
