#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
3.265104012e+05|1.840351893e+07|1.853683346e+07|1.875960958e+07|1.864023318e+07|2.463111230e+04|2.473781506e+04|2.491345584e+04|2.481706621e+04|4.104277074e+11|4.149551633e+11|4.225481716e+11|4.185355943e+11|1.119995337e+04|1.123887646e+04|1.130333447e+04|1.126825781e+04|2.778752305e+03
4.961132385e+05|1.831906719e+07|1.849732070e+07|1.874312267e+07|1.852914988e+07|2.456301982e+04|2.470629689e+04|2.490051194e+04|2.472901101e+04|4.075663122e+11|4.136119180e+11|4.219838822e+11|4.147430059e+11|1.117517554e+04|1.122736768e+04|1.129857153e+04|1.123602344e+04|2.778752305e+03
5.919984938e+05|1.821420863e+07|1.841719398e+07|1.867107385e+07|1.843368558e+07|2.447820033e+04|2.464212660e+04|2.484380450e+04|2.465245372e+04|4.040248633e+11|4.108911442e+11|4.195249602e+11|4.115091408e+11|1.114435352e+04|1.120396045e+04|1.127775708e+04|1.120811035e+04|2.778752305e+03
6.615952226e+05|1.799602064e+07|1.826493890e+07|1.850252303e+07|1.826609273e+07|2.430076434e+04|2.451926218e+04|2.471045801e+04|2.451761777e+04|3.966926567e+11|4.057378113e+11|4.137885054e+11|4.058462411e+11|1.107998267e+04|1.115927734e+04|1.122888623e+04|1.115900000e+04|2.778752305e+03
7.183216526e+05|1.802495820e+07|1.830133986e+07|1.857382216e+07|1.829422485e+07|2.432436731e+04|2.454869592e+04|2.476706009e+04|2.453931236e+04|3.976626447e+11|4.069672953e+11|4.162129949e+11|4.068202319e+11|1.108853931e+04|1.116996973e+04|1.124960400e+04|1.116702344e+04|2.778752305e+03
7.735518954e+05|1.789008788e+07|1.823318173e+07|1.842665133e+07|1.814166737e+07|2.421414844e+04|2.449356423e+04|2.464972510e+04|2.441666960e+04|3.931509001e+11|4.046653206e+11|4.112118709e+11|4.016661378e+11|1.104860718e+04|1.114993750e+04|1.120672437e+04|1.112233984e+04|2.778752305e+03
8.152391930e+05|1.782558000e+07|1.813266436e+07|1.845213909e+07|1.810486758e+07|2.416124724e+04|2.441202871e+04|2.467013842e+04|2.438627745e+04|3.910004215e+11|4.012792967e+11|4.120770100e+11|4.004440775e+11|1.102947070e+04|1.112032910e+04|1.121417358e+04|1.111136914e+04|2.778752305e+03
8.524779479e+05|1.773067216e+07|1.802008417e+07|1.832852357e+07|1.802679377e+07|2.408320990e+04|2.432039460e+04|2.457064757e+04|2.432234697e+04|3.878438637e+11|3.974991184e+11|4.078866663e+11|3.978324388e+11|1.100125586e+04|1.108709668e+04|1.117794897e+04|1.108823047e+04|2.778752305e+03
8.907803314e+05|1.775213280e+07|1.802784591e+07|1.823771325e+07|1.797428571e+07|2.410087720e+04|2.432672132e+04|2.449723074e+04|2.428007425e+04|3.885569067e+11|3.977595268e+11|4.048183603e+11|3.960577949e+11|1.100764551e+04|1.108939014e+04|1.115127026e+04|1.107283984e+04|2.778752305e+03
9.269276650e+05|1.755247655e+07|1.791699703e+07|1.816350907e+07|1.786178416e+07|2.393600936e+04|2.423617790e+04|2.443707581e+04|2.418780900e+04|3.819426492e+11|3.940496826e+11|4.023175809e+11|3.923045669e+11|1.094811743e+04|1.105658154e+04|1.112942896e+04|1.103945605e+04|2.778752305e+03
