#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
3.233015831e+05|1.175014631e+07|1.176863504e+07|1.178744657e+07|1.176746012e+07|1.379032507e+04|1.380111947e+04|1.381209359e+04|1.380042042e+04|3.525764491e+11|3.533650933e+11|3.541675691e+11|3.533151919e+11|1.164842041e+04|1.165543506e+04|1.166255811e+04|1.165498047e+04|2.383081835e+03
4.897710367e+05|1.168558442e+07|1.171127297e+07|1.174495799e+07|1.171337294e+07|1.375251860e+04|1.376759265e+04|1.378729440e+04|1.376877325e+04|3.498250902e+11|3.509189050e+11|3.523551555e+11|3.510096491e+11|1.162388086e+04|1.163365381e+04|1.164645459e+04|1.163443359e+04|2.383081835e+03
5.824166535e+05|1.162905480e+07|1.166602447e+07|1.169547877e+07|1.166551438e+07|1.371927649e+04|1.374102967e+04|1.375832655e+04|1.374067231e+04|3.474190235e+11|3.489923330e+11|3.502463895e+11|3.489718182e+11|1.160231812e+04|1.161642871e+04|1.162764941e+04|1.161620215e+04|2.383081835e+03
6.548261424e+05|1.160828848e+07|1.163599984e+07|1.165796276e+07|1.163049842e+07|1.370701667e+04|1.372337372e+04|1.373629166e+04|1.372006286e+04|3.465363752e+11|3.477142359e+11|3.486491187e+11|3.474818885e+11|1.159438208e+04|1.160497070e+04|1.161335864e+04|1.160284277e+04|2.383081835e+03
7.094374793e+05|1.157259302e+07|1.160596166e+07|1.164780281e+07|1.160796800e+07|1.368591751e+04|1.370564232e+04|1.373031814e+04|1.370675303e+04|3.450194129e+11|3.464374877e+11|3.482166219e+11|3.465243066e+11|1.158071216e+04|1.159349023e+04|1.160948218e+04|1.159422266e+04|2.383081835e+03
7.612558943e+05|1.154960672e+07|1.157291734e+07|1.160844019e+07|1.156801719e+07|1.367230320e+04|1.368610933e+04|1.370710629e+04|1.368312582e+04|3.440431157e+11|3.450331944e+11|3.465428218e+11|3.448268786e+11|1.157189478e+04|1.158083887e+04|1.159444238e+04|1.157891895e+04|2.383081835e+03
8.034202033e+05|1.152552286e+07|1.155520762e+07|1.159673150e+07|1.155512794e+07|1.365799886e+04|1.367562767e+04|1.370018904e+04|1.367547920e+04|3.430213806e+11|3.442807417e+11|3.460452127e+11|3.442797803e+11|1.156264941e+04|1.157404932e+04|1.158995874e+04|1.157397266e+04|2.383081835e+03
8.423390962e+05|1.148467266e+07|1.153223170e+07|1.157136110e+07|1.152770336e+07|1.363370221e+04|1.366198500e+04|1.368518876e+04|1.365913273e+04|3.412886156e+11|3.433059793e+11|3.449670627e+11|3.431173856e+11|1.154693066e+04|1.156522900e+04|1.158024561e+04|1.156340527e+04|2.383081835e+03
8.801729616e+05|1.144738005e+07|1.150476100e+07|1.155187130e+07|1.149642421e+07|1.361144029e+04|1.364565561e+04|1.367364743e+04|1.364056099e+04|3.397089085e+11|3.421406727e+11|3.441391943e+11|3.417900288e+11|1.153255371e+04|1.155466211e+04|1.157277051e+04|1.155138965e+04|2.383081835e+03
9.144029579e+05|1.143458792e+07|1.147604159e+07|1.151930554e+07|1.147382220e+07|1.360379142e+04|1.362856242e+04|1.365430370e+04|1.362712229e+04|3.391672827e+11|3.409225915e+11|3.427576284e+11|3.408313026e+11|1.152760913e+04|1.154360938e+04|1.156026294e+04|1.154269727e+04|2.383081835e+03
9.441459943e+05|1.140212752e+07|1.145666455e+07|1.148783246e+07|1.145001949e+07|1.358436304e+04|1.361698915e+04|1.363558309e+04|1.361289904e+04|3.377930429e+11|3.401020458e+11|3.414226267e+11|3.398232034e+11|1.151505933e+04|1.153612988e+04|1.154815161e+04|1.153351172e+04|2.383081835e+03
9.759139234e+05|1.137873913e+07|1.143407578e+07|1.147695570e+07|1.142792410e+07|1.357031888e+04|1.360348508e+04|1.362910753e+04|1.359968155e+04|3.368041209e+11|3.391455998e+11|3.409613291e+11|3.388877414e+11|1.150600659e+04|1.152741406e+04|1.154395557e+04|1.152497461e+04|2.383081835e+03
1.008544559e+06|1.136190912e+07|1.141523828e+07|1.146053591e+07|1.140924322e+07|1.356019741e+04|1.359221351e+04|1.361930220e+04|1.358851569e+04|3.360928037e+11|3.383480594e+11|3.402659694e+11|3.380966344e+11|1.149947583e+04|1.152013184e+04|1.153762817e+04|1.151776270e+04|2.383081835e+03
1.038176503e+06|1.133032069e+07|1.137920663e+07|1.142110664e+07|1.138131630e+07|1.354118143e+04|1.357059980e+04|1.359572586e+04|1.357170000e+04|3.347578929e+11|3.368238801e+11|3.385965054e+11|3.369166690e+11|1.148721143e+04|1.150618066e+04|1.152240283e+04|1.150691895e+04|2.383081835e+03
1.064715231e+06|1.132726224e+07|1.136023986e+07|1.139676523e+07|1.136280048e+07|1.353933895e+04|1.355919364e+04|1.358115088e+04|1.356060901e+04|3.346286512e+11|3.360222606e+11|3.375660415e+11|3.361330618e+11|1.148602100e+04|1.149883252e+04|1.151298413e+04|1.149975879e+04|2.383081835e+03
1.090412207e+06|1.128728405e+07|1.134960370e+07|1.138533712e+07|1.133981222e+07|1.351518263e+04|1.355279312e+04|1.357428466e+04|1.354678257e+04|3.329413956e+11|3.355727530e+11|3.370829967e+11|3.351614011e+11|1.147046338e+04|1.149470020e+04|1.150855737e+04|1.149083887e+04|2.383081835e+03
1.117266992e+06|1.127298428e+07|1.131318183e+07|1.134586999e+07|1.131090576e+07|1.350652611e+04|1.353084593e+04|1.355054557e+04|1.352936038e+04|3.323381623e+11|3.340339711e+11|3.354149590e+11|3.339403646e+11|1.146488940e+04|1.148054590e+04|1.149325220e+04|1.147960840e+04|2.383081835e+03
1.147571569e+06|1.125309544e+07|1.130078058e+07|1.134572886e+07|1.129765906e+07|1.349447767e+04|1.352334772e+04|1.355046061e+04|1.352134889e+04|3.314992410e+11|3.335107589e+11|3.354089945e+11|3.333814368e+11|1.145712671e+04|1.147571680e+04|1.149319507e+04|1.147444629e+04|2.383081835e+03
1.172779983e+06|1.122236408e+07|1.125760920e+07|1.130360558e+07|1.126071022e+07|1.347581431e+04|1.349721303e+04|1.352505614e+04|1.349899229e+04|3.302041902e+11|3.316896360e+11|3.336299479e+11|3.318225484e+11|1.144511133e+04|1.145888428e+04|1.147681836e+04|1.146004785e+04|2.383081835e+03
1.196195862e+06|1.119831075e+07|1.124045959e+07|1.126924147e+07|1.123644818e+07|1.346117124e+04|1.348681740e+04|1.350425970e+04|1.348429325e+04|3.291914128e+11|3.309663100e+11|3.321802855e+11|3.307993284e+11|1.143569629e+04|1.145218994e+04|1.146342896e+04|1.145058398e+04|2.383081835e+03
1.220631198e+06|1.117447542e+07|1.123214796e+07|1.126344836e+07|1.122445893e+07|1.344664565e+04|1.348176604e+04|1.350075076e+04|1.347697758e+04|3.281879320e+11|3.306161837e+11|3.319359341e+11|3.302948256e+11|1.142635376e+04|1.144894141e+04|1.146116748e+04|1.144587988e+04|2.383081835e+03
1.243878647e+06|1.117194748e+07|1.121008006e+07|1.124547864e+07|1.120995358e+07|1.344510419e+04|1.346833806e+04|1.348986063e+04|1.346817402e+04|3.280815164e+11|3.296869580e+11|3.311779865e+11|3.296834309e+11|1.142536841e+04|1.144030859e+04|1.145415063e+04|1.144021289e+04|2.383081835e+03
1.269713969e+06|1.114799957e+07|1.118642839e+07|1.122704558e+07|1.118210439e+07|1.343047308e+04|1.345393189e+04|1.347866248e+04|1.345120986e+04|3.270741965e+11|3.286911511e+11|3.304013117e+11|3.285108982e+11|1.141596411e+04|1.143104541e+04|1.144694604e+04|1.142930371e+04|2.383081835e+03
1.294627960e+06|1.110644764e+07|1.114572094e+07|1.119166533e+07|1.115536031e+07|1.340501666e+04|1.342907830e+04|1.345712299e+04|1.343485160e+04|3.253279444e+11|3.269784296e+11|3.289116349e+11|3.273863573e+11|1.139961597e+04|1.141506885e+04|1.143309888e+04|1.141879590e+04|2.383081835e+03
1.317092464e+06|1.108808579e+07|1.113080000e+07|1.116887869e+07|1.113030673e+07|1.339375250e+04|1.341994158e+04|1.344323267e+04|1.341950814e+04|3.245564000e+11|3.263513196e+11|3.279523324e+11|3.263332768e+11|1.139238330e+04|1.140920459e+04|1.142416040e+04|1.140894141e+04|2.383081835e+03
1.337824040e+06|1.106532575e+07|1.110192838e+07|1.115585032e+07|1.110801189e+07|1.337974918e+04|1.340224519e+04|1.343527752e+04|1.340585748e+04|3.236011726e+11|3.251380545e+11|3.274041500e+11|3.253960785e+11|1.138339673e+04|1.139783350e+04|1.141904639e+04|1.140017383e+04|2.383081835e+03
1.360499983e+06|1.102087514e+07|1.108158405e+07|1.112270425e+07|1.108229201e+07|1.335233958e+04|1.338976106e+04|1.341498169e+04|1.339005660e+04|3.217366322e+11|3.242832445e+11|3.260111101e+11|3.243160079e+11|1.136582178e+04|1.138981641e+04|1.140601367e+04|1.139003223e+04|2.383081835e+03
1.380873332e+06|1.102369556e+07|1.107892776e+07|1.112527538e+07|1.107727868e+07|1.335408035e+04|1.338812579e+04|1.341655712e+04|1.338698379e+04|3.218549300e+11|3.241718095e+11|3.261191578e+11|3.241053545e+11|1.136694263e+04|1.138877246e+04|1.140702588e+04|1.138805859e+04|2.383081835e+03
1.404597022e+06|1.097914797e+07|1.102615375e+07|1.106573121e+07|1.102534811e+07|1.332651878e+04|1.335559737e+04|1.337999896e+04|1.335501301e+04|3.199883264e+11|3.219580338e+11|3.236181833e+11|3.219260467e+11|1.134928198e+04|1.136791650e+04|1.138355737e+04|1.136755273e+04|2.383081835e+03
1.427200846e+06|1.095724093e+07|1.101115297e+07|1.105786480e+07|1.101558680e+07|1.331292917e+04|1.334633737e+04|1.337515232e+04|1.334894416e+04|3.190711564e+11|3.213288651e+11|3.232881803e+11|3.215176233e+11|1.134057837e+04|1.136197559e+04|1.138044946e+04|1.136366602e+04|2.383081835e+03
1.448946625e+06|1.093930279e+07|1.099063308e+07|1.103590291e+07|1.098929141e+07|1.330179162e+04|1.333363804e+04|1.336161221e+04|1.333267223e+04|3.183202152e+11|3.204691833e+11|3.223669351e+11|3.204158617e+11|1.133344702e+04|1.135384131e+04|1.137176733e+04|1.135324121e+04|2.383081835e+03
1.467523163e+06|1.090790175e+07|1.095365631e+07|1.099980822e+07|1.096500198e+07|1.328224205e+04|1.331070426e+04|1.333932274e+04|1.331759139e+04|3.170070851e+11|3.189210908e+11|3.208533835e+11|3.193992082e+11|1.132093799e+04|1.133915527e+04|1.135747632e+04|1.134358594e+04|2.383081835e+03
1.487180601e+06|1.091019027e+07|1.094579745e+07|1.100789828e+07|1.096033015e+07|1.328366926e+04|1.330582516e+04|1.334432740e+04|1.331471704e+04|3.171027217e+11|3.185920825e+11|3.211923733e+11|3.192031036e+11|1.132185107e+04|1.133602832e+04|1.136068433e+04|1.134174219e+04|2.383081835e+03
1.507387647e+06|1.088142332e+07|1.092751848e+07|1.097522236e+07|1.092656344e+07|1.326571819e+04|1.329446947e+04|1.332408456e+04|1.329370935e+04|3.159006258e+11|3.178269643e+11|3.198239656e+11|3.177906227e+11|1.131037671e+04|1.132875342e+04|1.134772339e+04|1.132829980e+04|2.383081835e+03
1.528136705e+06|1.085942283e+07|1.089199752e+07|1.094383363e+07|1.090654740e+07|1.325197385e+04|1.327231937e+04|1.330460566e+04|1.328124681e+04|3.149813997e+11|3.163424697e+11|3.185098678e+11|3.169535713e+11|1.130159033e+04|1.131459521e+04|1.133524756e+04|1.132032520e+04|2.383081835e+03
1.549225554e+06|1.082263245e+07|1.087180401e+07|1.091170036e+07|1.087033789e+07|1.322891058e+04|1.325971040e+04|1.328461094e+04|1.325866277e+04|3.134461107e+11|3.154986856e+11|3.171658279e+11|3.154400567e+11|1.128685498e+04|1.130653613e+04|1.132245825e+04|1.130588281e+04|2.383081835e+03
1.571358471e+06|1.079971643e+07|1.084956045e+07|1.089087553e+07|1.085147945e+07|1.321451489e+04|1.324580766e+04|1.327161906e+04|1.324686049e+04|3.124903180e+11|3.145693603e+11|3.162955880e+11|3.146526316e+11|1.127766479e+04|1.129763770e+04|1.131415210e+04|1.129834082e+04|2.383081835e+03
1.589616751e+06|1.077837326e+07|1.081483411e+07|1.085974660e+07|1.082565723e+07|1.320109388e+04|1.322401337e+04|1.325217614e+04|1.323064685e+04|3.116002180e+11|3.131208492e+11|3.149949267e+11|3.135755028e+11|1.126909766e+04|1.128373047e+04|1.130171655e+04|1.128798633e+04|2.383081835e+03
1.607501886e+06|1.075816575e+07|1.080242999e+07|1.086217982e+07|1.080923422e+07|1.318834942e+04|1.321622031e+04|1.325369694e+04|1.322035852e+04|3.107585446e+11|3.126034833e+11|3.150965887e+11|3.128899710e+11|1.126097021e+04|1.127875391e+04|1.130268677e+04|1.128141211e+04|2.383081835e+03
1.625744183e+06|1.073819769e+07|1.076750924e+07|1.081295587e+07|1.077500978e+07|1.317573580e+04|1.319424774e+04|1.322283360e+04|1.319886027e+04|3.099272741e+11|3.111475626e+11|3.130425081e+11|3.114625444e+11|1.125292749e+04|1.126472607e+04|1.128297949e+04|1.126768848e+04|2.383081835e+03
1.644572522e+06|1.071225351e+07|1.075145675e+07|1.080310682e+07|1.076266905e+07|1.315933011e+04|1.318411267e+04|1.321664565e+04|1.319104093e+04|3.088473208e+11|3.104792542e+11|3.126317093e+11|3.109492127e+11|1.124246851e+04|1.125826514e+04|1.127902808e+04|1.126270508e+04|2.383081835e+03
1.663702047e+06|1.068301829e+07|1.072754908e+07|1.077595985e+07|1.073396372e+07|1.314079618e+04|1.316900452e+04|1.319957546e+04|1.317290927e+04|3.076314761e+11|3.094840133e+11|3.114995813e+11|3.097540127e+11|1.123065259e+04|1.124863721e+04|1.126812500e+04|1.125114258e+04|2.383081835e+03
1.682629937e+06|1.067903266e+07|1.071144984e+07|1.075040334e+07|1.071030472e+07|1.313826390e+04|1.315882159e+04|1.318344735e+04|1.315797331e+04|3.074658724e+11|3.088138728e+11|3.104354015e+11|3.087687733e+11|1.122904199e+04|1.124213672e+04|1.125784424e+04|1.124161914e+04|2.383081835e+03
1.701818091e+06|1.063627761e+07|1.067596829e+07|1.073662734e+07|1.068190804e+07|1.311107062e+04|1.313631664e+04|1.317474304e+04|1.313994677e+04|3.056895477e+11|3.073385461e+11|3.098619056e+11|3.075882559e+11|1.121172925e+04|1.122780615e+04|1.125229199e+04|1.123013770e+04|2.383081835e+03
1.718739244e+06|1.060807807e+07|1.065061363e+07|1.068902621e+07|1.064850281e+07|1.309308180e+04|1.312019458e+04|1.314461240e+04|1.311875605e+04|3.045189556e+11|3.062851164e+11|3.078811062e+11|3.061992216e+11|1.120028564e+04|1.121754297e+04|1.123308716e+04|1.121663672e+04|2.383081835e+03
1.736985461e+06|1.059210771e+07|1.062304070e+07|1.069491158e+07|1.063905404e+07|1.308286735e+04|1.310264090e+04|1.314834905e+04|1.311270537e+04|3.038566097e+11|3.051396633e+11|3.081256997e+11|3.058074336e+11|1.119379541e+04|1.120636475e+04|1.123546338e+04|1.121279102e+04|2.383081835e+03
1.755603372e+06|1.056565020e+07|1.061080572e+07|1.065432451e+07|1.061877081e+07|1.306592927e+04|1.309482562e+04|1.312255534e+04|1.309975390e+04|3.027594506e+11|3.046320854e+11|3.064392905e+11|3.049657342e+11|1.118302222e+04|1.120139355e+04|1.121904541e+04|1.120454980e+04|2.383081835e+03
1.771612552e+06|1.055075657e+07|1.058956835e+07|1.063473510e+07|1.058923580e+07|1.305638535e+04|1.308124260e+04|1.311008852e+04|1.308087260e+04|3.021418753e+11|3.037513035e+11|3.056254706e+11|3.037405203e+11|1.117695215e+04|1.119275586e+04|1.121110913e+04|1.119254395e+04|2.383081835e+03
1.787546114e+06|1.053239793e+07|1.056911994e+07|1.060669841e+07|1.056890449e+07|1.304458894e+04|1.306815175e+04|1.309219959e+04|1.306791502e+04|3.013815585e+11|3.029033250e+11|3.044617329e+11|3.028963033e+11|1.116945996e+04|1.118443701e+04|1.119972412e+04|1.118429883e+04|2.383081835e+03
1.804841451e+06|1.050028012e+07|1.054622790e+07|1.060690178e+07|1.054971037e+07|1.302391066e+04|1.305348206e+04|1.309232972e+04|1.305555053e+04|3.000522048e+11|3.019541163e+11|3.044701687e+11|3.021019132e+11|1.115633740e+04|1.117510742e+04|1.119980518e+04|1.117645020e+04|2.383081835e+03
1.824418506e+06|1.046730734e+07|1.050319944e+07|1.056691355e+07|1.051460729e+07|1.300264552e+04|1.302579163e+04|1.306673854e+04|1.303299464e+04|2.986878534e+11|3.001730231e+11|3.028118364e+11|3.006479984e+11|1.114283960e+04|1.115752979e+04|1.118353613e+04|1.116212207e+04|2.383081835e+03
1.839930993e+06|1.045426652e+07|1.051038244e+07|1.054285178e+07|1.049982011e+07|1.299420454e+04|1.303041821e+04|1.305131273e+04|1.302348469e+04|2.981491075e+11|3.004703109e+11|3.018143069e+11|3.000356908e+11|1.113748608e+04|1.116046875e+04|1.117373193e+04|1.115608203e+04|2.383081835e+03
1.857390373e+06|1.042034236e+07|1.047594361e+07|1.052186983e+07|1.047033073e+07|1.297222261e+04|1.300822226e+04|1.303781409e+04|1.300445047e+04|2.967477539e+11|2.990450508e+11|3.009457890e+11|2.988159611e+11|1.112355566e+04|1.114637695e+04|1.116516235e+04|1.114400781e+04|2.383081835e+03
1.874396418e+06|1.039842206e+07|1.044391795e+07|1.049741886e+07|1.044690123e+07|1.295800074e+04|1.298750259e+04|1.302206725e+04|1.298930337e+04|2.958423908e+11|2.977215943e+11|2.999337903e+11|2.978473631e+11|1.111453540e+04|1.113323535e+04|1.115516992e+04|1.113439746e+04|2.383081835e+03
1.888453303e+06|1.037406899e+07|1.042025824e+07|1.048331605e+07|1.042755531e+07|1.294214162e+04|1.297216814e+04|1.301297666e+04|1.297675007e+04|2.948379783e+11|2.967442768e+11|2.993501332e+11|2.970485037e+11|1.110449341e+04|1.112351270e+04|1.114939868e+04|1.112644141e+04|2.383081835e+03
1.903701473e+06|1.037003957e+07|1.041017563e+07|1.046289597e+07|1.041330634e+07|1.293951485e+04|1.296562817e+04|1.299979073e+04|1.296750884e+04|2.946718381e+11|2.963278382e+11|2.985055904e+11|2.964599880e+11|1.110283374e+04|1.111937012e+04|1.114103101e+04|1.112058203e+04|2.383081835e+03
1.920950102e+06|1.034697086e+07|1.040936345e+07|1.044316157e+07|1.039990954e+07|1.292446711e+04|1.296510133e+04|1.298701264e+04|1.295882373e+04|2.937207156e+11|2.962942947e+11|2.976903466e+11|2.959066243e+11|1.109331079e+04|1.111904004e+04|1.113293213e+04|1.111507715e+04|2.383081835e+03
