#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
7.057785602e+04|3.138804813e+25|7.497982011e+25|1.213881294e+26|8.224286747e+25|8.224286747e+27|2.495312122e+31
1.347104086e+05|1.936919340e+26|2.503941026e+26|3.023557568e+26|2.460367002e+26|2.460367002e+28|8.007910279e+31
1.748000265e+05|3.607287426e+26|3.979771335e+26|4.615844880e+26|4.104929133e+26|4.104929133e+28|1.339565981e+32
2.080167551e+05|5.194793706e+26|5.742379123e+26|6.157236216e+26|5.664657712e+26|5.664657712e+28|1.893068178e+32
2.329181536e+05|6.920049392e+26|7.403235164e+26|7.966946951e+26|7.473165684e+26|7.473165684e+28|2.367977590e+32
2.565813484e+05|8.260008751e+26|8.861587741e+26|9.261928879e+26|8.869169292e+26|8.869169292e+28|2.880230732e+32
2.773985379e+05|9.943381077e+26|1.047194682e+27|1.112805244e+27|1.058346564e+27|1.058346564e+29|3.364580204e+32
3.000190480e+05|1.153778589e+27|1.224065717e+27|1.297751085e+27|1.227566149e+27|1.227566149e+29|3.932860139e+32
3.214963336e+05|1.337378105e+27|1.418069530e+27|1.461141813e+27|1.419499680e+27|1.419499680e+29|4.508513412e+32
3.388445314e+05|1.472344017e+27|1.548343693e+27|1.613742742e+27|1.541337804e+27|1.541337804e+29|5.012359471e+32
3.566053001e+05|1.649078876e+27|1.702951690e+27|1.778941913e+27|1.718580843e+27|1.718580843e+29|5.557384786e+32
3.731711381e+05|1.831119732e+27|1.877837665e+27|1.941774094e+27|1.888742754e+27|1.888742754e+29|6.085247193e+32
3.891625027e+05|1.980699645e+27|2.047360054e+27|2.135734776e+27|2.068872199e+27|2.068872199e+29|6.602670721e+32
4.056059837e+05|2.167275022e+27|2.221875623e+27|2.308333632e+27|2.225788018e+27|2.225788018e+29|7.179015512e+32
4.191397785e+05|2.297656205e+27|2.359216018e+27|2.419695426e+27|2.353864362e+27|2.353864362e+29|7.676161003e+32
4.323711489e+05|2.447601301e+27|2.529979222e+27|2.610109015e+27|2.535193484e+27|2.535193484e+29|8.160958255e+32
4.463022891e+05|2.596056751e+27|2.708246506e+27|2.770072722e+27|2.677359349e+27|2.677359349e+29|8.695541380e+32
4.596330032e+05|2.734152651e+27|2.842447252e+27|2.937701876e+27|2.844146557e+27|2.844146557e+29|9.218097832e+32
4.720344746e+05|2.937218871e+27|3.017847045e+27|3.104185548e+27|3.020373169e+27|3.020373169e+29|9.740420341e+32
4.852384340e+05|3.095499713e+27|3.164044464e+27|3.267865275e+27|3.195962087e+27|3.195962087e+29|1.028813391e+33
4.983317152e+05|3.300267108e+27|3.377368632e+27|3.464595174e+27|3.372293037e+27|3.372293037e+29|1.084094779e+33
5.094301370e+05|3.401768439e+27|3.491288209e+27|3.580815816e+27|3.481935940e+27|3.481935940e+29|1.132337371e+33
5.214928785e+05|3.553655826e+27|3.627295591e+27|3.723850728e+27|3.629444161e+27|3.629444161e+29|1.186593323e+33
5.338076345e+05|3.772058544e+27|3.877698394e+27|3.948610197e+27|3.868551475e+27|3.868551475e+29|1.245686135e+33
5.463871148e+05|3.962128131e+27|4.028315919e+27|4.107992130e+27|4.027294323e+27|4.027294323e+29|1.304449748e+33
5.566781730e+05|4.091971856e+27|4.224221552e+27|4.304801477e+27|4.209210465e+27|4.209210465e+29|1.353453973e+33
5.682738657e+05|4.271932971e+27|4.368444251e+27|4.446649035e+27|4.359495679e+27|4.359495679e+29|1.409005788e+33
5.783393394e+05|4.409636713e+27|4.494508622e+27|4.606461484e+27|4.494263256e+27|4.494263256e+29|1.460758347e+33
5.889878434e+05|4.538272990e+27|4.688530177e+27|4.776264472e+27|4.686863478e+27|4.686863478e+29|1.515761934e+33
5.975607620e+05|4.713327151e+27|4.809542655e+27|4.925960939e+27|4.809650353e+27|4.809650353e+29|1.556645684e+33
6.089207941e+05|4.861716994e+27|5.000576798e+27|5.110891294e+27|4.997549962e+27|4.997549962e+29|1.620110240e+33
6.199802559e+05|5.094701819e+27|5.198604426e+27|5.310181465e+27|5.212578484e+27|5.212578484e+29|1.679375492e+33
6.288588605e+05|5.223089141e+27|5.334535297e+27|5.407424222e+27|5.319353016e+27|5.319353016e+29|1.729474700e+33
6.371354584e+05|5.371686126e+27|5.490815555e+27|5.598252802e+27|5.487756774e+27|5.487756774e+29|1.773636924e+33
6.460644275e+05|5.494956061e+27|5.632932883e+27|5.734071085e+27|5.593699343e+27|5.593699343e+29|1.822104584e+33
6.542335794e+05|5.668569658e+27|5.787139535e+27|5.911653201e+27|5.793252306e+27|5.793252306e+29|1.869327623e+33
6.647856924e+05|5.799628144e+27|5.902343741e+27|6.032900179e+27|5.934346337e+27|5.934346337e+29|1.930928967e+33
6.738044863e+05|6.041980802e+27|6.155447792e+27|6.269011851e+27|6.163445009e+27|6.163445009e+29|1.985475890e+33
6.820943554e+05|6.172771151e+27|6.273034990e+27|6.375369264e+27|6.267949926e+27|6.267949926e+29|2.029878871e+33
6.917516929e+05|6.303220667e+27|6.459041214e+27|6.571540762e+27|6.429965147e+27|6.429965147e+29|2.088984202e+33
7.012637530e+05|6.532160477e+27|6.634649513e+27|6.747439645e+27|6.603518098e+27|6.603518098e+29|2.150687039e+33
7.103797725e+05|6.686434443e+27|6.808587192e+27|6.893055738e+27|6.769521318e+27|6.769521318e+29|2.202730352e+33
7.198048665e+05|6.891911306e+27|7.014505036e+27|7.160342860e+27|7.003184907e+27|7.003184907e+29|2.262716081e+33
7.279385894e+05|7.010111650e+27|7.142380333e+27|7.223259641e+27|7.117635649e+27|7.117635649e+29|2.313020073e+33
7.362811385e+05|7.219115652e+27|7.319287086e+27|7.480249722e+27|7.321171397e+27|7.321171397e+29|2.368592130e+33
7.439592836e+05|7.338926996e+27|7.480647301e+27|7.608864770e+27|7.492854999e+27|7.492854999e+29|2.416024229e+33
7.531516485e+05|7.490258426e+27|7.647258991e+27|7.778112711e+27|7.629928089e+27|7.629928089e+29|2.477279277e+33
7.609145574e+05|7.690001499e+27|7.824663169e+27|7.927287190e+27|7.800338164e+27|7.800338164e+29|2.528596162e+33
7.693388204e+05|7.786518124e+27|7.996398891e+27|8.060502394e+27|7.942725095e+27|7.942725095e+29|2.588555621e+33
