#R_planet
9.461329259e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.756484759e+06|3.758659243e+06|3.713155939e+06|3.722533148e+06|1.290262025e+07|1.304326850e+07|1.320971375e+07|1.304762400e+07|1.285485800e+07|1.324039200e+07|3.739555000e+06|4.477054500e+06|5.051087375e+06|4.043423750e+06|2.847994500e+06|5.238853500e+06|3.254412953e+03|3.283542941e+03|3.317619041e+03|3.287296793e+03|3.246918176e+03|3.327675411e+03|4.344452271e+02|4.634901907e+02|4.975763057e+02|4.673093148e+02|4.269249276e+02|5.076937020e+02|4.659748574e+03|4.748470519e+03|4.782369631e+03|4.709753322e+03|4.641812395e+03|4.777694249e+03|1.214875495e+03|1.422906187e+03|1.478129576e+03|1.358904506e+03|1.227687853e+03|1.490121159e+03|2.048529695e+11|2.067966689e+11|2.081509212e+11|2.068091699e+11|2.043530936e+11|2.092651643e+11|5.229488947e+10|6.681155174e+10|7.937550950e+10|5.675288166e+10|2.970963968e+10|8.379612365e+10|5.815435913e+03|5.831465576e+03|5.841249268e+03|5.830251953e+03|5.811373535e+03|5.849128906e+03
3.774041230e+06|3.774395400e+06|3.730491541e+06|3.733074206e+06|1.267069750e+07|1.284828900e+07|1.306727375e+07|1.287528300e+07|1.265993000e+07|1.309063600e+07|3.804204000e+06|4.289360000e+06|4.877212625e+06|3.886573000e+06|2.795090500e+06|4.978055500e+06|3.232410292e+03|3.276739712e+03|3.329285722e+03|3.281798650e+03|3.229010339e+03|3.334586961e+03|4.125090372e+02|4.567328756e+02|5.093864333e+02|4.618203822e+02|4.090260009e+02|5.146147634e+02|4.584487387e+03|4.714609779e+03|4.757433086e+03|4.667517995e+03|4.576033612e+03|4.759002377e+03|1.191346613e+03|1.369110506e+03|1.441350090e+03|1.317047879e+03|1.185729863e+03|1.448365896e+03|2.019346964e+11|2.031096791e+11|2.047261696e+11|2.033533583e+11|2.015588516e+11|2.051478487e+11|5.413428838e+10|6.351704883e+10|7.813659648e+10|5.367121510e+10|2.876216525e+10|7.858026086e+10|5.791163086e+03|5.804579834e+03|5.815620972e+03|5.805940430e+03|5.790272461e+03|5.821606445e+03
3.787155094e+06|3.786758209e+06|3.742698307e+06|3.751061635e+06|1.265632425e+07|1.290438400e+07|1.314282675e+07|1.291385600e+07|1.261265400e+07|1.321505400e+07|1.667824500e+06|4.080370000e+06|4.704054750e+06|3.465781750e+06|2.214235250e+06|4.717327500e+06|3.256501142e+03|3.322628834e+03|3.358200337e+03|3.312106549e+03|3.250913042e+03|3.373300056e+03|4.363507831e+02|5.026196296e+02|5.383288515e+02|4.921017993e+02|4.309062125e+02|5.532973860e+02|4.640088053e+03|4.741095634e+03|4.761265718e+03|4.691184300e+03|4.615082375e+03|4.767286225e+03|1.186088648e+03|1.321854706e+03|1.425180666e+03|1.300680654e+03|1.170883606e+03|1.430477702e+03|1.984804291e+11|2.010547323e+11|2.036398817e+11|2.016483410e+11|1.985545503e+11|2.047420989e+11|-4.523220992e+09|5.620571341e+10|6.576621978e+10|4.147020595e+10|1.299939226e+10|6.994103501e+10|5.767257324e+03|5.786347412e+03|5.803931396e+03|5.788420410e+03|5.765346191e+03|5.811495605e+03
3.802975472e+06|3.803106558e+06|3.750688239e+06|3.754310972e+06|1.252931050e+07|1.280728900e+07|1.310868675e+07|1.285458300e+07|1.251710600e+07|1.319205800e+07|1.788456250e+06|4.079062000e+06|4.732454125e+06|3.604000250e+06|2.444307250e+06|4.763692500e+06|3.242899595e+03|3.341015845e+03|3.388415036e+03|3.326143085e+03|3.253374189e+03|3.398911982e+03|4.227885224e+02|5.208796306e+02|5.684002682e+02|5.061445310e+02|4.333753375e+02|5.789137245e+02|4.589549421e+03|4.728832655e+03|4.754222546e+03|4.674295285e+03|4.592834400e+03|4.755756171e+03|1.170678992e+03|1.329813244e+03|1.422087438e+03|1.300154856e+03|1.167604181e+03|1.432705531e+03|1.967484314e+11|1.992913633e+11|2.013971579e+11|1.991301366e+11|1.959507395e+11|2.023096320e+11|-5.576863744e+09|5.715544474e+10|6.403698688e+10|4.348891546e+10|1.802729472e+10|6.895053210e+10|5.748610962e+03|5.765605225e+03|5.786642822e+03|5.767428711e+03|5.743830566e+03|5.791026855e+03
3.818077045e+06|3.818314977e+06|3.755324863e+06|3.756818553e+06|1.281339775e+07|1.307135300e+07|1.335596875e+07|1.313696800e+07|1.277329900e+07|1.350063600e+07|1.564243000e+06|4.131760500e+06|5.109613375e+06|3.506556250e+06|1.941822125e+06|5.071291000e+06|3.344624700e+03|3.391926396e+03|3.434536906e+03|3.397600828e+03|3.333765924e+03|3.461435732e+03|5.247500806e+02|5.718772947e+02|6.144548458e+02|5.775802356e+02|5.137381018e+02|6.414223693e+02|4.730526562e+03|4.747086633e+03|4.762565739e+03|4.739419031e+03|4.710237892e+03|4.768600170e+03|1.178542025e+03|1.395921385e+03|1.460997404e+03|1.333452959e+03|1.200643363e+03|1.466262555e+03|1.968034038e+11|1.988633559e+11|2.022167839e+11|1.994875372e+11|1.957259182e+11|2.032492216e+11|-9.493340160e+09|5.254035046e+10|6.773537997e+10|3.512453120e+10|1.519763072e+09|6.872930714e+10|5.740685181e+03|5.755458984e+03|5.774338257e+03|5.758286133e+03|5.731607910e+03|5.784962402e+03
3.829135441e+06|3.829377446e+06|3.779927210e+06|3.790280413e+06|1.286544025e+07|1.312815600e+07|1.339637425e+07|1.311598100e+07|1.275047400e+07|1.348148400e+07|1.632781250e+06|4.189661000e+06|4.784969250e+06|3.509385500e+06|2.005868750e+06|5.012902500e+06|3.381673928e+03|3.427898660e+03|3.478283788e+03|3.428715945e+03|3.360681266e+03|3.496750624e+03|5.616448748e+02|6.079856094e+02|6.581391628e+02|6.087110800e+02|5.406737648e+02|6.767483951e+02|4.716777917e+03|4.732133296e+03|4.751175472e+03|4.731603469e+03|4.701503467e+03|4.761703470e+03|1.166608100e+03|1.383885561e+03|1.415782291e+03|1.328422541e+03|1.199604583e+03|1.457240500e+03|1.935473459e+11|1.964505252e+11|1.993788129e+11|1.964241060e+11|1.927858422e+11|2.000623698e+11|-1.283900621e+10|4.980432896e+10|5.867960115e+10|3.259775590e+10|6.480068800e+07|6.513071309e+10|5.712628662e+03|5.730296387e+03|5.748800659e+03|5.730249512e+03|5.706526367e+03|5.753975098e+03
3.838627457e+06|3.839144778e+06|3.797044032e+06|3.801260703e+06|1.271430525e+07|1.302956600e+07|1.341216575e+07|1.311532400e+07|1.269511200e+07|1.353553700e+07|1.390335250e+06|3.488887500e+06|4.634449500e+06|3.184739750e+06|1.460528000e+06|4.908951000e+06|3.382105440e+03|3.433060244e+03|3.489268287e+03|3.455929767e+03|3.377232755e+03|3.534626779e+03|5.620831432e+02|6.129882674e+02|6.691248773e+02|6.358952481e+02|5.571893524e+02|7.146011438e+02|4.707835059e+03|4.722084189e+03|4.745303953e+03|4.736233672e+03|4.698953534e+03|4.773513809e+03|1.153245224e+03|1.303801240e+03|1.409220351e+03|1.305755912e+03|1.154898829e+03|1.456612994e+03|1.912850309e+11|1.939774996e+11|1.973661532e+11|1.941452882e+11|1.900574147e+11|1.982332109e+11|-1.447617331e+10|3.487621120e+10|5.375512166e+10|2.287926477e+10|-1.430152806e+10|6.006005350e+10|5.688148315e+03|5.708462646e+03|5.732976074e+03|5.708461914e+03|5.677845215e+03|5.739078125e+03
3.849649238e+06|3.849972324e+06|3.820268813e+06|3.834195512e+06|1.262966975e+07|1.293441600e+07|1.329612025e+07|1.309274200e+07|1.257260700e+07|1.361287700e+07|1.356142000e+06|3.549062500e+06|4.434675750e+06|3.191708250e+06|1.648004750e+06|4.735412000e+06|3.389684780e+03|3.438086096e+03|3.517325960e+03|3.477630717e+03|3.382114657e+03|3.573146777e+03|5.697872056e+02|6.182551746e+02|6.973091314e+02|6.576173021e+02|5.620927778e+02|7.531418263e+02|4.684698934e+03|4.709277991e+03|4.734544553e+03|4.739478963e+03|4.679802080e+03|4.799155845e+03|1.146206847e+03|1.329343094e+03|1.390513970e+03|1.311036374e+03|1.161336782e+03|1.460735967e+03|1.872629064e+11|1.915111752e+11|1.959617782e+11|1.918090445e+11|1.866813440e+11|1.969367777e+11|-1.817756058e+10|3.771432141e+10|5.092643226e+10|2.123656806e+10|-1.280457933e+10|5.527772365e+10|5.658462524e+03|5.684821777e+03|5.713112305e+03|5.686990234e+03|5.653714844e+03|5.720264160e+03
3.862206593e+06|3.862226906e+06|3.828360855e+06|3.839971793e+06|1.250897650e+07|1.291691200e+07|1.334710925e+07|1.299892500e+07|1.249470500e+07|1.350314500e+07|1.509556750e+06|3.574397500e+06|4.181893000e+06|3.015391750e+06|1.567950125e+06|4.462833500e+06|3.418499476e+03|3.475351174e+03|3.536635770e+03|3.499932915e+03|3.410571222e+03|3.589294608e+03|5.986719342e+02|6.553649454e+02|7.164615197e+02|6.799129331e+02|5.905645135e+02|7.692613528e+02|4.662773251e+03|4.692158851e+03|4.717495556e+03|4.724074640e+03|4.661487774e+03|4.786661506e+03|1.133098560e+03|1.312837607e+03|1.364329500e+03|1.288018461e+03|1.140369714e+03|1.435667207e+03|1.835246305e+11|1.878882714e+11|1.914902692e+11|1.878844375e+11|1.830240911e+11|1.927447675e+11|-2.017058406e+10|3.557393203e+10|4.568861082e+10|1.543228928e+10|-1.840381747e+10|4.926839194e+10|5.624341675e+03|5.656885986e+03|5.682236450e+03|5.653015625e+03|5.618483887e+03|5.687546875e+03
3.880708152e+06|3.879006062e+06|3.851239027e+06|3.860389461e+06|1.217082000e+07|1.240693000e+07|1.282911325e+07|1.253939600e+07|1.208751900e+07|1.299127000e+07|1.209512500e+06|3.495575500e+06|4.231768875e+06|2.932732500e+06|1.511835500e+06|4.353629000e+06|3.402942910e+03|3.448627885e+03|3.486168903e+03|3.472699067e+03|3.395544476e+03|3.549853657e+03|5.829851301e+02|6.287895791e+02|6.662408473e+02|6.527057865e+02|5.755433559e+02|7.298682171e+02|4.617223058e+03|4.644165464e+03|4.671766205e+03|4.673780321e+03|4.614865747e+03|4.732694894e+03|1.102911541e+03|1.281731569e+03|1.359403905e+03|1.269766216e+03|1.125573768e+03|1.413958663e+03|1.756770877e+11|1.794196685e+11|1.840450560e+11|1.799797801e+11|1.749626225e+11|1.849969705e+11|-2.496370278e+10|3.117305856e+10|4.579801088e+10|1.617262592e+10|-1.434393907e+10|4.668918989e+10|5.562662842e+03|5.594179932e+03|5.625476807e+03|5.596053223e+03|5.559415039e+03|5.632691406e+03
