#R_planet
1.051030791e+07
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.979974924e+06|3.981015678e+06|3.922783407e+06|3.927477064e+06|1.350576500e+07|1.376552100e+07|1.413743350e+07|1.386431200e+07|1.345566300e+07|1.427296100e+07|6.234614500e+06|6.849228000e+06|7.437339875e+06|6.726533000e+06|5.883759500e+06|7.569305500e+06|3.572353822e+03|3.619012524e+03|3.686385539e+03|3.632174696e+03|3.553855328e+03|3.710494063e+03|7.524041792e+02|7.989538029e+02|8.664411170e+02|8.122117344e+02|7.338943186e+02|8.905291503e+02|4.711032748e+03|4.735872247e+03|4.777217566e+03|4.773921538e+03|4.709603120e+03|4.838239957e+03|1.532290452e+03|1.595913279e+03|1.662563094e+03|1.607195666e+03|1.508114966e+03|1.706276367e+03|1.912526930e+11|1.951970345e+11|1.992177541e+11|1.962745037e+11|1.908673577e+11|2.016816988e+11|7.112215962e+10|9.054125670e+10|1.041939948e+11|8.841003827e+10|6.644967014e+10|1.103704064e+11|5.652797119e+03|5.681642578e+03|5.724853271e+03|5.693965820e+03|5.652552734e+03|5.735379883e+03
4.003039836e+06|4.003836113e+06|3.951903682e+06|3.959591800e+06|1.327142200e+07|1.364786200e+07|1.401603025e+07|1.363845400e+07|1.315947800e+07|1.411742800e+07|5.703584625e+06|6.396425000e+06|7.093327750e+06|6.317284500e+06|5.385787500e+06|7.248781000e+06|3.572346228e+03|3.654125583e+03|3.725995261e+03|3.656743313e+03|3.555695820e+03|3.757790806e+03|7.524028074e+02|8.342755794e+02|9.061407961e+02|8.367971595e+02|7.357485913e+02|9.378457278e+02|4.683442121e+03|4.702086799e+03|4.741969461e+03|4.773523453e+03|4.678845421e+03|4.868201485e+03|1.476733215e+03|1.548775736e+03|1.653363123e+03|1.589197904e+03|1.458510658e+03|1.719885151e+03|1.858259149e+11|1.888533545e+11|1.919344886e+11|1.892661166e+11|1.852612280e+11|1.932710052e+11|5.696675635e+10|7.890609766e+10|9.833318810e+10|7.731721011e+10|5.358410138e+10|1.010503270e+11|5.608257690e+03|5.632489014e+03|5.653713623e+03|5.636655762e+03|5.608437500e+03|5.664873047e+03
4.015097333e+06|4.015173270e+06|3.964347441e+06|3.977722496e+06|1.318141200e+07|1.348312400e+07|1.382836750e+07|1.352257300e+07|1.303837200e+07|1.400677200e+07|5.493531250e+06|6.006906750e+06|6.620864000e+06|5.804476000e+06|4.873976500e+06|6.734974500e+06|3.591766798e+03|3.647160348e+03|3.729389458e+03|3.668301159e+03|3.569449893e+03|3.767152425e+03|7.718834877e+02|8.273156595e+02|9.093171667e+02|8.483529322e+02|7.495128420e+02|9.471930223e+02|4.665404172e+03|4.687623048e+03|4.717275052e+03|4.774967465e+03|4.659822259e+03|4.890112670e+03|1.447206161e+03|1.518012355e+03|1.580649463e+03|1.548876314e+03|1.422459629e+03|1.675292999e+03|1.830100173e+11|1.861814108e+11|1.887851848e+11|1.857084948e+11|1.817755320e+11|1.896414249e+11|5.562612531e+10|7.207308493e+10|8.603606426e+10|6.473426534e+10|4.047238758e+10|8.899615949e+10|5.584569702e+03|5.607984131e+03|5.623418091e+03|5.606999512e+03|5.581483887e+03|5.632515625e+03
4.026008469e+06|4.025949891e+06|3.974673257e+06|3.980148044e+06|1.316536750e+07|1.348024600e+07|1.395746550e+07|1.350176000e+07|1.297045200e+07|1.403306600e+07|5.231190625e+06|5.776071250e+06|6.305897875e+06|5.589344000e+06|4.634571500e+06|6.544114500e+06|3.567739079e+03|3.676189394e+03|3.802477593e+03|3.684033557e+03|3.561802667e+03|3.806264447e+03|7.478557213e+02|8.562608953e+02|9.824846113e+02|8.640438438e+02|7.418423403e+02|9.862453473e+02|4.657584253e+03|4.688762118e+03|4.859796549e+03|4.797961350e+03|4.653696593e+03|4.942226107e+03|1.433689993e+03|1.497277185e+03|1.647956568e+03|1.554697314e+03|1.413847193e+03|1.695547436e+03|1.805290291e+11|1.844458537e+11|1.871591137e+11|1.840276931e+11|1.798375506e+11|1.882178355e+11|4.541419930e+10|6.315748147e+10|7.794236621e+10|5.868303155e+10|3.190780928e+10|8.545825587e+10|5.564934082e+03|5.582830566e+03|5.615930420e+03|5.591302734e+03|5.558057617e+03|5.624546875e+03
4.035946262e+06|4.035838417e+06|3.987493882e+06|3.997005797e+06|1.266739775e+07|1.323378450e+07|1.383560750e+07|1.328274900e+07|1.268565600e+07|1.387984100e+07|5.025347375e+06|5.812528750e+06|6.716623875e+06|5.654281500e+06|4.390731000e+06|6.917833000e+06|3.546252156e+03|3.644307810e+03|3.780839343e+03|3.668605491e+03|3.538696456e+03|3.798514525e+03|7.262203436e+02|8.242831950e+02|9.607065971e+02|8.486182123e+02|7.187203827e+02|9.785160419e+02|4.633620411e+03|4.659062395e+03|4.788593967e+03|4.778235833e+03|4.630479880e+03|4.925991787e+03|1.410974205e+03|1.532179836e+03|1.682680490e+03|1.570958750e+03|1.393913724e+03|1.748003777e+03|1.761145979e+11|1.809708155e+11|1.837980426e+11|1.804880282e+11|1.763720724e+11|1.846039511e+11|4.258000077e+10|6.491342438e+10|8.734363238e+10|6.146638234e+10|2.905824870e+10|9.387452006e+10|5.542897705e+03|5.563102783e+03|5.588804077e+03|5.566056152e+03|5.536066895e+03|5.596047363e+03
4.047338725e+06|4.047295029e+06|4.007363759e+06|4.021461760e+06|1.258042150e+07|1.322981600e+07|1.373159675e+07|1.326501400e+07|1.260560100e+07|1.392442800e+07|4.957864625e+06|5.560441500e+06|6.233224250e+06|5.599275000e+06|4.623106500e+06|6.575442500e+06|3.552649537e+03|3.655512072e+03|3.812935382e+03|3.689364868e+03|3.550237261e+03|3.828492476e+03|7.327272581e+02|8.355650887e+02|9.928483037e+02|8.694004304e+02|7.302844619e+02|1.008516399e+03|4.613032609e+03|4.651670197e+03|4.884994663e+03|4.819185349e+03|4.613792451e+03|5.024578246e+03|1.392830779e+03|1.487209120e+03|1.784263143e+03|1.602666689e+03|1.385336983e+03|1.819996395e+03|1.730306621e+11|1.776930898e+11|1.821449380e+11|1.782636052e+11|1.733616599e+11|1.831655506e+11|4.170224026e+10|5.739791974e+10|7.468409242e+10|5.851338342e+10|3.258421043e+10|8.444253798e+10|5.513606567e+03|5.535770020e+03|5.567848267e+03|5.544562012e+03|5.510762695e+03|5.578361816e+03
4.058690919e+06|4.058324436e+06|4.023663335e+06|4.036053705e+06|1.230310825e+07|1.271960850e+07|1.332505525e+07|1.291460600e+07|1.228567900e+07|1.354353200e+07|4.474112125e+06|5.626431500e+06|6.739503875e+06|5.447028500e+06|3.943672750e+06|6.950384000e+06|3.501304123e+03|3.623819106e+03|3.717017207e+03|3.646711235e+03|3.511299762e+03|3.782122708e+03|6.811927454e+02|8.039015414e+02|8.971884818e+02|8.267313564e+02|6.913182716e+02|9.621444411e+02|4.594758559e+03|4.617679813e+03|4.665645252e+03|4.750286947e+03|4.590307885e+03|4.910266009e+03|1.355789844e+03|1.500942761e+03|1.720003838e+03|1.570584538e+03|1.336069960e+03|1.805099115e+03|1.708857016e+11|1.738693018e+11|1.768338964e+11|1.741402112e+11|1.699269181e+11|1.783535043e+11|3.451111014e+10|5.995746099e+10|9.731926016e+10|5.874289459e+10|1.998283776e+10|9.750293709e+10|5.490674561e+03|5.511706543e+03|5.544237427e+03|5.518796387e+03|5.487160645e+03|5.550431641e+03
4.070589845e+06|4.070688493e+06|4.033222155e+06|4.041823034e+06|1.226591500e+07|1.268520250e+07|1.343216900e+07|1.292557400e+07|1.221785900e+07|1.363328900e+07|4.478661750e+06|5.789996250e+06|6.808270625e+06|5.616105000e+06|4.095833250e+06|7.136376500e+06|3.544194111e+03|3.638489245e+03|3.779470383e+03|3.676455703e+03|3.534668207e+03|3.818243198e+03|7.241373620e+02|8.185816003e+02|9.596467142e+02|8.564720237e+02|7.146974845e+02|9.982465628e+02|4.572661668e+03|4.596276720e+03|4.746590736e+03|4.785892428e+03|4.572505038e+03|4.999279819e+03|1.359530535e+03|1.537232942e+03|1.714861740e+03|1.625058826e+03|1.369285761e+03|1.880831890e+03|1.671537951e+11|1.710236877e+11|1.761178460e+11|1.718283796e+11|1.670267699e+11|1.766299894e+11|3.585199104e+10|5.979683635e+10|9.580155085e+10|5.995935744e+10|2.019693568e+10|9.972178944e+10|5.468200073e+03|5.495526611e+03|5.515773682e+03|5.494622559e+03|5.465444824e+03|5.523801270e+03
4.083713099e+06|4.083612698e+06|4.041525556e+06|4.057780733e+06|1.212883825e+07|1.262501600e+07|1.335931825e+07|1.279442200e+07|1.208707700e+07|1.350176300e+07|4.727783625e+06|6.711221500e+06|7.857400750e+06|6.284098500e+06|4.407412000e+06|8.160784500e+06|3.535558360e+03|3.638638644e+03|3.780321499e+03|3.679982165e+03|3.531228386e+03|3.828735945e+03|7.157029883e+02|8.186383162e+02|9.603205625e+02|8.599854358e+02|7.112434510e+02|1.008727421e+03|4.551428265e+03|4.586886803e+03|4.745503419e+03|4.770712921e+03|4.553575166e+03|4.987850675e+03|1.445636559e+03|1.686153593e+03|1.863089171e+03|1.721249273e+03|1.450162272e+03|1.992336273e+03|1.637328732e+11|1.674611753e+11|1.731336888e+11|1.687742054e+11|1.636907745e+11|1.738576527e+11|3.957207040e+10|9.328477798e+10|1.196459418e+11|7.491316122e+10|2.727390413e+10|1.225524265e+11|5.440837280e+03|5.453026855e+03|5.494388428e+03|5.468819824e+03|5.433397461e+03|5.504243164e+03
4.098448591e+06|4.098612215e+06|4.049417098e+06|4.066624776e+06|1.216706225e+07|1.250264550e+07|1.304156250e+07|1.270172000e+07|1.205969900e+07|1.334374500e+07|4.473812750e+06|5.574937000e+06|7.076298750e+06|5.627790000e+06|3.897432000e+06|7.358148000e+06|3.564089570e+03|3.632138789e+03|3.734986224e+03|3.683618718e+03|3.544045282e+03|3.823192154e+03|7.440694344e+02|8.122195724e+02|9.149909315e+02|8.636392238e+02|7.240708410e+02|1.003207607e+03|4.540875184e+03|4.584884219e+03|4.629945744e+03|4.778074827e+03|4.541473349e+03|5.014676305e+03|1.370469892e+03|1.529008071e+03|1.818052638e+03|1.651964595e+03|1.339651511e+03|1.964277678e+03|1.613974446e+11|1.651099976e+11|1.718503670e+11|1.663864013e+11|1.610990223e+11|1.716737966e+11|2.890587341e+10|6.538344448e+10|1.027344876e+11|5.984174080e+10|1.616534426e+10|1.035181425e+11|5.410165894e+03|5.435613525e+03|5.496040283e+03|5.448113281e+03|5.403208008e+03|5.493020020e+03
4.117568801e+06|4.116164705e+06|4.072269461e+06|4.082238213e+06|1.193654775e+07|1.247661300e+07|1.295442325e+07|1.252275700e+07|1.194699900e+07|1.309851800e+07|4.693181500e+06|6.110777000e+06|7.678822000e+06|6.225091000e+06|4.420758000e+06|8.029423500e+06|3.564667770e+03|3.668979556e+03|3.773029841e+03|3.684628522e+03|3.556767486e+03|3.812489559e+03|7.446938573e+02|8.489946372e+02|9.531517388e+02|8.646378305e+02|7.367735972e+02|9.925020638e+02|4.524993075e+03|4.572047995e+03|4.692642756e+03|4.691605576e+03|4.524861126e+03|4.858350025e+03|1.355139474e+03|1.601052333e+03|1.856049870e+03|1.664005312e+03|1.374087039e+03|1.953923584e+03|1.579437179e+11|1.632769884e+11|1.684818616e+11|1.628585329e+11|1.573365350e+11|1.683805307e+11|4.128547635e+10|7.604695859e+10|1.161180877e+11|7.395970253e+10|3.030809600e+10|1.176113070e+11|5.372829346e+03|5.420831543e+03|5.465202148e+03|5.418384766e+03|5.371564941e+03|5.465204590e+03
