#RRR|Lz25|Lz50|Lz75|Lzmean|
3.242921229e+05|5.301930221e+26|1.204896253e+27|1.838601153e+27|1.224054345e+27|1.224054345e+29
4.939729457e+05|1.689719783e+27|2.927218564e+27|3.715616014e+27|2.718229806e+27|2.718229806e+29
5.877555619e+05|2.122455228e+27|4.118681851e+27|5.133342304e+27|3.609002665e+27|3.609002665e+29
6.565454828e+05|3.336970333e+27|5.208747264e+27|6.515964722e+27|4.762482491e+27|4.762482491e+29
7.144853566e+05|2.976562630e+27|5.818187568e+27|7.445283268e+27|5.106277904e+27|5.106277904e+29
7.665791131e+05|5.022521067e+27|7.414820938e+27|8.832333239e+27|6.700935990e+27|6.700935990e+29
8.070487005e+05|4.374140057e+27|8.260201638e+27|9.600540000e+27|7.010983373e+27|7.010983373e+29
8.492136429e+05|4.330225857e+27|7.485655221e+27|1.027362673e+28|7.004666606e+27|7.004666606e+29
8.857363062e+05|6.801453441e+27|1.053560969e+28|1.197759719e+28|9.218427207e+27|9.218427207e+29
9.173205490e+05|6.468903856e+27|1.000011585e+28|1.266389775e+28|9.045640939e+27|9.045640939e+29
9.499359685e+05|5.884085562e+27|1.151612654e+28|1.368892070e+28|9.918235738e+27|9.918235738e+29
9.787050000e+05|5.734805762e+27|1.019029846e+28|1.413269649e+28|9.566355626e+27|9.566355626e+29
1.007293764e+06|6.175536458e+27|1.182557628e+28|1.515286158e+28|1.056492206e+28|1.056492206e+30
1.032806258e+06|8.360888236e+27|1.288740605e+28|1.585014147e+28|1.157876559e+28|1.157876559e+30
1.060334520e+06|1.096251923e+28|1.550582288e+28|1.759877366e+28|1.393736527e+28|1.393736527e+30
1.081292616e+06|5.208876854e+27|1.251744915e+28|1.747437043e+28|1.122484545e+28|1.122484545e+30
1.103298993e+06|8.261283665e+27|1.387493949e+28|1.806846859e+28|1.265362686e+28|1.265362686e+30
1.126673057e+06|9.757849550e+27|1.531816497e+28|1.862135695e+28|1.362614462e+28|1.362614462e+30
1.150725599e+06|9.265171568e+27|1.659531291e+28|2.035684213e+28|1.450527586e+28|1.450527586e+30
1.169235237e+06|9.220455895e+27|1.594357101e+28|2.044358663e+28|1.424807726e+28|1.424807726e+30
1.188477530e+06|1.170640742e+28|1.753763461e+28|2.135710134e+28|1.584029079e+28|1.584029079e+30
1.206927669e+06|1.054795765e+28|1.926623055e+28|2.273184485e+28|1.619625163e+28|1.619625163e+30
1.226413290e+06|1.147680596e+28|1.708380991e+28|2.133398301e+28|1.575273136e+28|1.575273136e+30
