#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
3.234295730e+05|4.282721107e+11|4.301711047e+11|4.326714790e+11|0.000000|0.000000|0.000000
4.937821762e+05|4.249272727e+11|4.267101435e+11|4.289427244e+11|0.000000|0.000000|0.000000
5.879882109e+05|4.224715219e+11|4.242291942e+11|4.263531432e+11|0.000000|0.000000|0.000000
6.535327856e+05|4.205183101e+11|4.222704021e+11|4.243323027e+11|0.000000|0.000000|0.000000
7.151519375e+05|4.185038255e+11|4.202575933e+11|4.222698841e+11|0.000000|0.000000|0.000000
7.645199107e+05|4.167678093e+11|4.185267119e+11|4.205046200e+11|0.000000|0.000000|0.000000
8.040202673e+05|4.153019677e+11|4.170668705e+11|4.190203234e+11|0.000000|0.000000|0.000000
8.499721736e+05|4.135121271e+11|4.152856193e+11|4.172136770e+11|0.000000|0.000000|0.000000
8.836415011e+05|4.121437438e+11|4.139243384e+11|4.158356648e+11|0.000000|0.000000|0.000000
9.155831047e+05|4.108016249e+11|4.125893885e+11|4.144861618e+11|0.000000|0.000000|0.000000
9.455033041e+05|4.095060444e+11|4.113007593e+11|4.131849597e+11|0.000000|0.000000|0.000000
9.782616550e+05|4.080454307e+11|4.098478669e+11|4.117193641e+11|0.000000|0.000000|0.000000
1.008419310e+06|4.066622423e+11|4.084717584e+11|4.103324446e+11|0.000000|0.000000|0.000000
1.031005814e+06|4.056023442e+11|4.074170730e+11|4.092701627e+11|0.000000|0.000000|0.000000
1.054132552e+06|4.044960090e+11|4.063159416e+11|4.081616558e+11|0.000000|0.000000|0.000000
1.077345661e+06|4.033642504e+11|4.051892227e+11|4.070279065e+11|0.000000|0.000000|0.000000
1.103486903e+06|4.020643960e+11|4.038947658e+11|4.057259347e+11|0.000000|0.000000|0.000000
1.127161852e+06|4.008642014e+11|4.026991555e+11|4.045238462e+11|0.000000|0.000000|0.000000
1.148046442e+06|3.997874734e+11|4.016261949e+11|4.034454003e+11|0.000000|0.000000|0.000000
1.166490395e+06|3.988226478e+11|4.006644566e+11|4.024789767e+11|0.000000|0.000000|0.000000
1.184726120e+06|3.978559511e+11|3.997005718e+11|4.015105903e+11|0.000000|0.000000|0.000000
1.203019387e+06|3.968735268e+11|3.987207104e+11|4.005263289e+11|0.000000|0.000000|0.000000
1.223708229e+06|3.957472427e+11|3.975969923e+11|3.993977565e+11|0.000000|0.000000|0.000000
1.242889276e+06|3.946887092e+11|3.965405030e+11|3.983368658e+11|0.000000|0.000000|0.000000
1.260203532e+06|3.937214251e+11|3.955747728e+11|3.973672312e+11|0.000000|0.000000|0.000000
1.277656575e+06|3.927351459e+11|3.945897674e+11|3.963783450e+11|0.000000|0.000000|0.000000
1.293546744e+06|3.918274207e+11|3.936829366e+11|3.954680196e+11|0.000000|0.000000|0.000000
1.310044727e+06|3.908751766e+11|3.927313442e+11|3.945128296e+11|0.000000|0.000000|0.000000
1.324124589e+06|3.900546465e+11|3.919111407e+11|3.936895742e+11|0.000000|0.000000|0.000000
1.338482390e+06|3.892105015e+11|3.910671052e+11|3.928424385e+11|0.000000|0.000000|0.000000
1.353982828e+06|3.882908060e+11|3.901472686e+11|3.919192628e+11|0.000000|0.000000|0.000000
1.370479075e+06|3.873025229e+11|3.891585331e+11|3.909269757e+11|0.000000|0.000000|0.000000
1.387028269e+06|3.863012694e+11|3.881565056e+11|3.899213803e+11|0.000000|0.000000|0.000000
1.401543968e+06|3.854150040e+11|3.872692926e+11|3.890310282e+11|0.000000|0.000000|0.000000
1.413958336e+06|3.846511001e+11|3.865043755e+11|3.882634160e+11|0.000000|0.000000|0.000000
1.426229937e+06|3.838906220e+11|3.857427102e+11|3.874990741e+11|0.000000|0.000000|0.000000
1.439395923e+06|3.830688153e+11|3.849194218e+11|3.866728977e+11|0.000000|0.000000|0.000000
1.451787087e+06|3.822898105e+11|3.841388241e+11|3.858895636e+11|0.000000|0.000000|0.000000
1.465381950e+06|3.814289508e+11|3.832759930e+11|3.850237072e+11|0.000000|0.000000|0.000000
1.478548985e+06|3.805890395e+11|3.824339475e+11|3.841787059e+11|0.000000|0.000000|0.000000
1.490687246e+06|3.798094178e+11|3.816521608e+11|3.833941697e+11|0.000000|0.000000|0.000000
1.504758142e+06|3.788992842e+11|3.807392789e+11|3.824780682e+11|0.000000|0.000000|0.000000
1.517159793e+06|3.780914599e+11|3.799288187e+11|3.816647396e+11|0.000000|0.000000|0.000000
1.529483674e+06|3.772834660e+11|3.791180062e+11|3.808510463e+11|0.000000|0.000000|0.000000
1.541867810e+06|3.764662821e+11|3.782977894e+11|3.800279024e+11|0.000000|0.000000|0.000000
1.553756104e+06|3.756768924e+11|3.775052986e+11|3.792325696e+11|0.000000|0.000000|0.000000
1.564624034e+06|3.749510481e+11|3.767764565e+11|3.785011011e+11|0.000000|0.000000|0.000000
1.576468913e+06|3.741553928e+11|3.759773568e+11|3.776991067e+11|0.000000|0.000000|0.000000
1.588768810e+06|3.733241518e+11|3.751423433e+11|3.768610506e+11|0.000000|0.000000|0.000000
1.599473412e+06|3.725965719e+11|3.744113181e+11|3.761273462e+11|0.000000|0.000000|0.000000
1.611189723e+06|3.717958131e+11|3.736066157e+11|3.753196770e+11|0.000000|0.000000|0.000000
1.623035378e+06|3.709815381e+11|3.727881704e+11|3.744981950e+11|0.000000|0.000000|0.000000
1.634961464e+06|3.701569991e+11|3.719592473e+11|3.736661758e+11|0.000000|0.000000|0.000000
1.647368719e+06|3.692941660e+11|3.710916567e+11|3.727953222e+11|0.000000|0.000000|0.000000
1.658345021e+06|3.685265845e+11|3.703196998e+11|3.720204424e+11|0.000000|0.000000|0.000000
1.670610563e+06|3.676641269e+11|3.694521691e+11|3.711496046e+11|0.000000|0.000000|0.000000
1.682042525e+06|3.668558121e+11|3.686389523e+11|3.703332662e+11|0.000000|0.000000|0.000000
1.693459695e+06|3.660442504e+11|3.678223289e+11|3.695134871e+11|0.000000|0.000000|0.000000
1.704036392e+06|3.652886143e+11|3.670618567e+11|3.687500573e+11|0.000000|0.000000|0.000000
1.713611462e+06|3.646013797e+11|3.663701230e+11|3.680556175e+11|0.000000|0.000000|0.000000
1.723129349e+06|3.639152821e+11|3.656794401e+11|3.673622178e+11|0.000000|0.000000|0.000000
1.734033844e+06|3.631256032e+11|3.648843705e+11|3.665640024e+11|0.000000|0.000000|0.000000
1.744734069e+06|3.623469606e+11|3.641002971e+11|3.657768079e+11|0.000000|0.000000|0.000000
1.756659559e+06|3.614747844e+11|3.632219051e+11|3.648948974e+11|0.000000|0.000000|0.000000
1.768718118e+06|3.605882018e+11|3.623288651e+11|3.639982568e+11|0.000000|0.000000|0.000000
1.780518998e+06|3.597160267e+11|3.614502049e+11|3.631160317e+11|0.000000|0.000000|0.000000
1.790463599e+06|3.589775686e+11|3.607061564e+11|3.623689475e+11|0.000000|0.000000|0.000000
1.799971456e+06|3.582685757e+11|3.599917130e+11|3.616515750e+11|0.000000|0.000000|0.000000
1.810523536e+06|3.574783291e+11|3.591952980e+11|3.608518791e+11|0.000000|0.000000|0.000000
1.820894386e+06|3.566981909e+11|3.584089769e+11|3.600623026e+11|0.000000|0.000000|0.000000
1.831376205e+06|3.559062238e+11|3.576106416e+11|3.592606468e+11|0.000000|0.000000|0.000000
1.841660268e+06|3.551258049e+11|3.568238602e+11|3.584705782e+11|0.000000|0.000000|0.000000
1.852042778e+06|3.543345133e+11|3.560260324e+11|3.576694028e+11|0.000000|0.000000|0.000000
1.862208731e+06|3.535564218e+11|3.552414333e+11|3.568814984e+11|0.000000|0.000000|0.000000
1.871463232e+06|3.528452547e+11|3.545242513e+11|3.561612843e+11|0.000000|0.000000|0.000000
1.882158099e+06|3.520200412e+11|3.536919812e+11|3.553254832e+11|0.000000|0.000000|0.000000
1.891539301e+06|3.512932291e+11|3.529588884e+11|3.545892699e+11|0.000000|0.000000|0.000000
1.901410199e+06|3.505254966e+11|3.521844575e+11|3.538115329e+11|0.000000|0.000000|0.000000
1.912402350e+06|3.496669657e+11|3.513183620e+11|3.529417292e+11|0.000000|0.000000|0.000000
1.922449694e+06|3.488789259e+11|3.505233130e+11|3.521432671e+11|0.000000|0.000000|0.000000
1.933570768e+06|3.480030009e+11|3.496395278e+11|3.512556788e+11|0.000000|0.000000|0.000000
1.944177560e+06|3.471639973e+11|3.487929307e+11|3.504054306e+11|0.000000|0.000000|0.000000
1.953273079e+06|3.464417544e+11|3.480641033e+11|3.496734549e+11|0.000000|0.000000|0.000000
1.962614479e+06|3.456973184e+11|3.473128373e+11|3.489189392e+11|0.000000|0.000000|0.000000
1.971009274e+06|3.450260164e+11|3.466353406e+11|3.482385090e+11|0.000000|0.000000|0.000000
1.980931210e+06|3.442297882e+11|3.458317242e+11|3.474314100e+11|0.000000|0.000000|0.000000
1.990787903e+06|3.434357910e+11|3.450303184e+11|3.466265292e+11|0.000000|0.000000|0.000000
1.999962511e+06|3.426940522e+11|3.442816247e+11|3.458745880e+11|0.000000|0.000000|0.000000
2.009499382e+06|3.419202849e+11|3.435005700e+11|3.450901453e+11|0.000000|0.000000|0.000000
2.019298185e+06|3.411223612e+11|3.426951002e+11|3.442811827e+11|0.000000|0.000000|0.000000
2.028862648e+06|3.403406855e+11|3.419060045e+11|3.434886673e+11|0.000000|0.000000|0.000000
2.038318229e+06|3.395651606e+11|3.411230943e+11|3.427023671e+11|0.000000|0.000000|0.000000
2.047232031e+06|3.388315735e+11|3.403825021e+11|3.419585720e+11|0.000000|0.000000|0.000000
2.057688351e+06|3.379679562e+11|3.395106178e+11|3.410829229e+11|0.000000|0.000000|0.000000
2.067757659e+06|3.371331613e+11|3.386678147e+11|3.402364881e+11|0.000000|0.000000|0.000000
2.075970460e+06|3.364500009e+11|3.379780911e+11|3.395437986e+11|0.000000|0.000000|0.000000
2.084345303e+06|3.357512563e+11|3.372726265e+11|3.388353074e+11|0.000000|0.000000|0.000000
2.094230715e+06|3.349237475e+11|3.364371536e+11|3.379962601e+11|0.000000|0.000000|0.000000
2.103281646e+06|3.341635033e+11|3.356695900e+11|3.372254232e+11|0.000000|0.000000|0.000000
2.112611801e+06|3.333772179e+11|3.348757347e+11|3.364281946e+11|0.000000|0.000000|0.000000
2.121423435e+06|3.326322215e+11|3.341235693e+11|3.356728450e+11|0.000000|0.000000|0.000000
