#R_planet
7.177562928e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.373736476e+05|3.594789337e+05|2.647182761e+05|2.858769790e+05|9.904844250e+06|9.945079500e+06|9.975489500e+06|9.947310000e+06|9.908643000e+06|9.985979000e+06|2.938285000e+05|3.878695000e+05|4.636365000e+05|3.826379062e+05|2.758718125e+05|4.894040938e+05|1.910286803e+03|1.913458492e+03|1.917810065e+03|1.914239035e+03|1.909432606e+03|1.919045463e+03|8.893013981e+01|9.207262883e+01|9.645346326e+01|9.287430919e+01|8.806699203e+01|9.768162635e+01|7.075568385e+03|7.118317692e+03|7.168488199e+03|7.126180070e+03|7.067794205e+03|7.184565936e+03|9.310901616e+02|9.692220847e+02|1.040763173e+03|9.861926495e+02|9.235695363e+02|1.048815763e+03|4.217268224e+11|4.225425736e+11|4.235827528e+11|4.226688614e+11|4.215438705e+11|4.237938196e+11|-6.536101888e+09|-2.414329856e+09|1.896865792e+09|-2.146497024e+09|-7.708584960e+09|3.415590912e+09|1.283135693e+04|1.283813135e+04|1.284579492e+04|1.283851367e+04|1.283026660e+04|1.284676270e+04
5.144768908e+05|5.163777942e+05|4.093135511e+05|4.465499673e+05|9.848348250e+06|9.882967500e+06|9.916706750e+06|9.885244000e+06|9.843115000e+06|9.927373000e+06|2.534937500e+05|3.541735000e+05|4.416792500e+05|3.515874375e+05|2.300115469e+05|4.731632812e+05|1.908524694e+03|1.913597791e+03|1.919657150e+03|1.913851476e+03|1.907397512e+03|1.920305441e+03|8.715966335e+01|9.222996768e+01|9.830389927e+01|9.248457544e+01|8.603106160e+01|9.893808927e+01|7.042161978e+03|7.102621748e+03|7.174877596e+03|7.105469393e+03|7.029660143e+03|7.181278643e+03|8.919349331e+02|9.806680029e+02|1.041475742e+03|9.728723971e+02|8.964055422e+02|1.049339252e+03|4.188052931e+11|4.196247306e+11|4.203737498e+11|4.195669115e+11|4.186775552e+11|4.204563661e+11|-9.620217856e+09|-3.665018880e+09|1.470562304e+09|-3.625987840e+09|-1.031466189e+10|3.062685952e+09|1.280840967e+04|1.281563281e+04|1.282074951e+04|1.281529492e+04|1.280845898e+04|1.282212891e+04
6.128197170e+05|6.150789570e+05|4.767524465e+05|5.228663284e+05|9.816275500e+06|9.837831500e+06|9.876815500e+06|9.844429000e+06|9.805485000e+06|9.883373000e+06|2.265017500e+05|3.470495000e+05|4.693742500e+05|3.430200000e+05|1.951386875e+05|4.909013125e+05|1.909711440e+03|1.914167657e+03|1.919842656e+03|1.914940241e+03|1.908622597e+03|1.921257884e+03|8.833612460e+01|9.280554294e+01|9.846380906e+01|9.357531432e+01|8.725767333e+01|9.989295532e+01|7.043448987e+03|7.097148415e+03|7.162042381e+03|7.105221994e+03|7.031599684e+03|7.178844304e+03|9.125396349e+02|9.635449623e+02|1.050469080e+03|9.803218197e+02|8.992778674e+02|1.061365772e+03|4.163701064e+11|4.170444145e+11|4.179407421e+11|4.171954258e+11|4.162948301e+11|4.180960543e+11|-1.093328077e+10|-4.047929344e+09|2.155134976e+09|-4.309779968e+09|-1.193824973e+10|3.318690560e+09|1.279120215e+04|1.279627832e+04|1.280180664e+04|1.279626758e+04|1.278934961e+04|1.280318750e+04
6.836860007e+05|6.821553969e+05|5.361626155e+05|5.927321741e+05|9.753609000e+06|9.792164000e+06|9.835804750e+06|9.794523000e+06|9.751165000e+06|9.837880000e+06|1.926402500e+05|3.557785000e+05|4.728947500e+05|3.415688125e+05|1.848382812e+05|4.982993750e+05|1.907724149e+03|1.913517308e+03|1.919596296e+03|1.913446597e+03|1.906787430e+03|1.920105764e+03|8.634843091e+01|9.216473302e+01|9.822383640e+01|9.207991532e+01|8.541808658e+01|9.874174406e+01|7.006085608e+03|7.072406263e+03|7.144363959e+03|7.076399337e+03|6.998408447e+03|7.154390227e+03|9.043467170e+02|9.570971056e+02|1.026464324e+03|9.630500329e+02|8.835192639e+02|1.042580802e+03|4.141833503e+11|4.149130363e+11|4.157047849e+11|4.150058353e+11|4.140527124e+11|4.159588925e+11|-1.224332083e+10|-3.986964480e+09|2.506530816e+09|-3.964464128e+09|-1.201437389e+10|4.085445376e+09|1.277397803e+04|1.278051025e+04|1.278763135e+04|1.278084375e+04|1.277328125e+04|1.278840527e+04
7.457581513e+05|7.464035350e+05|5.951260865e+05|6.257130856e+05|9.703737750e+06|9.752267500e+06|9.810650250e+06|9.756278000e+06|9.702041000e+06|9.810513000e+06|1.903190000e+05|3.334325000e+05|5.197822500e+05|3.401324062e+05|1.584516562e+05|5.218131875e+05|1.906711530e+03|1.912865916e+03|1.921686834e+03|1.913572460e+03|1.905240516e+03|1.921904404e+03|8.534763390e+01|9.150646785e+01|1.003321517e+02|9.220773408e+01|8.387633463e+01|1.005391335e+02|6.985154018e+03|7.059887574e+03|7.163173496e+03|7.067342419e+03|6.969351288e+03|7.165333550e+03|8.765745502e+02|9.747379798e+02|1.043270419e+03|9.628667572e+02|8.640587137e+02|1.061674801e+03|4.119611146e+11|4.131318825e+11|4.139392205e+11|4.130027930e+11|4.118451978e+11|4.141604209e+11|-1.380365107e+10|-4.195352576e+09|4.716593152e+09|-4.043803904e+09|-1.368186982e+10|5.594261504e+09|1.275906787e+04|1.276560352e+04|1.277284106e+04|1.276534668e+04|1.275701465e+04|1.277368262e+04
8.015067196e+05|8.014583240e+05|6.902257246e+05|7.312447230e+05|9.671701000e+06|9.723367500e+06|9.767050750e+06|9.719087000e+06|9.669690000e+06|9.768484000e+06|1.836022500e+05|3.113390000e+05|4.592997500e+05|3.219104375e+05|1.669287344e+05|4.768921562e+05|1.906655826e+03|1.914623579e+03|1.919769415e+03|1.913261471e+03|1.905392041e+03|1.921130900e+03|8.529733750e+01|9.325536378e+01|9.840110528e+01|9.189509134e+01|8.402391931e+01|9.976626336e+01|6.970962277e+03|7.070992620e+03|7.129428670e+03|7.053857304e+03|6.962175507e+03|7.145539100e+03|8.591003148e+02|9.733917504e+02|1.030221501e+03|9.538093936e+02|8.626698465e+02|1.044948941e+03|4.104135229e+11|4.109152584e+11|4.121678807e+11|4.111719465e+11|4.101735383e+11|4.121703547e+11|-1.225836954e+10|-5.395677184e+09|3.533586432e+09|-4.879667200e+09|-1.323792384e+10|3.478588672e+09|1.274403174e+04|1.275196289e+04|1.275899048e+04|1.275154492e+04|1.274332422e+04|1.275976855e+04
8.509584135e+05|8.517729984e+05|7.237580651e+05|7.522784276e+05|9.633464500e+06|9.677373000e+06|9.709067500e+06|9.675159000e+06|9.632134000e+06|9.718184000e+06|1.380650000e+05|3.058900000e+05|4.810507500e+05|3.168126250e+05|1.211143828e+05|5.125108750e+05|1.906029997e+03|1.911984329e+03|1.916269253e+03|1.912163373e+03|1.905596399e+03|1.918730346e+03|8.466511252e+01|9.062525074e+01|9.489054743e+01|9.080062265e+01|8.423595556e+01|9.736528973e+01|6.960215637e+03|7.029507411e+03|7.083180942e+03|7.030496407e+03|6.953853134e+03|7.107139679e+03|8.523089680e+02|9.475274685e+02|1.022307519e+03|9.399173212e+02|8.475900941e+02|1.032244548e+03|4.083383419e+11|4.092633907e+11|4.100507484e+11|4.091949875e+11|4.081769841e+11|4.102129582e+11|-1.466652262e+10|-6.637486080e+09|3.383992320e+09|-4.830272000e+09|-1.512759091e+10|5.467048448e+09|1.272941309e+04|1.273689258e+04|1.274554492e+04|1.273728125e+04|1.272858008e+04|1.274598145e+04
9.046218862e+05|9.064939632e+05|8.015534820e+05|8.459501917e+05|9.589399500e+06|9.628490500e+06|9.676295250e+06|9.632372000e+06|9.583608000e+06|9.681137000e+06|1.050060000e+05|2.914115000e+05|4.336007500e+05|2.828174062e+05|1.041933203e+05|4.614415312e+05|1.905597707e+03|1.910457011e+03|1.917276705e+03|1.911281755e+03|1.903509607e+03|1.919053904e+03|8.423430773e+01|8.908562793e+01|9.592329361e+01|8.991726839e+01|8.214377716e+01|9.769075962e+01|6.938167238e+03|6.997367187e+03|7.080783678e+03|7.009993415e+03|6.920025857e+03|7.099960973e+03|8.392444400e+02|9.059995793e+02|1.007464790e+03|9.214516719e+02|8.245466920e+02|1.018356652e+03|4.062190141e+11|4.071222804e+11|4.082319688e+11|4.072132444e+11|4.061225943e+11|4.083037635e+11|-1.472049152e+10|-6.392709120e+09|1.343799296e+09|-6.350817280e+09|-1.575791923e+10|3.056285184e+09|1.271609644e+04|1.272445605e+04|1.272983618e+04|1.272271289e+04|1.271358105e+04|1.273184668e+04
9.476663100e+05|9.470673608e+05|8.499472710e+05|8.759732733e+05|9.563979750e+06|9.601343500e+06|9.639582000e+06|9.597190000e+06|9.547111000e+06|9.647267000e+06|1.145280000e+05|3.125170000e+05|4.860495000e+05|3.165701562e+05|1.268482812e+05|5.062920938e+05|1.903512523e+03|1.911483911e+03|1.918717276e+03|1.910894966e+03|1.902144940e+03|1.919644992e+03|8.212512343e+01|9.011249094e+01|9.736063203e+01|8.952822620e+01|8.077669636e+01|9.827975603e+01|6.910227559e+03|7.005395967e+03|7.082857315e+03|6.996503511e+03|6.896417217e+03|7.096589805e+03|8.292446943e+02|9.342348111e+02|1.009564440e+03|9.246692615e+02|8.309285730e+02|1.018409950e+03|4.044743311e+11|4.056245207e+11|4.064214467e+11|4.055001006e+11|4.043528274e+11|4.066474721e+11|-1.615101952e+10|-4.341399552e+09|4.585742336e+09|-4.465994752e+09|-1.519306138e+10|6.261073408e+09|1.269962988e+04|1.271061865e+04|1.271862427e+04|1.270975391e+04|1.269926758e+04|1.272024023e+04
9.914246745e+05|9.904750991e+05|8.928690189e+05|9.234356226e+05|9.512236250e+06|9.546878000e+06|9.599002500e+06|9.552588000e+06|9.508223000e+06|9.596952000e+06|1.066530000e+05|2.955180000e+05|4.687672500e+05|2.991406875e+05|1.038932188e+05|4.943881562e+05|1.904153213e+03|1.909461149e+03|1.916955755e+03|1.910163201e+03|1.902825163e+03|1.917501239e+03|8.278592104e+01|8.808831101e+01|9.557932340e+01|8.879535887e+01|8.145685939e+01|9.613385836e+01|6.904905628e+03|6.965703649e+03|7.053744313e+03|6.976541493e+03|6.892501859e+03|7.060581128e+03|8.284404989e+02|8.964021322e+02|9.884645801e+02|9.112594253e+02|8.217584928e+02|1.000760358e+03|4.027283128e+11|4.034339144e+11|4.043104502e+11|4.033999667e+11|4.024915722e+11|4.043083940e+11|-1.576480768e+10|-7.021658112e+09|4.803141632e+09|-5.147148288e+09|-1.580386611e+10|5.509569536e+09|1.268742065e+04|1.269400879e+04|1.269946875e+04|1.269409375e+04|1.268585254e+04|1.270233203e+04
