#RRR|P25fit|P50fit|P75fit|P25model|P50model|P75model
3.388854048e+05|4.234124350e+11|4.263242569e+11|4.291411353e+11|0.000000|0.000000|0.000000
5.129322550e+05|4.207412667e+11|4.229624947e+11|4.252875695e+11|0.000000|0.000000|0.000000
6.109397451e+05|4.184561806e+11|4.204055318e+11|4.225349718e+11|0.000000|0.000000|0.000000
6.851632965e+05|4.163701421e+11|4.181594192e+11|4.201719074e+11|0.000000|0.000000|0.000000
7.442583991e+05|4.144976292e+11|4.161838031e+11|4.181194808e+11|0.000000|0.000000|0.000000
7.977404596e+05|4.126456482e+11|4.142548543e+11|4.161317871e+11|0.000000|0.000000|0.000000
8.489433578e+05|4.107358802e+11|4.122842758e+11|4.141133129e+11|0.000000|0.000000|0.000000
8.952225792e+05|4.088972233e+11|4.104002611e+11|4.121921214e+11|0.000000|0.000000|0.000000
9.420450338e+05|4.069305219e+11|4.083958678e+11|4.101552260e+11|0.000000|0.000000|0.000000
9.853880836e+05|4.050164037e+11|4.064533352e+11|4.081865510e+11|0.000000|0.000000|0.000000
1.024183929e+06|4.032282201e+11|4.046443586e+11|4.063569258e+11|0.000000|0.000000|0.000000
1.064416660e+06|4.013004004e+11|4.026990288e+11|4.043925113e+11|0.000000|0.000000|0.000000
1.107092982e+06|3.991752125e+11|4.005591707e+11|4.022345667e+11|0.000000|0.000000|0.000000
1.139825027e+06|3.974901381e+11|3.988651850e+11|4.005279419e+11|0.000000|0.000000|0.000000
1.175223858e+06|3.956147814e+11|3.969821378e+11|3.986321912e+11|0.000000|0.000000|0.000000
1.212575016e+06|3.935771609e+11|3.949382508e+11|3.965757459e+11|0.000000|0.000000|0.000000
1.246739497e+06|3.916612611e+11|3.930179820e+11|3.946445446e+11|0.000000|0.000000|0.000000
1.278199111e+06|3.898536243e+11|3.912072439e+11|3.928240504e+11|0.000000|0.000000|0.000000
1.308911310e+06|3.880492961e+11|3.894005528e+11|3.910079955e+11|0.000000|0.000000|0.000000
1.342183932e+06|3.860509158e+11|3.874001580e+11|3.889975045e+11|0.000000|0.000000|0.000000
1.373987582e+06|3.840988890e+11|3.854465561e+11|3.870341809e+11|0.000000|0.000000|0.000000
1.402663129e+06|3.823042011e+11|3.836506034e+11|3.852293134e+11|0.000000|0.000000|0.000000
1.433943701e+06|3.803094446e+11|3.816544986e+11|3.832232355e+11|0.000000|0.000000|0.000000
1.461327408e+06|3.785318278e+11|3.798756244e+11|3.814353531e+11|0.000000|0.000000|0.000000
1.489668646e+06|3.766615608e+11|3.780038855e+11|3.795539610e+11|0.000000|0.000000|0.000000
1.519664952e+06|3.746486522e+11|3.759891346e+11|3.775285709e+11|0.000000|0.000000|0.000000
1.545451831e+06|3.728910309e+11|3.742296247e+11|3.757595272e+11|0.000000|0.000000|0.000000
1.573593350e+06|3.709445301e+11|3.722806729e+11|3.737997249e+11|0.000000|0.000000|0.000000
1.600659872e+06|3.690447064e+11|3.703780491e+11|3.718861953e+11|0.000000|0.000000|0.000000
1.626466972e+06|3.672082520e+11|3.685384719e+11|3.700357670e+11|0.000000|0.000000|0.000000
1.648753307e+06|3.656028501e+11|3.669299859e+11|3.684175405e+11|0.000000|0.000000|0.000000
1.676070332e+06|3.636106393e+11|3.649334696e+11|3.664086038e+11|0.000000|0.000000|0.000000
1.702964136e+06|3.616232459e+11|3.629412390e+11|3.644036159e+11|0.000000|0.000000|0.000000
1.727799150e+06|3.597652438e+11|3.610782165e+11|3.625283403e+11|0.000000|0.000000|0.000000
1.751690198e+06|3.579574217e+11|3.592650450e+11|3.607029508e+11|0.000000|0.000000|0.000000
1.776118273e+06|3.560884007e+11|3.573900130e+11|3.588149908e+11|0.000000|0.000000|0.000000
1.797247953e+06|3.544550986e+11|3.557510620e+11|3.571645055e+11|0.000000|0.000000|0.000000
1.821093427e+06|3.525934590e+11|3.538825405e+11|3.552825809e+11|0.000000|0.000000|0.000000
1.845134811e+06|3.506969025e+11|3.519784984e+11|3.533646203e+11|0.000000|0.000000|0.000000
1.869720391e+06|3.487371888e+11|3.500105615e+11|3.513820419e+11|0.000000|0.000000|0.000000
1.894395147e+06|3.467499506e+11|3.480144972e+11|3.493708847e+11|0.000000|0.000000|0.000000
1.915975487e+06|3.449952769e+11|3.462516399e+11|3.475945156e+11|0.000000|0.000000|0.000000
1.937060593e+06|3.432659591e+11|3.445139155e+11|3.458433243e+11|0.000000|0.000000|0.000000
1.956387345e+06|3.416679835e+11|3.429078861e+11|3.442247344e+11|0.000000|0.000000|0.000000
1.979140584e+06|3.397710106e+11|3.410010172e+11|3.423028318e+11|0.000000|0.000000|0.000000
2.004456068e+06|3.376405996e+11|3.388590892e+11|3.401438928e+11|0.000000|0.000000|0.000000
2.025267970e+06|3.358736422e+11|3.370822832e+11|3.383529030e+11|0.000000|0.000000|0.000000
2.046185381e+06|3.340836749e+11|3.352820904e+11|3.365382976e+11|0.000000|0.000000|0.000000
2.067086326e+06|3.322811177e+11|3.334690085e+11|3.347106821e+11|0.000000|0.000000|0.000000
2.087744638e+06|3.304858039e+11|3.316630119e+11|3.328902161e+11|0.000000|0.000000|0.000000
2.106840966e+06|3.288141935e+11|3.299812990e+11|3.311950588e+11|0.000000|0.000000|0.000000
2.126284890e+06|3.271003235e+11|3.282569392e+11|3.294569656e+11|0.000000|0.000000|0.000000
2.151539180e+06|3.248565624e+11|3.259992844e+11|3.271814476e+11|0.000000|0.000000|0.000000
2.173168618e+06|3.229189956e+11|3.240496132e+11|3.252164943e+11|0.000000|0.000000|0.000000
2.191263738e+06|3.212868397e+11|3.224072132e+11|3.235613510e+11|0.000000|0.000000|0.000000
2.209605168e+06|3.196221003e+11|3.207320051e+11|3.218732905e+11|0.000000|0.000000|0.000000
2.227449816e+06|3.179924691e+11|3.190921298e+11|3.202209972e+11|0.000000|0.000000|0.000000
2.248847593e+06|3.160254210e+11|3.171127549e+11|3.182268786e+11|0.000000|0.000000|0.000000
2.266942898e+06|3.143509918e+11|3.154278946e+11|3.165297058e+11|0.000000|0.000000|0.000000
2.287372167e+06|3.124485526e+11|3.135137075e+11|3.146018258e+11|0.000000|0.000000|0.000000
2.309988934e+06|3.103275644e+11|3.113797965e+11|3.124530607e+11|0.000000|0.000000|0.000000
2.329402656e+06|3.084945572e+11|3.095358088e+11|3.105966206e+11|0.000000|0.000000|0.000000
2.345451320e+06|3.069706497e+11|3.080029314e+11|3.090536855e+11|0.000000|0.000000|0.000000
2.361611240e+06|3.054283117e+11|3.064516836e+11|3.074925504e+11|0.000000|0.000000|0.000000
2.378037467e+06|3.038524852e+11|3.048669507e+11|3.058980379e+11|0.000000|0.000000|0.000000
2.397253575e+06|3.019987109e+11|3.030029837e+11|3.040230101e+11|0.000000|0.000000|0.000000
2.419346661e+06|2.998536970e+11|3.008466056e+11|3.018544720e+11|0.000000|0.000000|0.000000
2.438425678e+06|2.979895564e+11|2.989730053e+11|2.999708971e+11|0.000000|0.000000|0.000000
2.459029546e+06|2.959642130e+11|2.969378688e+11|2.979255886e+11|0.000000|0.000000|0.000000
2.476669124e+06|2.942201980e+11|2.951858612e+11|2.961654081e+11|0.000000|0.000000|0.000000
2.492628977e+06|2.926342744e+11|2.935930503e+11|2.945656597e+11|0.000000|0.000000|0.000000
2.506286466e+06|2.912711230e+11|2.922242874e+11|2.931913260e+11|0.000000|0.000000|0.000000
2.523638491e+06|2.895312327e+11|2.904776730e+11|2.914381493e+11|0.000000|0.000000|0.000000
2.540821345e+06|2.877995065e+11|2.887397706e+11|2.896943499e+11|0.000000|0.000000|0.000000
2.561020395e+06|2.857526195e+11|2.866862889e+11|2.876347500e+11|0.000000|0.000000|0.000000
2.583966871e+06|2.834126770e+11|2.843398047e+11|2.852824546e+11|0.000000|0.000000|0.000000
2.602731743e+06|2.814875851e+11|2.824101787e+11|2.833490369e+11|0.000000|0.000000|0.000000
2.619195560e+06|2.797899976e+11|2.807092633e+11|2.816455492e+11|0.000000|0.000000|0.000000
2.634379365e+06|2.782173039e+11|2.791340729e+11|2.800686428e+11|0.000000|0.000000|0.000000
2.648909625e+06|2.767059364e+11|2.776208591e+11|2.785544028e+11|0.000000|0.000000|0.000000
2.662324128e+06|2.753050997e+11|2.762188126e+11|2.771519653e+11|0.000000|0.000000|0.000000
2.679320617e+06|2.735225907e+11|2.744354874e+11|2.753689435e+11|0.000000|0.000000|0.000000
2.696785046e+06|2.716821409e+11|2.725950766e+11|2.735298143e+11|0.000000|0.000000|0.000000
2.717780781e+06|2.694576582e+11|2.703718875e+11|2.713095302e+11|0.000000|0.000000|0.000000
2.740702355e+06|2.670143068e+11|2.679315995e+11|2.688742033e+11|0.000000|0.000000|0.000000
2.756379335e+06|2.653342867e+11|2.662547250e+11|2.672018504e+11|0.000000|0.000000|0.000000
2.771448365e+06|2.637125897e+11|2.646368968e+11|2.655892697e+11|0.000000|0.000000|0.000000
2.783443790e+06|2.624168819e+11|2.633448840e+11|2.643020867e+11|0.000000|0.000000|0.000000
2.796451694e+06|2.610070129e+11|2.619396606e+11|2.629027744e+11|0.000000|0.000000|0.000000
2.811199616e+06|2.594025120e+11|2.603412583e+11|2.613119472e+11|0.000000|0.000000|0.000000
2.826415661e+06|2.577403511e+11|2.586863502e+11|2.596658582e+11|0.000000|0.000000|0.000000
2.844607887e+06|2.557441016e+11|2.567001042e+11|2.576915410e+11|0.000000|0.000000|0.000000
2.864124530e+06|2.535916408e+11|2.545600587e+11|2.555660326e+11|0.000000|0.000000|0.000000
2.886593441e+06|2.510996130e+11|2.520845864e+11|2.531096206e+11|0.000000|0.000000|0.000000
2.906106033e+06|2.489233271e+11|2.499247361e+11|2.509684255e+11|0.000000|0.000000|0.000000
2.919336449e+06|2.474412762e+11|2.484549637e+11|2.495124551e+11|0.000000|0.000000|0.000000
2.931364401e+06|2.460894081e+11|2.471150797e+11|2.481859508e+11|0.000000|0.000000|0.000000
2.943170918e+06|2.447582409e+11|2.457964576e+11|2.468812512e+11|0.000000|0.000000|0.000000
2.955375287e+06|2.433778515e+11|2.444298709e+11|2.455298966e+11|0.000000|0.000000|0.000000
2.969392863e+06|2.417868954e+11|2.428558434e+11|2.439744432e+11|0.000000|0.000000|0.000000
2.984638518e+06|2.400498928e+11|2.411385950e+11|2.422787398e+11|0.000000|0.000000|0.000000
3.005005162e+06|2.377185824e+11|2.388359310e+11|2.400071074e+11|0.000000|0.000000|0.000000
3.026071576e+06|2.352940839e+11|2.364438822e+11|2.376499561e+11|0.000000|0.000000|0.000000
3.050023868e+06|2.325212434e+11|2.337115690e+11|2.349609129e+11|0.000000|0.000000|0.000000
3.064540399e+06|2.308323181e+11|2.320491587e+11|2.333266507e+11|0.000000|0.000000|0.000000
3.076495313e+06|2.294366431e+11|2.306764615e+11|2.319782557e+11|0.000000|0.000000|0.000000
3.087207456e+06|2.281823806e+11|2.294436842e+11|2.307681325e+11|0.000000|0.000000|0.000000
3.097853108e+06|2.269324566e+11|2.282159681e+11|2.295637672e+11|0.000000|0.000000|0.000000
3.109303168e+06|2.255842445e+11|2.268926133e+11|2.282664758e+11|0.000000|0.000000|0.000000
3.122975902e+06|2.239690935e+11|2.253084916e+11|2.267147892e+11|0.000000|0.000000|0.000000
3.138352221e+06|2.221483835e+11|2.235237760e+11|2.249676222e+11|1.000000|1.000000|1.000000
3.159063831e+06|2.196738635e+11|2.211037863e+11|2.226040648e+11|1.000000|1.000000|1.000000
3.181649318e+06|2.169754622e+11|2.184648488e+11|2.200266653e+11|1.000000|1.000000|1.000000
3.202443593e+06|2.144910659e+11|2.160352004e+11|2.176536745e+11|1.000000|1.000000|1.000000
