#RRR|Lz25|Lz50|Lz75|Lzmean|Lzsum|Isum
8.022978690e+04|5.626258212e+25|1.408221253e+26|2.223171854e+26|1.447859833e+26|1.447859833e+28|3.625075083e+31
1.441303055e+05|3.615286786e+26|4.294162448e+26|5.069811324e+26|4.421358205e+26|4.421358205e+28|1.046720276e+32
1.872025429e+05|6.473798376e+26|7.240573283e+26|7.947568843e+26|7.330932426e+26|7.330932426e+28|1.757553208e+32
2.209326510e+05|9.176112952e+26|1.018900982e+27|1.088398087e+27|1.018824785e+27|1.018824785e+29|2.446767993e+32
2.507746372e+05|1.230325407e+27|1.295091526e+27|1.366805972e+27|1.293469504e+27|1.293469504e+29|3.139170507e+32
2.786789875e+05|1.512494995e+27|1.598268823e+27|1.691388342e+27|1.596593687e+27|1.596593687e+29|3.878382749e+32
3.041517718e+05|1.818090630e+27|1.907513646e+27|1.975916798e+27|1.926380557e+27|1.926380557e+29|4.616367087e+32
3.249409370e+05|2.071005772e+27|2.154900553e+27|2.248796427e+27|2.161828485e+27|2.161828485e+29|5.270501807e+32
3.453661948e+05|2.359739076e+27|2.462995743e+27|2.547282769e+27|2.448001774e+27|2.448001774e+29|5.953568725e+32
3.657052473e+05|2.636947382e+27|2.757211244e+27|2.837951079e+27|2.762784615e+27|2.762784615e+29|6.682173174e+32
3.846310194e+05|2.930147707e+27|3.014930159e+27|3.110382899e+27|3.026574133e+27|3.026574133e+29|7.387457129e+32
4.009079741e+05|3.211537254e+27|3.324400197e+27|3.464369173e+27|3.344679987e+27|3.344679987e+29|8.049060447e+32
4.189622136e+05|3.507477054e+27|3.612314342e+27|3.733826899e+27|3.667680199e+27|3.667680199e+29|8.768396405e+32
4.367696829e+05|3.831590077e+27|3.912401711e+27|4.029596450e+27|3.925485628e+27|3.925485628e+29|9.534162413e+32
4.527749286e+05|4.122875455e+27|4.207240443e+27|4.303154104e+27|4.244552379e+27|4.244552379e+29|1.025056799e+33
4.681458605e+05|4.397271714e+27|4.476784071e+27|4.590111749e+27|4.496900409e+27|4.496900409e+29|1.095883656e+33
