#RRR|Lz25|Lz50|Lz75|Lzmean|
3.461196439e+05|2.225517306e+26|4.907033956e+26|7.878419280e+26|5.153430818e+26|5.153430818e+28
5.273933539e+05|6.159068703e+26|1.208903876e+27|1.538236044e+27|1.111739999e+27|1.111739999e+29
6.274741771e+05|1.014617369e+27|1.724968314e+27|2.206563787e+27|1.578627938e+27|1.578627938e+29
7.001903498e+05|1.432489292e+27|2.172941146e+27|2.701673825e+27|1.976985514e+27|1.976985514e+29
7.648083398e+05|1.638782309e+27|2.739522847e+27|3.243822068e+27|2.379310168e+27|2.379310168e+29
8.178058930e+05|1.481622488e+27|2.715682762e+27|3.770138922e+27|2.583037268e+27|2.583037268e+29
8.614104934e+05|2.127344804e+27|3.356723670e+27|4.155262582e+27|3.006135138e+27|3.006135138e+29
9.073478036e+05|2.205819657e+27|3.844072164e+27|4.700773493e+27|3.340944088e+27|3.340944088e+29
9.463281397e+05|2.413368117e+27|3.945508192e+27|4.957798113e+27|3.489013326e+27|3.489013326e+29
9.806000774e+05|2.320295476e+27|4.488297822e+27|5.447217940e+27|3.870884038e+27|3.870884038e+29
1.013143985e+06|3.130132161e+27|4.761895855e+27|5.852008698e+27|4.222158736e+27|4.222158736e+29
1.045730887e+06|2.965397011e+27|4.884766806e+27|5.936626859e+27|4.329279688e+27|4.329279688e+29
1.078095472e+06|3.139423995e+27|5.761367715e+27|6.571820210e+27|4.869536349e+27|4.869536349e+29
1.104757627e+06|2.592903312e+27|4.843778111e+27|6.688234099e+27|4.608162317e+27|4.608162317e+29
1.129415041e+06|3.503248566e+27|5.810582631e+27|7.372354422e+27|5.228950244e+27|5.228950244e+29
1.155255796e+06|3.262789231e+27|6.118907892e+27|7.513173069e+27|5.370373842e+27|5.370373842e+29
1.180968182e+06|4.058593268e+27|6.169571627e+27|7.914907790e+27|5.567565788e+27|5.567565788e+29
1.205057728e+06|4.272177459e+27|7.070484378e+27|8.268035499e+27|6.143905216e+27|6.143905216e+29
1.229370389e+06|3.402041096e+27|6.096251063e+27|8.439765267e+27|5.754649847e+27|5.754649847e+29
1.249491037e+06|3.877667747e+27|6.240107702e+27|8.525877391e+27|5.896211366e+27|5.896211366e+29
