#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
3.550415352e+05|1.643675174e+07|1.647333522e+07|1.650109751e+07|1.647060763e+07|1.857957998e+04|1.859991315e+04|1.861532470e+04|1.859836031e+04|4.896147507e+11|4.911735373e+11|4.923568377e+11|4.910583433e+11|1.249576099e+04|1.250716406e+04|1.251580103e+04|1.250629590e+04|2.512962220e+03
5.411412679e+05|1.634384641e+07|1.638068628e+07|1.640897638e+07|1.637780080e+07|1.852774272e+04|1.854831624e+04|1.856409840e+04|1.854663757e+04|4.856625721e+11|4.872294680e+11|4.884329734e+11|4.871086559e+11|1.246674219e+04|1.247825830e+04|1.248709961e+04|1.247732910e+04|2.512962220e+03
6.426097261e+05|1.625345301e+07|1.628896124e+07|1.634022766e+07|1.629615278e+07|1.847706617e+04|1.849699092e+04|1.852571900e+04|1.850094796e+04|4.818245219e+11|4.833318925e+11|4.855087638e+11|4.836393266e+11|1.243841064e+04|1.244954346e+04|1.246561133e+04|1.245176953e+04|2.512962220e+03
7.198388670e+05|1.619783189e+07|1.624660612e+07|1.628734258e+07|1.624255776e+07|1.844575609e+04|1.847322164e+04|1.849608311e+04|1.847086113e+04|4.794666927e+11|4.815338914e+11|4.832631736e+11|4.813647885e+11|1.242092578e+04|1.243625830e+04|1.244903662e+04|1.243495508e+04|2.512962220e+03
7.831128807e+05|1.613360638e+07|1.618409535e+07|1.624486890e+07|1.618884721e+07|1.840950744e+04|1.843801249e+04|1.847224606e+04|1.844058897e+04|4.767464389e+11|4.788846329e+11|4.814601508e+11|4.790888618e+11|1.240069385e+04|1.241660498e+04|1.243571582e+04|1.241805469e+04|2.512962220e+03
8.400743749e+05|1.606643623e+07|1.614014195e+07|1.618362514e+07|1.612560405e+07|1.837145731e+04|1.841320538e+04|1.843774735e+04|1.840484823e+04|4.739058344e+11|4.770228898e+11|4.788647088e+11|4.764117309e+11|1.237948242e+04|1.240275439e+04|1.241645776e+04|1.239811914e+04|2.512962220e+03
8.835940023e+05|1.605239128e+07|1.611987839e+07|1.616617083e+07|1.610647143e+07|1.836349135e+04|1.840173737e+04|1.842790299e+04|1.839403390e+04|4.733120103e+11|4.761658098e+11|4.781251867e+11|4.756018999e+11|1.237504199e+04|1.239636084e+04|1.241095874e+04|1.239208496e+04|2.512962220e+03
9.289226557e+05|1.600829128e+07|1.607380341e+07|1.611371592e+07|1.605563596e+07|1.833840534e+04|1.837563464e+04|1.839824842e+04|1.836519846e+04|4.714502044e+11|4.742173379e+11|4.759051760e+11|4.734531213e+11|1.236108276e+04|1.238181396e+04|1.239441895e+04|1.237601758e+04|2.512962220e+03
9.730351777e+05|1.593686348e+07|1.601215121e+07|1.606151628e+07|1.600128419e+07|1.829767619e+04|1.834060287e+04|1.836866737e+04|1.833426307e+04|4.684368963e+11|4.716131257e+11|4.736978162e+11|4.711587060e+11|1.233842065e+04|1.236230566e+04|1.237792749e+04|1.235879883e+04|2.512962220e+03
1.006125648e+06|1.591991020e+07|1.598800015e+07|1.604638578e+07|1.597649883e+07|1.828798025e+04|1.832684946e+04|1.836008069e+04|1.832011307e+04|4.677227128e+11|4.705937922e+11|4.730582633e+11|4.701136222e+11|1.233302856e+04|1.235464844e+04|1.237314551e+04|1.235092871e+04|2.512962220e+03
