#RRR|U50|U25|U75|Umean|T50|T25|T75|Tmean|P50|P25|P75|Pmean|rho50|rho25|rho75|Pmean|S
3.525458778e+05|9.864313162e+06|9.905309370e+06|9.952766651e+06|9.910333124e+06|6.923278024e+03|6.934162312e+03|6.946716389e+03|6.935432925e+03|4.228857138e+11|4.250039102e+11|4.274572826e+11|4.252654140e+11|1.285576367e+04|1.287175928e+04|1.289022046e+04|1.287364453e+04|1.896250694e+03
5.366820108e+05|9.795755519e+06|9.858531669e+06|9.898972166e+06|9.848124549e+06|6.905000909e+03|6.921740138e+03|6.932483065e+03|6.918912196e+03|4.193453488e+11|4.225871053e+11|4.246762572e+11|4.220511933e+11|1.282892529e+04|1.285350439e+04|1.286929150e+04|1.284936914e+04|1.896250694e+03
6.377142091e+05|9.768964270e+06|9.792753427e+06|9.826080600e+06|9.792553602e+06|6.897831906e+03|6.904198193e+03|6.913097387e+03|6.904108844e+03|4.179630332e+11|4.191904635e+11|4.209107919e+11|4.191812919e+11|1.281840771e+04|1.282774561e+04|1.284080518e+04|1.282762598e+04|1.896250694e+03
7.129999875e+05|9.733888263e+06|9.761959069e+06|9.800131676e+06|9.760808925e+06|6.888427569e+03|6.895955421e+03|6.906170750e+03|6.895612148e+03|4.161530277e+11|4.176015380e+11|4.195711088e+11|4.175431638e+11|1.280460864e+04|1.281565625e+04|1.283064502e+04|1.281515918e+04|1.896250694e+03
7.815274118e+05|9.676360948e+06|9.701255376e+06|9.730833580e+06|9.704595876e+06|6.872940926e+03|6.879649676e+03|6.887606730e+03|6.880516305e+03|4.131877025e+11|4.144710098e+11|4.159955788e+11|4.146440795e+11|1.278190991e+04|1.279174561e+04|1.280339844e+04|1.279302246e+04|1.896250694e+03
8.410356162e+05|9.626904869e+06|9.656391254e+06|9.692047116e+06|9.657612719e+06|6.859572235e+03|6.867551614e+03|6.877169325e+03|6.867837072e+03|4.106397615e+11|4.121581955e+11|4.139963342e+11|4.122228007e+11|1.276233252e+04|1.277401416e+04|1.278811548e+04|1.277444922e+04|1.896250694e+03
8.975226157e+05|9.598326902e+06|9.621119574e+06|9.649142317e+06|9.623351705e+06|6.851824000e+03|6.858004843e+03|6.865591523e+03|6.858590264e+03|4.091680094e+11|4.103418553e+11|4.117848745e+11|4.104572279e+11|1.275099268e+04|1.276004443e+04|1.277114771e+04|1.276090234e+04|1.896250694e+03
9.516139564e+05|9.544902436e+06|9.565398510e+06|9.600538665e+06|9.573238940e+06|6.837292590e+03|6.842875257e+03|6.852424179e+03|6.844982399e+03|4.064185662e+11|4.074728828e+11|4.092819184e+11|4.078773520e+11|1.272973901e+04|1.273790039e+04|1.275187598e+04|1.274099219e+04|1.896250694e+03
9.999573291e+05|9.506151719e+06|9.533514750e+06|9.562505597e+06|9.537316156e+06|6.826717255e+03|6.834187577e+03|6.842087804e+03|6.835179938e+03|4.044250255e+11|4.058327842e+11|4.073240737e+11|4.060294727e+11|1.271428125e+04|1.272520361e+04|1.273674878e+04|1.272666406e+04|1.896250694e+03
1.050116112e+06|9.464663588e+06|9.487775593e+06|9.513801279e+06|9.489865296e+06|6.815350979e+03|6.821687752e+03|6.828806970e+03|6.822228439e+03|4.022923819e+11|4.034803139e+11|4.048185942e+11|4.035886570e+11|1.269768188e+04|1.270693555e+04|1.271733838e+04|1.270773535e+04|1.896250694e+03
1.097185166e+06|9.415525058e+06|9.438834432e+06|9.469984653e+06|9.439860644e+06|6.801844358e+03|6.808257884e+03|6.816810724e+03|6.808512119e+03|3.997669681e+11|4.009646352e+11|4.025658899e+11|4.010182876e+11|1.267796021e+04|1.268732227e+04|1.269981177e+04|1.268770020e+04|1.896250694e+03
1.138791788e+06|9.367396563e+06|9.395637351e+06|9.438985233e+06|9.403385327e+06|6.788563736e+03|6.796361633e+03|6.808299315e+03|6.798446180e+03|3.972959862e+11|3.987459706e+11|4.009723875e+11|3.991453537e+11|1.265859717e+04|1.266996387e+04|1.268738232e+04|1.267301855e+04|1.896250694e+03
1.182549783e+06|9.315826675e+06|9.355584298e+06|9.387614547e+06|9.351707397e+06|6.774274318e+03|6.785297788e+03|6.794147836e+03|6.784169833e+03|3.946496879e+11|3.966894513e+11|3.983340810e+11|3.964921348e+11|1.263776538e+04|1.265382373e+04|1.266673340e+04|1.265220020e+04|1.896250694e+03
1.225439464e+06|9.290522065e+06|9.312304286e+06|9.340953709e+06|9.315698084e+06|6.767241189e+03|6.773296021e+03|6.781246424e+03|6.774187704e+03|3.933515206e+11|3.944689812e+11|3.959385881e+11|3.946443624e+11|1.262751514e+04|1.263634570e+04|1.264792432e+04|1.263765039e+04|1.896250694e+03
1.265033668e+06|9.238001182e+06|9.268788229e+06|9.300793335e+06|9.268317803e+06|6.752595780e+03|6.761190121e+03|6.770097391e+03|6.761016367e+03|3.906591040e+11|3.922366629e+11|3.938784767e+11|3.922141178e+11|1.260620532e+04|1.261870703e+04|1.263167725e+04|1.261846582e+04|1.896250694e+03
1.303004323e+06|9.195476552e+06|9.222446784e+06|9.256988495e+06|9.221403767e+06|6.740695404e+03|6.748246972e+03|6.757898260e+03|6.747921567e+03|3.884797880e+11|3.898619570e+11|3.916320738e+11|3.898094012e+11|1.258888501e+04|1.259987402e+04|1.261391211e+04|1.259940723e+04|1.896250694e+03
1.344172957e+06|9.146802097e+06|9.172003013e+06|9.211754434e+06|9.185885232e+06|6.727016895e+03|6.734104457e+03|6.745254595e+03|6.737952922e+03|3.859880448e+11|3.872782033e+11|3.893140018e+11|3.879904250e+11|1.256900781e+04|1.257930420e+04|1.259552124e+04|1.258491406e+04|1.896250694e+03
1.379081568e+06|9.106876041e+06|9.134271573e+06|9.173104751e+06|9.137168055e+06|6.715757899e+03|6.723488282e+03|6.734414038e+03|6.724263973e+03|3.839446423e+11|3.853464781e+11|3.873346009e+11|3.854958305e+11|1.255264575e+04|1.256387793e+04|1.257975391e+04|1.256501465e+04|1.896250694e+03
1.413842354e+06|9.053484386e+06|9.094393031e+06|9.127457186e+06|9.085211121e+06|6.700640989e+03|6.712228463e+03|6.721568101e+03|6.709569338e+03|3.812136190e+11|3.833061650e+11|3.849975887e+11|3.828381068e+11|1.253070386e+04|1.254752344e+04|1.256108765e+04|1.254368164e+04|1.896250694e+03
1.448428277e+06|9.017702523e+06|9.037684222e+06|9.059143979e+06|9.045292276e+06|6.690471729e+03|6.696154681e+03|6.702246014e+03|6.698269378e+03|3.793851911e+11|3.804059807e+11|3.815031550e+11|3.807964056e+11|1.251595679e+04|1.252419531e+04|1.253303223e+04|1.252727734e+04|1.896250694e+03
1.485581228e+06|8.976222897e+06|9.003958202e+06|9.035553702e+06|9.002198584e+06|6.678649782e+03|6.686558238e+03|6.695549101e+03|6.686020677e+03|3.772658433e+11|3.786830060e+11|3.802971305e+11|3.785938613e+11|1.249881494e+04|1.251028467e+04|1.252331812e+04|1.250950977e+04|1.896250694e+03
1.519544772e+06|8.927985994e+06|8.958678600e+06|8.980658868e+06|8.958885508e+06|6.664839298e+03|6.673633331e+03|6.679915559e+03|6.673646788e+03|3.748031457e+11|3.763700609e+11|3.774925229e+11|3.763817410e+11|1.247881030e+04|1.249154834e+04|1.250064844e+04|1.249158008e+04|1.896250694e+03
1.548844477e+06|8.881830505e+06|8.908111548e+06|8.937337741e+06|8.914677069e+06|6.651575319e+03|6.659134939e+03|6.667520698e+03|6.660976625e+03|3.724476739e+11|3.737884118e+11|3.752806079e+11|3.741248542e+11|1.245961182e+04|1.247055371e+04|1.248269556e+04|1.247323145e+04|1.896250694e+03
1.582423186e+06|8.844887161e+06|8.884319800e+06|8.921964614e+06|8.884299251e+06|6.640921416e+03|6.652292212e+03|6.663111869e+03|6.652241603e+03|3.705637455e+11|3.725745919e+11|3.744957506e+11|3.725749206e+11|1.244419507e+04|1.246065186e+04|1.247631055e+04|1.246058887e+04|1.896250694e+03
1.617357820e+06|8.788777358e+06|8.817923191e+06|8.851274153e+06|8.825493749e+06|6.624673602e+03|6.633125662e+03|6.642765283e+03|6.635271390e+03|3.677040622e+11|3.691889424e+11|3.708894703e+11|3.695761810e+11|1.242071069e+04|1.243292383e+04|1.244687036e+04|1.243604004e+04|1.896250694e+03
1.649073457e+06|8.747671820e+06|8.770741334e+06|8.802507240e+06|8.773110451e+06|6.612722854e+03|6.619434674e+03|6.628657301e+03|6.620079521e+03|3.656097766e+11|3.667851192e+11|3.684035776e+11|3.669068924e+11|1.240344800e+04|1.241314551e+04|1.242647119e+04|1.241408789e+04|1.896250694e+03
1.675413579e+06|8.717463534e+06|8.741246963e+06|8.786525211e+06|8.747595329e+06|6.603908013e+03|6.610849558e+03|6.624019787e+03|6.612658553e+03|3.640723479e+11|3.652828118e+11|3.675893128e+11|3.656072906e+11|1.239072559e+04|1.240074658e+04|1.241976758e+04|1.240336914e+04|1.896250694e+03
