0
C:/Users/gerri/swift-tutorial/survey data/mass1to2/halfearth/halfearth0.5x0.25th30/halfearth0.5x0.25v1.15th30_
""
""
""
""
""
""
Mass(kg),Entropy(kg(K^-1)(m/s)^2),Densisty(kg/m^3),Potential Energy(kg(m/s)^2),Internal Energy(kg(m/s)^2),Kinetic Energy(kg(m/s)^2),Total Av. Energy(kg(m/s)^2)
0.000000000e+00,1.636397991e+03,1.037440490e+04,-2.382553788e+06,8.252524433e+06,1.000000000e+00,5.869970645e+06
5.000000000e-03,1.636397991e+03,1.037440490e+04,-2.382553788e+06,8.252524433e+06,1.000000000e+00,5.869970645e+06
1.500000000e-02,1.636397991e+03,1.037440490e+04,-2.108528338e+06,7.822159899e+06,1.000000000e+00,5.713631561e+06
2.500000000e-02,1.636397991e+03,1.037440490e+04,-2.645155458e+06,7.593875597e+06,1.000000000e+00,4.948720140e+06
3.500000000e-02,1.636397991e+03,1.037440490e+04,-3.145648241e+06,7.399492612e+06,1.000000000e+00,4.253844371e+06
4.500000000e-02,1.636397991e+03,1.037440490e+04,-3.612801613e+06,7.224749793e+06,1.000000000e+00,3.611948179e+06
5.500000000e-02,1.636397991e+03,1.037440490e+04,-4.053000128e+06,7.063577030e+06,1.000000000e+00,3.010576901e+06
6.500000000e-02,1.636397991e+03,1.037440490e+04,-4.471218503e+06,6.912620093e+06,1.000000000e+00,2.441401590e+06
7.500000000e-02,1.636397991e+03,1.037440490e+04,-4.871138646e+06,6.769768158e+06,1.000000000e+00,1.898629512e+06
8.500000000e-02,1.636397991e+03,1.037440490e+04,-5.255525382e+06,6.633574670e+06,1.000000000e+00,1.378049289e+06
9.500000000e-02,1.636397991e+03,1.037440490e+04,-5.626504597e+06,6.502996859e+06,1.000000000e+00,8.764922625e+05
1.050000000e-01,1.636397991e+03,1.037440490e+04,-5.985748948e+06,6.377246726e+06,1.000000000e+00,3.914977775e+05
1.150000000e-01,1.636397991e+03,1.037440490e+04,-6.334601660e+06,6.255713403e+06,1.000000000e+00,-7.888825702e+04
1.250000000e-01,1.636397991e+03,1.037440490e+04,-6.674160712e+06,6.137900182e+06,1.000000000e+00,-5.362605304e+05
