0
C:/Users/gerri/swift-tutorial/survey data/mass1to2/halfearth/halfearth0.5x0.25th30/halfearth0.5x0.25v1.15th30_
""
""
""
4.1156776627590013e+34
2.8621969929275345e+24|1.1439474215054396e+24
5758804.391426287|2974756.4866955164
Mass(kg),Entropy(kg(K^-1)(m/s)^2),Densisty(kg/m^3),Potential Energy(kg(m/s)^2),Internal Energy(kg(m/s)^2),Kinetic Energy(kg(m/s)^2),Total Av. Energy(kg(m/s)^2)
0.000000000e+00,3.857385418e+03,4.149761958e+03,-2.604142314e+07,7.711917855e+06,1.000000000e+00,-1.832950528e+07
5.000000000e-03,3.857385418e+03,4.149761958e+03,-2.604142314e+07,7.711917855e+06,1.000000000e+00,-1.832950528e+07
1.500000000e-02,3.847189985e+03,4.149761958e+03,-2.615826055e+07,7.670535954e+06,1.000000000e+00,-1.848772460e+07
2.500000000e-02,3.837144625e+03,4.149761958e+03,-2.628943897e+07,7.630060708e+06,1.000000000e+00,-1.865937826e+07
3.500000000e-02,3.827221730e+03,4.149761958e+03,-2.643280757e+07,7.590391339e+06,1.000000000e+00,-1.884241623e+07
4.500000000e-02,3.817394167e+03,4.149761958e+03,-2.658659871e+07,7.551383221e+06,1.000000000e+00,-1.903521549e+07
5.500000000e-02,3.807640978e+03,4.149761958e+03,-2.674934622e+07,7.512942690e+06,1.000000000e+00,-1.923640353e+07
6.500000000e-02,3.797944348e+03,4.149761958e+03,-2.691982398e+07,7.474990952e+06,1.000000000e+00,-1.944483303e+07
7.500000000e-02,3.788290469e+03,4.149761958e+03,-2.709699894e+07,7.437482496e+06,1.000000000e+00,-1.965951644e+07
8.500000000e-02,3.778666472e+03,4.149761958e+03,-2.727999485e+07,7.400365500e+06,1.000000000e+00,-1.987962935e+07
9.500000000e-02,3.769059049e+03,4.149761958e+03,-2.746806390e+07,7.363566483e+06,1.000000000e+00,-2.010449742e+07
1.050000000e-01,3.759457925e+03,4.149761958e+03,-2.766056430e+07,7.327042444e+06,1.000000000e+00,-2.033352185e+07
1.150000000e-01,3.749855941e+03,4.149761958e+03,-2.785694243e+07,7.290783689e+06,1.000000000e+00,-2.056615874e+07
1.250000000e-01,3.740244854e+03,4.149761958e+03,-2.805671848e+07,7.254756219e+06,1.000000000e+00,-2.080196226e+07
1.350000000e-01,3.730615508e+03,4.149761958e+03,-2.825947483e+07,7.218906472e+06,1.000000000e+00,-2.104056835e+07
1.450000000e-01,3.720961151e+03,4.149761958e+03,-2.846484647e+07,7.183208502e+06,1.000000000e+00,-2.128163797e+07
1.550000000e-01,3.711279136e+03,4.149761958e+03,-2.867251328e+07,7.147687549e+06,1.000000000e+00,-2.152482573e+07
1.650000000e-01,3.701561131e+03,4.149761958e+03,-2.888219348e+07,7.112286433e+06,1.000000000e+00,-2.176990705e+07
1.750000000e-01,3.691801166e+03,4.149761958e+03,-2.909363831e+07,7.076977083e+06,1.000000000e+00,-2.201666122e+07
1.850000000e-01,3.681995461e+03,4.149761958e+03,-2.930662745e+07,7.041758188e+06,1.000000000e+00,-2.226486927e+07
1.950000000e-01,3.657768570e+03,4.149761958e+03,-2.952096532e+07,6.955453100e+06,1.000000000e+00,-2.256551222e+07
2.050000000e-01,3.600753274e+03,4.149761958e+03,-2.973647778e+07,6.750733799e+06,1.000000000e+00,-2.298574398e+07
2.150000000e-01,3.510629096e+03,4.149761958e+03,-2.995300947e+07,6.434285290e+06,1.000000000e+00,-2.351872418e+07
2.250000000e-01,3.400936334e+03,4.149761958e+03,-3.017042147e+07,6.050081584e+06,1.000000000e+00,-2.412033989e+07
2.350000000e-01,3.295305880e+03,4.149761958e+03,-3.038858930e+07,5.682988754e+06,1.000000000e+00,-2.470560055e+07
