0
C:/Users/gerri/swift-tutorial/survey data/mass1to2/halfearth/halfearth0.5x0.25th30/halfearth0.5x0.25v1.15th30_
""
""
""
""
""
""
Mass(kg),Entropy(kg(K^-1)(m/s)^2),Densisty(kg/m^3),Potential Energy(kg(m/s)^2),Internal Energy(kg(m/s)^2),Kinetic Energy(kg(m/s)^2),Total Av. Energy(kg(m/s)^2)
0.000000000e+00,2.229167980e+03,9.876137695e+03,-3.934270474e+07,6.179480829e+06,1.768929209e+04,-3.314553462e+07
5.000000000e-03,2.229167980e+03,9.876137695e+03,-3.934270474e+07,6.179480829e+06,1.768929209e+04,-3.314553462e+07
1.500000000e-02,2.232550853e+03,9.809837891e+03,-3.913721520e+07,6.095916884e+06,3.852118836e+04,-3.300277712e+07
2.500000000e-02,2.236672113e+03,9.759702148e+03,-3.898055815e+07,6.047070856e+06,5.509891450e+04,-3.287838838e+07
3.500000000e-02,2.239653895e+03,9.718575195e+03,-3.884578288e+07,6.003668527e+06,6.839532613e+04,-3.277371903e+07
4.500000000e-02,2.243162812e+03,9.679533203e+03,-3.872294682e+07,5.968975666e+06,8.065713937e+04,-3.267331402e+07
5.500000000e-02,2.244821487e+03,9.643563477e+03,-3.860759540e+07,5.924088384e+06,9.458070085e+04,-3.258892631e+07
6.500000000e-02,2.250021714e+03,9.604677734e+03,-3.849964583e+07,5.904879952e+06,1.001152966e+05,-3.249465058e+07
7.500000000e-02,2.250238310e+03,9.574095703e+03,-3.839766644e+07,5.856477093e+06,1.189451585e+05,-3.242224418e+07
8.500000000e-02,2.257405760e+03,9.534091797e+03,-3.829895257e+07,5.853858318e+06,1.208452011e+05,-3.232424905e+07
9.500000000e-02,2.256955795e+03,9.507607422e+03,-3.820660817e+07,5.806429914e+06,1.408469742e+05,-3.225933128e+07
1.050000000e-01,2.263494636e+03,9.469722656e+03,-3.811386683e+07,5.802435187e+06,1.400842218e+05,-3.217134742e+07
1.150000000e-01,2.267129121e+03,9.438498047e+03,-3.802502732e+07,5.784088256e+06,1.540979946e+05,-3.208684107e+07
1.250000000e-01,2.267036239e+03,9.410155273e+03,-3.794222624e+07,5.737375682e+06,1.655847673e+05,-3.203926579e+07
1.350000000e-01,2.273129587e+03,9.371714844e+03,-3.785433475e+07,5.729464666e+06,1.632319578e+05,-3.196163813e+07
1.450000000e-01,2.273873356e+03,9.350932617e+03,-3.777537862e+07,5.702336765e+06,1.831604077e+05,-3.188988145e+07
1.550000000e-01,2.277057788e+03,9.318143555e+03,-3.769725890e+07,5.678146951e+06,1.934103686e+05,-3.182570158e+07
1.650000000e-01,2.282141151e+03,9.284696289e+03,-3.761402889e+07,5.670994759e+06,1.913432401e+05,-3.175169089e+07
1.750000000e-01,2.288345924e+03,9.253309570e+03,-3.754067180e+07,5.675081522e+06,2.023596529e+05,-3.166323062e+07
1.850000000e-01,2.288275348e+03,9.228312500e+03,-3.746767587e+07,5.636040444e+06,2.180492669e+05,-3.161358616e+07
1.950000000e-01,2.293591256e+03,9.194771484e+03,-3.739008979e+07,5.629285969e+06,2.188716456e+05,-3.154193218e+07
2.050000000e-01,2.299330920e+03,9.160640625e+03,-3.731442447e+07,5.628435741e+06,2.231695161e+05,-3.146281922e+07
2.150000000e-01,2.300308624e+03,9.138955078e+03,-3.724702632e+07,5.602581554e+06,2.374403403e+05,-3.140700442e+07
2.250000000e-01,2.303714895e+03,9.107099609e+03,-3.717817518e+07,5.581589846e+06,2.453905831e+05,-3.135119475e+07
2.350000000e-01,2.307495169e+03,9.075840820e+03,-3.710543749e+07,5.567749828e+06,2.478962401e+05,-3.128979142e+07
2.450000000e-01,2.311668988e+03,9.047540039e+03,-3.703325135e+07,5.560251819e+06,2.575682403e+05,-3.121543129e+07
2.550000000e-01,2.315924746e+03,9.017479492e+03,-3.696842747e+07,5.552163069e+06,2.659291860e+05,-3.115033522e+07
2.650000000e-01,2.320558063e+03,8.989208984e+03,-3.690476212e+07,5.550683099e+06,2.727688866e+05,-3.108131014e+07
2.750000000e-01,2.325862596e+03,8.959642578e+03,-3.683731583e+07,5.552027218e+06,2.801039539e+05,-3.100518466e+07
2.850000000e-01,2.328984104e+03,8.928680664e+03,-3.676604822e+07,5.530483098e+06,2.864361035e+05,-3.094912902e+07
2.950000000e-01,2.334130247e+03,8.895275391e+03,-3.670174991e+07,5.526810237e+06,2.918077371e+05,-3.088313194e+07
3.050000000e-01,2.340161937e+03,8.867268555e+03,-3.664225417e+07,5.536886390e+06,2.997990351e+05,-3.080556874e+07
3.150000000e-01,2.342063531e+03,8.834727539e+03,-3.657959537e+07,5.504841140e+06,3.057145579e+05,-3.076903967e+07
3.250000000e-01,2.346593762e+03,8.805405273e+03,-3.651396137e+07,5.501837191e+06,3.185975174e+05,-3.069352666e+07
3.350000000e-01,2.351129722e+03,8.771562500e+03,-3.644850787e+07,5.491512174e+06,3.225249888e+05,-3.063447071e+07
3.450000000e-01,2.350760425e+03,8.747148438e+03,-3.638684486e+07,5.449287358e+06,3.289210425e+05,-3.060863645e+07
3.550000000e-01,2.366379536e+03,8.700261719e+03,-3.632841989e+07,5.521720086e+06,3.271875985e+05,-3.047951221e+07
3.650000000e-01,2.367194371e+03,8.680686523e+03,-3.626892519e+07,5.499195847e+06,3.421743117e+05,-3.042755503e+07
3.750000000e-01,2.375549050e+03,8.641607422e+03,-3.620953420e+07,5.515618696e+06,3.488622055e+05,-3.034505330e+07
3.850000000e-01,2.382488623e+03,8.605418945e+03,-3.614363862e+07,5.526224685e+06,3.532072630e+05,-3.026420667e+07
3.950000000e-01,2.385207459e+03,8.573102539e+03,-3.608357663e+07,5.500578198e+06,3.694789424e+05,-3.021351949e+07
4.050000000e-01,2.392139205e+03,8.532861328e+03,-3.602343294e+07,5.506409477e+06,3.654587780e+05,-3.015156468e+07
4.150000000e-01,2.398897056e+03,8.497291016e+03,-3.596413269e+07,5.515573182e+06,3.754829588e+05,-3.007307655e+07
4.250000000e-01,2.408984465e+03,8.449878906e+03,-3.590707790e+07,5.536988035e+06,3.761824810e+05,-2.999390738e+07
4.350000000e-01,2.413182810e+03,8.417291016e+03,-3.584774870e+07,5.529139490e+06,3.925888717e+05,-2.992602034e+07
4.450000000e-01,2.430466278e+03,8.364844727e+03,-3.577848136e+07,5.613639552e+06,4.042434989e+05,-2.976059831e+07
4.550000000e-01,2.432850585e+03,8.319421875e+03,-3.572040065e+07,5.566694771e+06,3.987942385e+05,-2.975491164e+07
4.650000000e-01,2.438974372e+03,8.277997070e+03,-3.565719132e+07,5.562656076e+06,4.197236690e+05,-2.967481157e+07
4.750000000e-01,2.451350679e+03,8.227456055e+03,-3.559707459e+07,5.604923994e+06,4.352109944e+05,-2.955693960e+07
4.850000000e-01,2.468035979e+03,8.163166504e+03,-3.554254689e+07,5.661247508e+06,4.161539939e+05,-2.946514539e+07
4.950000000e-01,2.473314993e+03,8.120654297e+03,-3.549107022e+07,5.649820468e+06,4.343094540e+05,-2.940694030e+07
5.050000000e-01,2.493406105e+03,8.051163574e+03,-3.541489414e+07,5.739749119e+06,4.493655511e+05,-2.922577946e+07
5.150000000e-01,2.497945442e+03,8.010037598e+03,-3.535920517e+07,5.723895076e+06,4.699362684e+05,-2.916537383e+07
5.250000000e-01,2.526389350e+03,7.920461426e+03,-3.529720538e+07,5.864509344e+06,4.557878853e+05,-2.897690815e+07
5.350000000e-01,2.529731789e+03,7.884801270e+03,-3.524567350e+07,5.840304327e+06,4.746725131e+05,-2.893069666e+07
5.450000000e-01,2.535772368e+03,7.847292480e+03,-3.519775000e+07,5.841880945e+06,4.971208990e+05,-2.885874816e+07
5.550000000e-01,2.556435248e+03,7.768041504e+03,-3.513574110e+07,5.922288006e+06,4.830274472e+05,-2.873042565e+07
5.650000000e-01,2.565470573e+03,7.720068848e+03,-3.509441916e+07,5.940855320e+06,4.941840455e+05,-2.865937979e+07
5.750000000e-01,2.577740321e+03,7.674008301e+03,-3.505109532e+07,5.988741066e+06,4.949057172e+05,-2.856744853e+07
5.850000000e-01,2.593618129e+03,7.603841797e+03,-3.499794252e+07,6.040041163e+06,4.903284198e+05,-2.846757294e+07
5.950000000e-01,2.605973004e+03,7.560583496e+03,-3.495620605e+07,6.091977602e+06,5.027267589e+05,-2.836150169e+07
6.050000000e-01,2.625475253e+03,7.480103516e+03,-3.487871738e+07,6.166278569e+06,5.188004482e+05,-2.819363837e+07
6.150000000e-01,2.631598350e+03,7.424336914e+03,-3.482187706e+07,6.138733371e+06,5.302726102e+05,-2.815287108e+07
6.250000000e-01,2.644468224e+03,7.378291992e+03,-3.477379186e+07,6.197893444e+06,5.437892705e+05,-2.803210915e+07
6.350000000e-01,2.656249481e+03,7.326544434e+03,-3.474285922e+07,6.239999382e+06,5.204564670e+05,-2.798240337e+07
6.450000000e-01,2.671111077e+03,7.267750000e+03,-3.468500420e+07,6.300880235e+06,5.266234558e+05,-2.785750050e+07
6.550000000e-01,2.697172927e+03,7.170625488e+03,-3.461656516e+07,6.414132697e+06,5.219555747e+05,-2.768047688e+07
6.650000000e-01,2.697349781e+03,7.148450684e+03,-3.457554914e+07,6.378313530e+06,5.521248277e+05,-2.764511079e+07
6.750000000e-01,2.713378134e+03,7.078505371e+03,-3.450728817e+07,6.435021087e+06,5.528395098e+05,-2.751942757e+07
6.850000000e-01,2.725860301e+03,7.021746582e+03,-3.445574255e+07,6.475125770e+06,5.544227397e+05,-2.742619404e+07
6.950000000e-01,2.737968573e+03,6.965357910e+03,-3.441012436e+07,6.507325546e+06,5.417140599e+05,-2.736108475e+07
7.050000000e-01,2.757246378e+03,6.901983887e+03,-3.434294529e+07,6.614151261e+06,5.707927370e+05,-2.715800129e+07
