0
C:/Users/gerri/swift-tutorial/survey data/mass1to2/halfearth/halfearth0.5x0.25th30/halfearth0.5x0.25v1.15th30_
""
""
""
""
""
""
Mass(kg),Entropy(kg(K^-1)(m/s)^2),Densisty(kg/m^3),Potential Energy(kg(m/s)^2),Internal Energy(kg(m/s)^2),Kinetic Energy(kg(m/s)^2),Total Av. Energy(kg(m/s)^2)
0.000000000e+00,3.854274802e+03,4.343062988e+03,-3.227550633e+07,8.370588367e+06,3.755861423e+05,-2.352933182e+07
5.000000000e-03,3.854274802e+03,4.343062988e+03,-3.227550633e+07,8.370588367e+06,3.755861423e+05,-2.352933182e+07
1.500000000e-02,3.914685552e+03,4.247004395e+03,-3.191953229e+07,8.301279708e+06,6.908381658e+05,-2.292741442e+07
2.500000000e-02,3.939954754e+03,4.192149902e+03,-3.172608849e+07,8.230483681e+06,8.108148149e+05,-2.268478999e+07
3.500000000e-02,3.965382376e+03,4.144317871e+03,-3.154942989e+07,8.183844018e+06,8.893466935e+05,-2.247623918e+07
4.500000000e-02,3.967495923e+03,4.105827148e+03,-3.138914569e+07,8.071008515e+06,8.957240696e+05,-2.242241311e+07
5.500000000e-02,3.975541130e+03,4.080032227e+03,-3.125054253e+07,8.026102649e+06,9.414600168e+05,-2.228297986e+07
6.500000000e-02,3.993743200e+03,4.053362793e+03,-3.110240288e+07,8.023653087e+06,9.760265354e+05,-2.210272326e+07
7.500000000e-02,3.997255533e+03,4.033879150e+03,-3.096185655e+07,7.975558847e+06,1.029367583e+06,-2.195693012e+07
8.500000000e-02,4.007168865e+03,4.010590576e+03,-3.082410367e+07,7.954544773e+06,1.025162687e+06,-2.184439621e+07
9.500000000e-02,4.011333268e+03,3.988357910e+03,-3.069698461e+07,7.902937836e+06,1.021278224e+06,-2.177276855e+07
1.050000000e-01,4.031190986e+03,3.966315430e+03,-3.055880902e+07,7.930399983e+06,1.055380411e+06,-2.157302863e+07
1.150000000e-01,4.034884834e+03,3.950607910e+03,-3.043331919e+07,7.899771710e+06,1.121022557e+06,-2.141252492e+07
1.250000000e-01,4.036272632e+03,3.931235107e+03,-3.030875196e+07,7.847908029e+06,1.125659400e+06,-2.133518453e+07
1.350000000e-01,4.044324400e+03,3.909356689e+03,-3.018507594e+07,7.818617713e+06,1.122397307e+06,-2.124406092e+07
