#R_planet
8.177258201e+06
#RRR|RRR50|RR|RR50|U25|U50|U75|Umean|U25mean|U75mean|deltaU25|deltaU50|deltaU75|deltaUmean|deltaU25mean|deltaU75mean|S25|S50|S75|Smean|S25mean|S75mean|deltaS25|deltaS50|delatS75|deltaSmean|deltaS25mean|deltaS75mean|T25|T50|T75|Tmean|T25mean|T75mean|deltaT25|deltaT50|deltaT75|deltaTmean|deltaT25|deltaT75|P25|P50|P75|Pmean|P25mean|P75mean|deltaP25|deltaP50|deltaP75|deltaPmean|deltaP25mean|deltaP75mean|rho25|rho50|rho75|rhomean|rho25mean|rho75mean
3.643489000e+06|3.648911128e+06|3.605428388e+06|3.616855859e+06|8.631537500e+06|8.884081500e+06|9.126752250e+06|8.920477000e+06|8.642244000e+06|9.198708000e+06|4.759441000e+06|5.187413000e+06|5.497729750e+06|5.123254000e+06|4.628286000e+06|5.618221500e+06|3.929959092e+03|3.968751712e+03|4.013393331e+03|3.978691586e+03|3.920549527e+03|4.036833646e+03|1.109884803e+03|1.148604939e+03|1.193333746e+03|1.158651194e+03|1.100517629e+03|1.216784758e+03|4.422077870e+03|4.576671290e+03|4.726103336e+03|4.610346851e+03|4.419255642e+03|4.801438061e+03|1.761958355e+03|1.903616077e+03|2.106810128e+03|1.953456458e+03|1.738364181e+03|2.168548736e+03|6.726891622e+10|6.847684608e+10|7.066813645e+10|6.898863309e+10|6.676348518e+10|7.121378509e+10|2.930845082e+10|3.859543654e+10|4.595930829e+10|3.694767718e+10|2.581068595e+10|4.808467661e+10|4.314763184e+03|4.339875000e+03|4.376483276e+03|4.346416992e+03|4.312759766e+03|4.380074219e+03
3.684258819e+06|3.684906777e+06|3.649359962e+06|3.652994305e+06|8.500027500e+06|8.737422000e+06|9.084254750e+06|8.776794000e+06|8.431783000e+06|9.121805000e+06|4.476111125e+06|4.828709750e+06|5.255483000e+06|4.838863500e+06|4.332999500e+06|5.344729000e+06|3.923821217e+03|3.995392089e+03|4.069373779e+03|3.997477266e+03|3.922211676e+03|4.072742856e+03|1.103833482e+03|1.175397655e+03|1.249288028e+03|1.177448877e+03|1.102177667e+03|1.252720087e+03|4.385274677e+03|4.600278933e+03|4.844007879e+03|4.625561526e+03|4.376800915e+03|4.874322136e+03|1.786410387e+03|1.924725208e+03|2.121265589e+03|1.936634642e+03|1.711630849e+03|2.161638434e+03|6.325237760e+10|6.484868506e+10|6.652256768e+10|6.490454426e+10|6.282651648e+10|6.698258432e+10|1.991735296e+10|3.300283904e+10|3.899520717e+10|2.954033562e+10|1.756094874e+10|4.151971840e+10|4.258724243e+03|4.281755859e+03|4.305268799e+03|4.281161621e+03|4.252624512e+03|4.309698730e+03
3.714955072e+06|3.716331769e+06|3.682199889e+06|3.687360342e+06|8.408433750e+06|8.645466000e+06|8.971272750e+06|8.690406000e+06|8.345700500e+06|9.035111000e+06|4.505179000e+06|4.877292250e+06|5.326217000e+06|4.915286000e+06|4.359949000e+06|5.470623500e+06|3.950104633e+03|4.003978443e+03|4.082012924e+03|4.008426273e+03|3.934345274e+03|4.082507272e+03|1.130069102e+03|1.184052576e+03|1.261941119e+03|1.188382349e+03|1.114300643e+03|1.262464055e+03|4.422658164e+03|4.599522677e+03|4.862296748e+03|4.631334754e+03|4.383822934e+03|4.878846573e+03|1.758964717e+03|1.917441016e+03|2.207347624e+03|1.987757135e+03|1.721127534e+03|2.254386737e+03|6.121882112e+10|6.232781005e+10|6.413458739e+10|6.253407846e+10|6.067699712e+10|6.439115981e+10|2.211112141e+10|3.132861645e+10|4.124774195e+10|3.128666317e+10|1.908024934e+10|4.349307290e+10|4.221019165e+03|4.239326904e+03|4.264847534e+03|4.242142578e+03|4.216486328e+03|4.267799805e+03
3.739549600e+06|3.739134380e+06|3.702651992e+06|3.702300588e+06|8.297620875e+06|8.557082500e+06|8.881531000e+06|8.611850000e+06|8.232243000e+06|8.991457000e+06|4.280021375e+06|4.752637500e+06|5.228536000e+06|4.776190000e+06|4.138895250e+06|5.413484000e+06|3.932105807e+03|4.001629014e+03|4.072654989e+03|4.005226679e+03|3.922981162e+03|4.087472195e+03|1.112105387e+03|1.181623781e+03|1.252661400e+03|1.185197792e+03|1.102945822e+03|1.267449762e+03|4.382594316e+03|4.576108487e+03|4.822236081e+03|4.607384819e+03|4.333596752e+03|4.881172885e+03|1.705866377e+03|1.933722162e+03|2.189059728e+03|1.961267099e+03|1.656787424e+03|2.265746773e+03|5.964513587e+10|6.092259942e+10|6.305141555e+10|6.126033715e+10|5.929880371e+10|6.322186650e+10|1.704141005e+10|2.908884480e+10|4.216655565e+10|2.889627034e+10|1.443170918e+10|4.336082944e+10|4.200843506e+03|4.223850830e+03|4.245069092e+03|4.222623535e+03|4.196766113e+03|4.248481445e+03
3.762700267e+06|3.762564089e+06|3.731637227e+06|3.736245930e+06|8.107579750e+06|8.441330500e+06|8.852364750e+06|8.509907000e+06|8.098666000e+06|8.921147000e+06|4.206642125e+06|4.654983750e+06|5.066138375e+06|4.729626000e+06|4.188392750e+06|5.270859000e+06|3.924656901e+03|3.996937689e+03|4.062672337e+03|4.004106304e+03|3.916918541e+03|4.091294066e+03|1.104530926e+03|1.176944887e+03|1.242665277e+03|1.184063090e+03|1.096862218e+03|1.271263962e+03|4.305151280e+03|4.527778071e+03|4.792895899e+03|4.581885884e+03|4.289979203e+03|4.873792566e+03|1.668468119e+03|1.872316229e+03|2.142779675e+03|1.940488527e+03|1.638434530e+03|2.242542523e+03|5.754065101e+10|5.952187597e+10|6.114540237e+10|5.943422976e+10|5.750795878e+10|6.136050074e+10|1.818941133e+10|2.995698586e+10|3.747249766e+10|2.819881984e+10|1.601600922e+10|4.038162842e+10|4.172305542e+03|4.194136719e+03|4.216674438e+03|4.193574219e+03|4.169141113e+03|4.218008301e+03
3.782547154e+06|3.781362213e+06|3.749493803e+06|3.754355562e+06|8.175280875e+06|8.387551500e+06|8.798455750e+06|8.479825000e+06|8.108297000e+06|8.851352000e+06|4.426637250e+06|4.733479750e+06|5.245307875e+06|4.728459000e+06|4.135432250e+06|5.321486000e+06|3.925632746e+03|3.994869968e+03|4.083594437e+03|4.011001483e+03|3.925267972e+03|4.096734995e+03|1.105629342e+03|1.174874292e+03|1.263534442e+03|1.190962324e+03|1.105222221e+03|1.276702426e+03|4.319744481e+03|4.518889972e+03|4.817545368e+03|4.589146322e+03|4.309603926e+03|4.868688717e+03|1.710485539e+03|1.919687825e+03|2.207315623e+03|1.964592955e+03|1.683473000e+03|2.245712909e+03|5.680525517e+10|5.832489370e+10|5.995846554e+10|5.843430605e+10|5.672101069e+10|6.014760550e+10|2.108521062e+10|3.092198605e+10|4.057280410e+10|2.806587392e+10|1.373982822e+10|4.239192064e+10|4.155563965e+03|4.172310547e+03|4.201389648e+03|4.175834473e+03|4.150149902e+03|4.201520020e+03
3.800790751e+06|3.800779387e+06|3.761911565e+06|3.760360782e+06|8.015189875e+06|8.355687250e+06|8.644662750e+06|8.388335500e+06|8.008098500e+06|8.768571000e+06|4.104528500e+06|4.534816500e+06|5.095111875e+06|4.569559500e+06|3.956323000e+06|5.182797000e+06|3.931933519e+03|4.002471829e+03|4.073937291e+03|4.004750407e+03|3.917999720e+03|4.091501094e+03|1.111861309e+03|1.182459338e+03|1.253936658e+03|1.184715619e+03|1.097955615e+03|1.271475624e+03|4.303379765e+03|4.525172292e+03|4.775596479e+03|4.553724110e+03|4.271971214e+03|4.835477006e+03|1.648043951e+03|1.897626074e+03|2.111928340e+03|1.915130391e+03|1.636496779e+03|2.193764002e+03|5.546467533e+10|5.685631795e+10|5.882742682e+10|5.717576090e+10|5.527560602e+10|5.907590758e+10|1.461730714e+10|2.527068979e+10|3.838155776e+10|2.529785037e+10|1.054336512e+10|4.005233050e+10|4.132168701e+03|4.152837158e+03|4.176537354e+03|4.156419434e+03|4.128793457e+03|4.184045898e+03
3.817142424e+06|3.817485342e+06|3.785106160e+06|3.791867603e+06|8.026299625e+06|8.320108000e+06|8.737005250e+06|8.400154000e+06|7.985544500e+06|8.814765000e+06|4.296791250e+06|4.699696000e+06|5.085077625e+06|4.629526500e+06|4.032915750e+06|5.226136500e+06|3.934138318e+03|4.007972536e+03|4.100788811e+03|4.017768530e+03|3.926964909e+03|4.108572151e+03|1.114090382e+03|1.187988223e+03|1.280799664e+03|1.197724678e+03|1.106916831e+03|1.288532525e+03|4.337697575e+03|4.527796534e+03|4.847684985e+03|4.586328601e+03|4.285467637e+03|4.887189565e+03|1.700571487e+03|1.911090485e+03|2.134080595e+03|1.954144892e+03|1.652677166e+03|2.255612619e+03|5.464483123e+10|5.625727795e+10|5.786912666e+10|5.644800410e+10|5.456986522e+10|5.832614707e+10|1.633951949e+10|2.773497037e+10|3.570711654e+10|2.557116211e+10|1.231379354e+10|3.882852352e+10|4.119084839e+03|4.133099121e+03|4.160343018e+03|4.141229980e+03|4.116630371e+03|4.165829590e+03
3.832422146e+06|3.832484126e+06|3.803509791e+06|3.810935692e+06|8.096440875e+06|8.485067500e+06|8.728690250e+06|8.484056000e+06|8.057978000e+06|8.910133000e+06|4.234410250e+06|4.734706500e+06|5.222742375e+06|4.762629500e+06|4.127028500e+06|5.398230500e+06|3.967636677e+03|4.039940376e+03|4.104029682e+03|4.042613152e+03|3.945660479e+03|4.139565826e+03|1.147614737e+03|1.219872789e+03|1.284021072e+03|1.222576308e+03|1.125615735e+03|1.319536881e+03|4.399135879e+03|4.641412614e+03|4.849960320e+03|4.664397414e+03|4.345409687e+03|4.983385140e+03|1.770928784e+03|2.017301366e+03|2.213380153e+03|2.047764612e+03|1.731442542e+03|2.364086682e+03|5.462923674e+10|5.572927898e+10|5.730991616e+10|5.613394739e+10|5.450714726e+10|5.776075571e+10|1.393659187e+10|2.720406938e+10|4.043055616e+10|2.661398938e+10|1.296883098e+10|4.025914163e+10|4.103774292e+03|4.125902100e+03|4.150031860e+03|4.129803223e+03|4.103474609e+03|4.156131348e+03
3.847779406e+06|3.847635542e+06|3.818726811e+06|3.825083166e+06|7.982981875e+06|8.252727250e+06|8.535996250e+06|8.303375500e+06|7.972928000e+06|8.633823000e+06|4.078291312e+06|4.606435000e+06|5.115132875e+06|4.614571000e+06|3.996234000e+06|5.232909000e+06|3.947816507e+03|4.011048736e+03|4.072889610e+03|4.016258276e+03|3.940678876e+03|4.091837676e+03|1.127759149e+03|1.191063287e+03|1.252939824e+03|1.196227057e+03|1.120648095e+03|1.271806019e+03|4.327917544e+03|4.523703822e+03|4.746689590e+03|4.556064786e+03|4.309683158e+03|4.802446415e+03|1.705479577e+03|1.866175176e+03|2.126885623e+03|1.946641096e+03|1.664276245e+03|2.229005947e+03|5.373857280e+10|5.467163648e+10|5.599753933e+10|5.490567987e+10|5.361686118e+10|5.619448627e+10|1.495829914e+10|2.813637632e+10|3.556513382e+10|2.615251558e+10|1.283522662e+10|3.946980966e+10|4.100131958e+03|4.113804932e+03|4.128773071e+03|4.116074219e+03|4.097797363e+03|4.134351074e+03
